date,open,high,low,close,volume
2025-05-07,104.5,106.02,104.2,105.04,4741323.0
2025-05-08,105.17,106.43,103.45,105.49,3514547.0
2025-05-09,105.69,107.28,105.24,106.91,5506154.0
2025-05-12,110.95,112.95,110.0,110.33,10025013.0
2025-05-13,110.2,110.505,108.501,109.7,4534032.0
2025-05-14,108.85,109.17,106.68,107.6,7699852.0
2025-05-15,107.48,109.51,106.62,109.23,3163480.0
2025-05-16,109.34,110.63,108.76,110.55,2768631.0
2025-05-19,108.81,110.82,108.35,110.65,2880273.0
2025-05-20,109.93,110.71,108.47,108.73,2689382.0
2025-05-21,107.84,108.2,104.36,104.67,2861579.0
2025-05-22,104.77,105.88,103.8,105.09,3492856.0
2025-05-23,104.33,104.86,103.02,104.04,3075515.0
2025-05-27,105.39,106.88,104.45,106.62,4067309.0
2025-05-28,106.89,108.0,106.48,107.92,4580453.0
2025-05-29,108.88,111.38,108.38,109.23,4585729.0
2025-05-30,108.71,109.09,106.7716,108.6,7261568.0
2025-06-02,107.86,108.75,106.145,108.75,3958778.0
2025-06-03,108.32,109.53,107.735,109.02,3423217.0
2025-06-04,108.88,109.125,108.28,108.43,2436329.0
2025-06-05,108.5,109.0,107.38,107.82,2632901.0
2025-06-06,108.9,110.02,108.15,108.79,3644414.0
2025-06-09,109.27,110.0626,108.49,108.93,3032364.0
2025-06-10,109.0,110.0,108.18,109.49,3771660.0
2025-06-11,110.005,110.14,108.2188,108.5,3454931.0
2025-06-12,107.9,109.38,107.66,108.44,3526973.0
2025-06-13,107.36,107.9381,106.24,107.28,3359363.0
2025-06-16,107.0,108.54,106.4,106.82,4537546.0
2025-06-17,105.44,106.19,104.3,105.09,3068259.0
2025-06-18,105.0,106.68,104.5,105.08,2599435.0
2025-06-20,105.53,106.269,105.12,105.69,6746408.0
2025-06-23,105.58,107.26,104.88,107.13,3118876.0
2025-06-24,107.0,108.6,106.365,108.13,2990164.0
2025-06-25,107.51,107.51,104.705,104.78,4926130.0
2025-06-26,104.76,105.11,103.5,104.39,4506511.0
2025-06-27,105.11,107.61,105.03,105.62,5732928.0
2025-06-30,105.44,105.85,103.45,105.12,7418050.0
2025-07-01,104.87,108.465,104.25,106.58,6626322.0
2025-07-02,106.74,108.46,106.11,108.31,3459338.0
2025-07-03,108.29,108.779,107.62,108.02,1549648.0
2025-07-07,107.75,109.0,105.51,106.33,3837862.0
2025-07-08,105.84,108.3551,105.75,106.85,2938966.0
2025-07-09,107.13,107.49,105.28,106.39,4461233.0
2025-07-10,106.92,110.0,106.525,108.41,4764968.0
2025-07-11,106.7,109.17,106.46,109.17,3209929.0
2025-07-14,108.38,109.53,108.09,109.35,3582152.0
2025-07-15,109.68,110.11,108.19,108.62,5309321.0
2025-07-16,112.75,114.5,109.02,110.17,12177929.0
2025-07-17,109.37,110.46,105.75,106.43,6612898.0
2025-07-18,107.17,107.17,105.72,106.78,4481506.0
2025-07-21,107.25,108.7,106.68,107.86,3838283.0
2025-07-22,108.22,109.37,107.695,109.19,5214651.0
2025-07-23,109.14,110.42,108.54,110.0,4215006.0
2025-07-24,109.79,110.535,109.22,109.72,6209060.0
2025-07-25,109.95,110.36,108.33,110.29,2150692.0
2025-07-28,110.0,110.28,107.07,107.12,2850632.0
2025-07-29,107.58,109.83,106.8,109.72,3812884.0
2025-07-30,109.9,110.39,107.59,108.49,3796454.0
2025-07-31,107.47,108.78,106.59,106.78,4136199.0
2025-08-01,107.18,107.27,104.095,104.91,6122826.0
2025-08-04,105.33,105.89,104.41,105.21,4631784.0
2025-08-05,105.7,107.58,105.3,107.04,3556675.0
2025-08-06,106.93,107.4336,105.63,105.73,3706201.0
2025-08-07,106.96,107.48,105.31,106.29,2214896.0
2025-08-08,106.22,106.77,105.62,105.68,1841670.0
2025-08-11,105.41,105.86,103.94,104.08,3181454.0
2025-08-12,104.3,104.94,103.41,104.81,2847141.0
2025-08-13,105.12,106.54,104.54,106.19,2679177.0
2025-08-14,105.3,106.32,104.07,105.85,2267969.0
2025-08-15,106.32,106.8,105.9798,106.59,1924224.0
2025-08-18,106.57,106.61,105.42,105.44,2035631.0
2025-08-19,107.47,110.87,107.025,110.76,3985492.0
2025-08-20,111.43,112.12,109.74,110.18,3227340.0
2025-08-21,109.05,109.61,107.84,108.39,3045791.0
2025-08-22,109.23,113.1499,109.14,112.28,3554089.0
2025-08-25,112.02,112.745,111.3,111.62,2022828.0
2025-08-26,111.58,112.81,111.05,111.35,4839126.0
2025-08-27,112.78,114.2,112.12,112.68,3451484.0
2025-08-28,112.79,112.9358,111.4,112.64,2559125.0
2025-08-29,112.41,113.96,112.19,113.78,2827664.0
2025-09-02,112.25,112.58,111.01,111.3,3396279.0
2025-09-03,111.0,112.25,110.865,110.95,3333730.0
2025-09-04,111.25,112.81,110.51,112.61,2499597.0
2025-09-05,113.59,114.95,112.98,113.65,2595759.0
2025-09-08,112.17,113.76,111.66,113.56,2791255.0
2025-09-09,113.28,113.98,111.545,111.97,5307176.0
2025-09-10,111.91,112.29,110.6,110.98,3118964.0
2025-09-11,111.31,115.67,111.0,114.82,5039907.0
2025-09-12,114.86,115.905,114.17,115.35,3552224.0
2025-09-15,115.29,116.0,113.685,114.27,2717854.0
2025-09-16,113.87,114.88,112.88,114.03,2989901.0
2025-09-17,114.98,116.41,113.38,113.89,2870011.0
2025-09-18,114.3,115.795,113.88,115.16,3936089.0
2025-09-19,115.18,115.31,113.25,113.51,8647820.0
2025-09-22,113.16,114.46,112.0,113.93,2798722.0
2025-09-23,113.98,114.65,113.1,114.44,2319214.0
2025-09-24,113.8,114.34,112.58,112.86,3274374.0
2025-09-25,112.92,113.76,112.6,113.21,2596444.0
2025-09-26,113.46,114.6,112.85,114.19,3021604.0
2025-09-29,114.6,114.865,113.615,114.24,2470930.0
2025-09-30,114.22,114.54,113.105,114.52,3617407.0
2025-10-01,114.31,116.52,113.8,116.48,2980922.0
2025-10-02,116.22,116.475,114.54,116.12,2935743.0
2025-10-03,116.4,118.2,116.01,117.06,3136929.0
2025-10-06,117.0,117.79,116.365,117.13,2540250.0
2025-10-07,117.48,117.615,114.15,115.97,2969135.0
2025-10-08,116.02,116.75,114.74,115.99,2324478.0
2025-10-09,115.86,116.04,114.045,114.45,2276316.0
2025-10-10,114.76,115.24,111.03,111.23,2924144.0
2025-10-13,112.02,113.04,111.38,112.72,2624502.0
2025-10-14,112.55,115.71,111.81,115.45,3150791.0
2025-10-15,116.67,123.28,116.5142,122.76,7999864.0
2025-10-16,123.86,125.045,120.2511,121.17,6320164.0
2025-10-17,121.28,124.355,121.17,124.08,5377022.0
2025-10-20,125.2,127.47,124.08,127.18,4180970.0
2025-10-21,126.94,127.5,125.6415,125.99,2975608.0
2025-10-22,126.23,127.0206,124.56,125.95,2727532.0
2025-10-23,125.92,126.72,124.96,125.77,2647892.0
2025-10-24,126.56,127.35,125.79,126.43,2965935.0
2025-10-27,126.81,127.12,125.84,127.08,2941227.0
2025-10-28,126.43,126.94,125.15,125.72,2922944.0
2025-10-29,124.78,125.6,122.97,123.47,3329842.0
2025-10-30,122.82,124.66,122.55,124.23,2367110.0
2025-10-31,123.7,124.92,122.985,124.09,3892788.0
2025-11-03,123.14,124.47,121.75,124.22,3336438.0
2025-11-04,124.0,125.65,123.195,124.0,3087339.0
2025-11-05,124.62,125.05,123.5601,123.82,4179384.0
2025-11-06,124.19,125.38,123.2,124.0,3575302.0
2025-11-07,124.11,125.63,123.47,125.6,2322451.0
2025-11-10,125.43,125.97,123.66,124.9,2101301.0
2025-11-11,125.22,126.405,124.68,126.26,2068254.0
2025-11-12,125.72,126.4,124.79,124.84,2687051.0
2025-11-13,124.09,124.83,123.2953,124.0,3761191.0
2025-11-14,124.0,125.0225,122.67,122.83,3651816.0
2025-11-17,123.53,124.69,122.4,123.52,3111015.0
