date,open,high,low,close,volume
2025-05-08,92.62,94.64,92.385,93.53,1076511.0
2025-05-09,93.75,94.01,93.06,93.46,1195731.0
2025-05-12,97.05,98.39,96.78,98.16,1460599.0
2025-05-13,98.29,98.96,98.055,98.46,920687.0
2025-05-14,98.06,98.58,96.885,97.18,980205.0
2025-05-15,96.78,98.01,96.78,97.81,997214.0
2025-05-16,99.11,101.17,98.7,101.08,1558879.0
2025-05-19,99.25,100.96,98.8401,100.82,1334676.0
2025-05-20,100.11,100.91,99.455,99.77,1048983.0
2025-05-21,98.58,99.314,97.155,97.33,1291311.0
2025-05-22,97.3,98.125,96.72,97.65,1106084.0
2025-05-23,95.86,97.17,95.55,96.79,1252442.0
2025-05-27,98.39,99.77,97.68,99.73,1225722.0
2025-05-28,99.7,99.99,98.74,98.81,737729.0
2025-05-29,99.51,99.84,98.57,99.58,805163.0
2025-05-30,99.01,99.45,98.12,99.18,2528460.0
2025-06-02,98.74,98.82,97.32,98.51,928671.0
2025-06-03,98.46,99.77,98.405,99.64,846052.0
2025-06-04,99.9,100.41,99.72,99.83,1030231.0
2025-06-05,99.86,100.24,99.09,99.71,996912.0
2025-06-06,100.91,100.96,98.8,99.55,1252397.0
2025-06-09,99.94,100.47,99.18,99.67,1018762.0
2025-06-10,100.0,100.14,99.305,99.96,991283.0
2025-06-11,100.15,100.48,99.13,99.21,755855.0
2025-06-12,98.34,99.36,98.12,98.91,781765.0
2025-06-13,97.505,98.04,96.33,96.62,761210.0
2025-06-16,97.8,98.3937,97.25,97.76,714572.0
2025-06-17,96.89,97.7,95.825,96.23,1400095.0
2025-06-18,96.13,98.01,96.06,96.94,1277149.0
2025-06-20,97.72,98.27,96.6,97.27,2422372.0
2025-06-23,96.93,99.68,96.36,99.56,1395860.0
2025-06-24,100.0,101.38,99.865,101.23,1083844.0
2025-06-25,101.68,101.72,100.39,101.06,1038907.0
2025-06-26,101.51,102.83,101.51,102.64,1272375.0
2025-06-27,103.2,104.08,102.89,103.58,1827107.0
2025-06-30,103.43,103.795,101.83,102.66,1694572.0
2025-07-01,102.04,105.77,102.0,105.05,1758726.0
2025-07-02,104.76,106.45,104.185,105.86,1473227.0
2025-07-03,106.27,107.14,106.24,106.87,1008548.0
2025-07-07,106.23,106.91,104.625,105.0,1735231.0
2025-07-08,105.22,106.12,105.075,105.78,1385925.0
2025-07-09,106.47,107.0,105.24,106.9,2483701.0
2025-07-10,107.04,108.59,106.72,107.68,1712792.0
2025-07-11,106.82,107.55,106.46,107.08,1427751.0
2025-07-14,106.58,106.95,105.86,106.74,653860.0
2025-07-15,107.3,107.36,104.705,104.77,1161270.0
2025-07-16,105.09,105.25,103.03,104.87,1742788.0
2025-07-17,104.84,106.955,104.32,106.7,1439688.0
2025-07-18,106.83,106.83,105.3,106.07,1947844.0
2025-07-21,106.63,106.63,104.86,104.86,2524344.0
2025-07-22,100.61,105.45,97.4101,104.87,5417964.0
2025-07-23,104.92,105.94,102.345,103.63,3301629.0
2025-07-24,103.17,103.45,102.23,102.85,2828196.0
2025-07-25,103.26,103.635,102.545,103.08,1757410.0
2025-07-28,103.05,103.49,102.18,103.34,1451615.0
2025-07-29,103.07,103.23,101.61,102.35,1782970.0
2025-07-30,102.66,102.76,100.45,101.3,1984734.0
2025-07-31,100.98,103.08,100.795,102.2,2857228.0
2025-08-01,100.53,101.565,99.68,100.62,1752557.0
2025-08-04,101.34,102.62,100.8834,102.21,1455788.0
2025-08-05,102.98,104.46,101.985,104.23,2143270.0
2025-08-06,104.4,104.45,102.51,102.55,1531064.0
2025-08-07,103.7,104.0582,101.615,102.06,1100306.0
2025-08-08,102.46,104.17,102.325,102.72,1146621.0
2025-08-11,102.86,103.46,102.54,102.88,1014846.0
2025-08-12,103.79,106.23,103.3,106.13,2074538.0
2025-08-13,106.91,109.135,106.49,109.01,1801368.0
2025-08-14,107.97,108.135,105.82,106.63,1162608.0
2025-08-15,106.64,106.74,104.8,104.98,1021713.0
2025-08-18,105.03,105.92,104.47,105.6,1246745.0
2025-08-19,105.86,107.28,105.63,107.08,1195964.0
2025-08-20,106.59,106.835,104.93,105.04,1242159.0
2025-08-21,104.62,105.26,104.24,104.44,741046.0
2025-08-22,105.4,109.2,104.5,108.6,1257989.0
2025-08-25,108.47,108.56,107.61,107.93,923702.0
2025-08-26,107.94,109.52,107.775,109.17,1825478.0
2025-08-27,108.61,109.785,108.52,109.34,1163573.0
2025-08-28,109.91,109.99,108.54,109.18,817182.0
2025-08-29,109.03,109.42,107.25,107.53,1048959.0
2025-09-02,106.1,106.43,105.255,106.29,1111052.0
2025-09-03,106.15,106.92,105.4591,106.84,934826.0
2025-09-04,107.06,110.09,106.755,110.06,1245723.0
2025-09-05,111.09,111.8,109.79,110.64,1118577.0
2025-09-08,110.63,110.97,109.68,110.68,955601.0
2025-09-09,110.35,110.63,107.85,109.13,1062309.0
2025-09-10,108.98,110.575,108.64,109.26,784989.0
2025-09-11,109.25,112.91,108.63,112.59,1106664.0
2025-09-12,112.35,112.524,110.86,110.95,915213.0
2025-09-15,110.95,111.5,110.31,110.65,899122.0
2025-09-16,110.62,111.16,109.65,111.01,1183437.0
2025-09-17,111.15,112.34,108.83,109.46,1628345.0
2025-09-18,110.1,112.91,109.93,111.52,1099700.0
2025-09-19,111.53,112.246,109.87,110.3,2172932.0
2025-09-22,109.94,110.56,109.47,110.09,790441.0
2025-09-23,110.64,111.23,109.46,110.09,834775.0
2025-09-24,110.01,110.085,108.02,109.0,1287460.0
2025-09-25,107.99,108.61,107.58,108.31,724567.0
2025-09-26,108.6,110.0,108.51,109.76,689634.0
2025-09-29,110.6,110.95,109.115,109.64,872718.0
2025-09-30,109.66,110.85,109.14,110.76,1129999.0
2025-10-01,110.17,110.84,109.47,110.5,798667.0
2025-10-02,110.93,112.69,110.27,112.36,1095283.0
2025-10-03,112.47,113.95,112.1501,112.23,732149.0
2025-10-06,112.54,113.03,111.515,112.05,1083017.0
2025-10-07,112.59,112.81,110.2912,110.66,864814.0
2025-10-08,111.13,112.195,110.205,111.8,1121017.0
2025-10-09,112.26,112.26,109.15,109.85,978057.0
2025-10-10,110.54,111.21,106.95,107.21,1477454.0
2025-10-13,108.34,109.395,108.0,108.83,928748.0
2025-10-14,107.7,110.77,107.2532,110.41,996571.0
2025-10-15,111.57,112.13,108.88,110.31,994387.0
2025-10-16,110.96,111.59,107.96,108.7,1196904.0
2025-10-17,107.98,110.0,107.56,108.79,1260609.0
2025-10-20,109.88,110.86,109.02,109.3,1479802.0
2025-10-21,107.7,109.78,103.8566,109.02,2260135.0
2025-10-22,109.39,111.14,108.81,109.34,2011294.0
2025-10-23,110.03,111.45,108.15,110.7,1421923.0
2025-10-24,111.94,111.94,109.29,109.73,1040065.0
2025-10-27,110.9,110.9,108.69,109.13,2410093.0
2025-10-28,109.15,109.64,107.46,108.87,937045.0
2025-10-29,109.22,110.12,106.99,107.62,1337547.0
2025-10-30,107.36,109.145,106.87,107.14,889802.0
2025-10-31,106.97,107.81,105.85,106.35,1578587.0
2025-11-03,105.87,107.1,104.65,106.84,1312697.0
2025-11-04,106.2,107.48,105.43,107.18,1319401.0
