date,open,high,low,close,volume
2025-05-08,266.35,267.315,256.93,257.0,1284528.0
2025-05-09,293.03,312.16,293.03,310.67,3216236.0
2025-05-12,313.46,318.8616,305.95,316.67,1404553.0
2025-05-13,316.67,323.0,313.87,314.46,1469414.0
2025-05-14,313.39,321.85,313.39,321.41,966677.0
2025-05-15,320.59,322.37,318.95,322.02,661127.0
2025-05-16,322.02,325.22,315.38,324.75,836440.0
2025-05-19,322.56,326.5,321.17,325.84,634501.0
2025-05-20,324.0,329.0,320.17,327.47,998439.0
2025-05-21,325.41,329.33,322.64,324.5,653398.0
2025-05-22,324.0,324.665,319.89,321.0,991446.0
2025-05-23,319.46,322.71,315.91,321.36,693225.0
2025-05-27,325.0,329.1018,324.67,326.64,697179.0
2025-05-28,325.49,328.105,322.5002,323.55,919852.0
2025-05-29,324.69,326.065,322.29,323.85,427899.0
2025-05-30,324.22,326.24,320.71,325.03,960827.0
2025-06-02,324.23,325.22,319.74,325.0,712030.0
2025-06-03,325.0,325.0899,319.32,323.24,859539.0
2025-06-04,325.29,325.61,319.07,319.21,789951.0
2025-06-05,319.58,320.95,315.52,317.16,902343.0
2025-06-06,317.89,320.98,311.06,311.77,682612.0
2025-06-09,310.4,312.0,302.69,305.66,912977.0
2025-06-10,306.27,307.68,295.56,298.73,1095681.0
2025-06-11,299.92,304.325,297.9,302.24,876549.0
2025-06-12,302.24,303.7099,299.375,303.62,866112.0
2025-06-13,299.61,308.79,299.61,304.63,670639.0
2025-06-16,307.65,310.18,305.16,306.59,867353.0
2025-06-17,303.64,305.915,300.61,304.39,591849.0
2025-06-18,304.61,305.64,299.47,301.79,756476.0
2025-06-20,304.28,305.51,300.59,303.15,1539112.0
2025-06-23,303.84,309.66,301.62,307.67,1171098.0
2025-06-24,310.46,315.49,304.13,310.9,908070.0
2025-06-25,311.41,311.41,304.3116,306.23,639363.0
2025-06-26,306.23,309.86,305.195,309.83,628504.0
2025-06-27,309.4,313.35,305.07,313.08,760290.0
2025-06-30,312.83,316.0,311.78,314.18,682904.0
2025-07-01,310.54,313.54,296.47,299.99,1404451.0
2025-07-02,299.54,304.38,297.29,301.62,883997.0
2025-07-03,301.84,302.44,297.0,301.05,527286.0
2025-07-07,299.71,302.34,297.22,300.7,585441.0
2025-07-08,300.3,302.4825,295.18,296.51,714482.0
2025-07-09,297.79,298.725,293.3825,297.46,456930.0
2025-07-10,297.91,300.0,296.03,297.4,475984.0
2025-07-11,296.23,296.23,289.03,289.32,507506.0
2025-07-14,290.39,296.44,290.26,292.01,605795.0
2025-07-15,292.96,293.165,289.075,289.99,511058.0
2025-07-16,290.66,291.715,287.27,288.27,386917.0
2025-07-17,287.16,288.495,282.8,283.45,582258.0
2025-07-18,285.52,286.48,283.45,284.23,349138.0
2025-07-21,284.655,288.0,280.427,280.96,376478.0
2025-07-22,281.58,285.94,281.58,285.57,511230.0
2025-07-23,287.13,288.79,284.67,286.67,583597.0
2025-07-24,287.0,288.12,284.0,286.58,672088.0
2025-07-25,288.01,291.24,286.91,290.22,528141.0
2025-07-28,290.74,294.105,290.205,292.27,397799.0
2025-07-29,292.61,293.002,289.85,291.49,373338.0
2025-07-30,292.13,300.24,291.89,298.27,540834.0
2025-07-31,295.72,298.055,287.76,288.4,640449.0
2025-08-01,286.25,287.405,282.75,284.91,567395.0
2025-08-04,286.09,290.245,283.94,287.77,614596.0
2025-08-05,287.75,287.75,280.71,281.0,833126.0
2025-08-06,279.26,281.15,276.46,277.3,1016719.0
2025-08-07,317.0,322.8,286.68,303.55,1787833.0
2025-08-08,303.55,312.99,299.83,307.1,1099682.0
2025-08-11,307.12,311.55,304.26,304.84,725858.0
2025-08-12,305.12,309.79,302.41,309.63,723142.0
2025-08-13,312.04,314.35,306.91,308.68,804285.0
2025-08-14,309.15,316.16,307.51,315.78,763979.0
2025-08-15,318.11,321.72,316.23,321.27,617194.0
2025-08-18,321.32,323.835,320.7501,323.07,457880.0
2025-08-19,323.28,327.69,322.85,327.48,534105.0
2025-08-20,328.88,333.41,326.69,333.0,618660.0
2025-08-21,332.23,334.18,327.76,327.85,458691.0
2025-08-22,329.85,333.22,328.0795,330.77,499580.0
2025-08-25,329.88,330.76,327.17,329.0,517289.0
2025-08-26,330.58,332.33,328.87,331.83,493020.0
2025-08-27,331.49,335.86,329.65,334.35,516976.0
2025-08-28,332.08,337.84,331.7487,337.6,458017.0
2025-08-29,337.31,341.1358,335.805,339.88,515186.0
2025-09-02,338.13,350.0,334.91,344.92,788603.0
2025-09-03,346.64,346.64,338.9977,343.53,595483.0
2025-09-04,343.34,349.09,341.89,346.47,499731.0
2025-09-05,345.27,348.72,345.27,348.43,498478.0
2025-09-08,349.56,350.0,345.56,349.56,526583.0
2025-09-09,349.27,353.5,347.305,352.82,656739.0
2025-09-10,350.68,351.11,330.0,337.61,800770.0
2025-09-11,337.69,342.4,336.04,337.94,563757.0
2025-09-12,337.75,351.9399,336.0,341.78,472907.0
2025-09-15,342.0,345.74,339.98,340.29,335535.0
2025-09-16,340.72,345.2,328.93,332.13,812075.0
2025-09-17,332.13,333.1,313.24,322.22,1109004.0
2025-09-18,322.03,334.91,319.13,333.51,684781.0
2025-09-19,333.51,333.715,328.755,330.84,1028512.0
2025-09-22,330.31,336.02,327.8637,335.12,431486.0
2025-09-23,332.95,335.58,326.48,327.8,435713.0
2025-09-24,329.79,330.2125,324.642,326.97,576198.0
2025-09-25,324.5,324.5,312.59,323.58,745502.0
2025-09-26,323.51,326.29,317.47,318.0,577406.0
2025-09-29,319.6,319.6,308.33,310.62,676500.0
2025-09-30,311.41,311.41,304.64,308.73,985771.0
2025-10-01,308.75,312.045,288.02,305.98,1140458.0
2025-10-02,304.36,312.7,302.92,312.21,545817.0
2025-10-03,312.24,316.59,308.42,309.115,651689.0
2025-10-06,310.9,312.08,306.025,311.69,538541.0
2025-10-07,311.98,315.435,310.02,313.45,479941.0
2025-10-08,311.32,318.14,310.07,315.49,465024.0
2025-10-09,318.24,324.6897,315.835,320.38,567335.0
