date,open,high,low,close,volume
2025-04-10,281.5,284.92,270.48,278.07,1227701.0
2025-04-11,277.68,281.0,271.795,280.34,1035591.0
2025-04-14,282.16,289.61,281.335,288.73,1044270.0
2025-04-15,289.0,292.205,287.1,288.91,691524.0
2025-04-16,289.02,292.5254,287.59,289.03,697951.0
2025-04-17,291.29,298.495,291.29,296.01,741373.0
2025-04-21,293.61,294.06,284.09,287.56,664242.0
2025-04-22,293.48,298.015,291.605,296.67,843183.0
2025-04-23,297.38,300.5,292.985,295.23,709649.0
2025-04-24,296.68,296.72,292.6,293.79,689676.0
2025-04-25,293.73,294.13,287.79,290.91,909824.0
2025-04-28,291.36,293.4,289.84,292.11,844150.0
2025-04-29,290.99,294.0,289.18,292.99,621324.0
2025-04-30,292.73,301.29,291.17,300.43,1044259.0
2025-05-01,299.26,304.795,295.0501,300.0,905109.0
2025-05-02,304.31,304.31,299.5485,300.15,1290520.0
2025-05-05,300.0,302.1399,297.23,300.34,861399.0
2025-05-06,298.15,301.16,295.535,297.98,647259.0
2025-05-07,298.04,301.38,297.59,299.9,991063.0
2025-05-08,299.21,302.97,297.7026,300.7,734675.0
2025-05-09,299.96,304.88,299.5,304.07,460127.0
2025-05-12,305.51,306.21,298.85,305.18,822603.0
2025-05-13,307.5,307.53,299.87,302.13,730781.0
2025-05-14,300.56,301.7,296.63,298.19,641989.0
2025-05-15,300.59,305.26,299.1,304.98,532652.0
2025-05-16,305.14,309.15,304.75,309.15,706942.0
2025-05-19,307.45,309.76,305.5,309.46,505967.0
2025-05-20,308.57,309.63,307.0,307.82,479413.0
2025-05-21,305.19,305.91,295.31,295.86,615657.0
2025-05-22,295.82,297.46,292.14,295.78,592470.0
2025-05-23,296.69,297.49,294.61,296.7,558746.0
2025-05-27,299.37,301.21,296.405,300.14,874607.0
2025-05-28,300.1,302.62,298.94,302.16,626316.0
2025-05-29,302.88,307.77,301.53,306.02,570010.0
2025-05-30,305.13,308.71,303.97,308.41,1601171.0
2025-06-02,305.58,310.0,303.23,309.77,553514.0
2025-06-03,308.21,308.44,301.575,303.31,918305.0
2025-06-04,302.04,305.1,300.2,303.29,811037.0
2025-06-05,303.03,303.1,300.24,300.46,801183.0
2025-06-06,301.46,304.335,300.21,302.91,747468.0
2025-06-09,302.01,306.12,301.07,302.58,569326.0
2025-06-10,303.52,305.35,301.155,304.02,590188.0
2025-06-11,304.2,305.475,299.19,300.16,644568.0
2025-06-12,298.03,299.535,295.3,296.65,947518.0
2025-06-13,294.39,297.15,292.74,294.95,708583.0
2025-06-16,296.46,298.26,293.0,294.56,853283.0
2025-06-17,293.82,296.29,292.0,293.66,585872.0
2025-06-18,293.77,294.28,290.52,290.81,766963.0
2025-06-20,290.85,293.44,288.6,290.08,1420066.0
2025-06-23,290.56,295.28,290.56,294.76,636128.0
2025-06-24,294.52,296.78,291.685,295.6,711651.0
2025-06-25,294.25,294.25,289.08,289.44,841002.0
2025-06-26,289.65,290.425,284.895,288.57,1198618.0
2025-06-27,289.56,294.5,288.79,289.88,1194242.0
2025-06-30,289.21,294.095,284.05,293.42,1255364.0
2025-07-01,292.17,301.55,291.485,298.09,771819.0
2025-07-02,296.3,299.175,295.75,297.1,729666.0
2025-07-03,297.7,298.9299,295.0,296.32,742606.0
2025-07-07,297.07,298.63,290.64,291.95,849728.0
2025-07-08,289.45,295.14,289.45,290.82,1110110.0
2025-07-09,290.84,291.73,286.91,288.99,897138.0
2025-07-10,288.82,292.655,287.8386,288.84,920344.0
2025-07-11,288.8,289.98,285.5,289.13,1425656.0
2025-07-14,288.39,290.41,287.2,288.63,912624.0
2025-07-15,288.5,290.64,283.87,283.91,871671.0
2025-07-16,285.26,287.0,282.62,285.55,982770.0
2025-07-17,285.81,287.31,282.81,283.54,1028008.0
2025-07-18,283.66,284.31,280.69,284.06,1007787.0
2025-07-21,284.7,287.3705,284.0,284.58,882130.0
2025-07-22,285.52,291.1579,284.935,291.04,836334.0
2025-07-23,290.56,291.99,288.245,289.62,726289.0
2025-07-24,288.69,289.715,287.12,287.31,590562.0
2025-07-25,286.42,288.04,284.165,287.76,674432.0
2025-07-28,286.78,289.71,285.78,285.99,905696.0
2025-07-29,287.83,292.855,286.12,292.57,854230.0
2025-07-30,291.85,293.54,286.85,288.65,884646.0
2025-07-31,285.23,290.93,271.235,271.94,1848826.0
2025-08-01,276.65,279.82,271.06,278.89,1539821.0
2025-08-04,278.24,282.55,277.84,280.58,1019619.0
2025-08-05,280.48,283.115,279.33,281.82,919406.0
2025-08-06,282.9,284.185,280.91,281.42,639402.0
2025-08-07,282.58,283.97,280.46,283.89,737937.0
2025-08-08,284.6,285.3199,281.27,281.74,435012.0
2025-08-11,279.8,281.68,278.37,279.75,899095.0
2025-08-12,280.01,281.91,277.89,280.48,744355.0
2025-08-13,281.58,283.55,279.4,283.18,869139.0
2025-08-14,280.77,281.93,278.9302,280.89,558795.0
2025-08-15,280.66,284.35,280.66,282.94,577320.0
2025-08-18,282.58,283.0,280.4,280.56,416498.0
2025-08-19,282.35,287.38,282.35,287.35,572080.0
2025-08-20,287.48,290.83,286.66,286.94,685335.0
2025-08-21,284.76,287.02,284.195,286.76,495343.0
2025-08-22,288.79,296.47,288.79,293.71,460135.0
2025-08-25,292.76,293.79,289.635,289.84,371252.0
2025-08-26,290.48,292.225,288.44,288.88,760165.0
2025-08-27,291.32,292.09,289.03,291.19,620519.0
2025-08-28,290.77,292.11,289.15,291.67,670522.0
2025-08-29,291.63,294.83,291.32,294.59,519367.0
2025-09-02,292.52,293.2118,287.85,288.18,934607.0
2025-09-03,288.11,292.38,287.92,291.76,569088.0
2025-09-04,293.26,294.24,289.06,292.22,693048.0
2025-09-05,295.32,299.245,294.525,297.8,595048.0
2025-09-08,294.87,295.625,291.7,294.72,817390.0
2025-09-09,292.6,294.78,289.07,290.1,882093.0
2025-09-10,289.57,291.04,288.5,288.69,807777.0
2025-09-11,289.13,295.67,289.13,294.92,576239.0
2025-09-12,294.36,295.91,291.86,292.32,690874.0
2025-09-15,291.45,291.99,286.2,286.56,692347.0
2025-09-16,286.36,287.87,283.53,284.81,877171.0
2025-09-17,286.05,289.775,284.09,284.13,1083117.0
2025-09-18,283.23,285.4,281.8215,283.79,1073921.0
2025-09-19,283.76,285.12,278.85,279.0,2156007.0
2025-09-22,280.13,281.01,278.245,279.67,1309647.0
2025-09-23,279.66,282.71,279.36,282.3,1338803.0
2025-09-24,281.58,282.575,279.48,280.71,666969.0
2025-09-25,281.22,282.63,280.07,280.26,597879.0
2025-09-26,281.0,287.2,281.0,286.29,834807.0
2025-09-29,286.36,288.78,284.37,288.53,768764.0
2025-09-30,288.05,289.045,285.91,288.85,805888.0
2025-10-01,289.0,292.925,288.27,290.68,652690.0
2025-10-02,290.18,291.05,287.871,289.16,561699.0
2025-10-03,290.28,295.73,289.45,293.54,547414.0
2025-10-06,293.74,293.99,290.09,290.81,586876.0
