date,open,high,low,close,volume
2025-04-10,100.14,101.11,93.69,96.99,4512489.0
2025-04-11,96.71,98.28,93.5,97.38,3572100.0
2025-04-14,99.735,100.16,96.14,97.82,2523995.0
2025-04-15,97.74,99.161,96.12,96.21,2347825.0
2025-04-16,96.66,98.8399,96.11,96.57,1951934.0
2025-04-17,97.85,100.29,97.71,99.1,2437257.0
2025-04-21,97.45,97.7,95.7,97.01,2326663.0
2025-04-22,99.38,101.3,98.45,100.9,2908627.0
2025-04-23,103.32,104.8,101.8669,102.78,3055122.0
2025-04-24,103.57,105.06,102.73,104.69,2536839.0
2025-04-25,103.28,104.055,101.54,103.97,3056426.0
2025-04-28,103.29,106.28,103.03,105.78,2295516.0
2025-04-29,104.33,106.36,104.33,106.0,1564445.0
2025-04-30,104.36,104.53,102.16,104.06,3211245.0
2025-05-01,104.27,105.71,103.35,103.46,2608634.0
2025-05-02,105.24,107.485,103.38,107.15,2588739.0
2025-05-05,105.83,108.57,105.71,106.9,2710993.0
2025-05-06,107.2,108.22,105.38,105.39,2348535.0
2025-05-07,105.47,106.335,104.83,105.55,1748025.0
2025-05-08,106.39,110.345,106.34,109.19,2679822.0
2025-05-09,110.59,111.17,109.39,110.92,2396924.0
2025-05-12,117.54,119.7,117.3,118.68,4530008.0
2025-05-13,123.61,126.69,121.21,125.57,11117297.0
2025-05-14,124.1,125.855,123.84,124.7,3215898.0
2025-05-15,123.03,125.02,122.65,124.77,2372101.0
2025-05-16,125.34,125.82,123.05,125.73,3242938.0
2025-05-19,122.78,124.15,121.21,122.18,3770026.0
2025-05-20,122.31,122.95,120.6,120.9,2831654.0
2025-05-21,116.66,116.95,111.41,111.78,7211870.0
2025-05-22,111.64,114.04,109.75,112.98,3588339.0
2025-05-23,111.52,113.379,111.41,113.13,2248682.0
2025-05-27,114.16,115.57,113.08,114.33,2832705.0
2025-05-28,115.27,115.4626,112.505,112.77,2006680.0
2025-05-29,112.88,115.05,112.29,114.68,2609976.0
2025-05-30,114.34,114.96,113.16,113.48,4559857.0
2025-06-02,115.075,115.34,111.19,114.28,2841393.0
2025-06-03,114.5,117.77,113.14,115.97,2065648.0
2025-06-04,115.42,116.685,111.82,112.48,3686241.0
2025-06-05,113.04,113.46,111.37,112.23,2836579.0
2025-06-06,113.43,115.0,112.95,114.29,2821122.0
2025-06-09,115.75,117.69,114.54,116.1,2803994.0
2025-06-10,117.46,120.01,117.145,118.7,2314736.0
2025-06-11,119.59,121.255,118.25,120.95,2414199.0
2025-06-12,119.71,122.0,119.05,121.52,2442456.0
2025-06-13,122.0,123.43,121.0001,122.15,3074949.0
2025-06-16,122.2,124.37,121.575,123.62,4164309.0
2025-06-17,124.5,125.76,123.6,124.54,5513888.0
2025-06-18,124.54,126.39,123.52,124.82,5788636.0
2025-06-20,125.34,126.305,123.94,124.78,8494407.0
2025-06-23,125.46,125.46,120.43,121.03,4503077.0
2025-06-24,120.64,121.96,118.79,119.46,4171302.0
2025-06-25,119.21,120.99,118.5,119.63,2866850.0
2025-06-26,120.0,120.89,118.86,120.17,3066272.0
2025-06-27,119.64,120.32,118.0,119.25,10132728.0
2025-06-30,118.51,120.17,118.18,119.3,2060675.0
2025-07-01,119.28,124.425,118.87,123.15,2731525.0
2025-07-02,124.54,126.54,122.96,126.46,2128468.0
2025-07-03,126.04,128.44,125.31,127.29,1290860.0
2025-07-07,126.42,128.4,125.24,126.4,2091014.0
2025-07-08,126.63,130.57,126.63,130.0,3821506.0
2025-07-09,130.0,132.22,129.6648,130.51,3160624.0
2025-07-10,130.69,134.66,129.8209,134.39,2711868.0
2025-07-11,133.1,133.54,131.43,131.71,1680021.0
2025-07-14,130.71,131.3484,128.45,129.01,1933220.0
2025-07-15,129.76,130.07,128.15,128.27,1995192.0
2025-07-16,127.51,128.54,123.56,123.67,3438405.0
2025-07-17,123.46,125.47,123.0,125.18,2609129.0
2025-07-18,126.45,127.31,125.3,125.9,3256700.0
2025-07-21,126.31,127.76,125.62,126.05,2505373.0
2025-07-22,126.0,127.57,125.805,126.16,2225129.0
2025-07-23,126.68,128.06,126.155,127.85,2281539.0
2025-07-24,126.73,127.1,122.56,124.32,3508238.0
2025-07-25,125.81,126.79,122.74,124.97,3666550.0
2025-07-28,125.56,127.825,125.555,127.69,2690475.0
2025-07-29,127.36,128.519,126.075,128.41,2395738.0
2025-07-30,127.22,127.585,123.77,124.4,3193780.0
2025-07-31,124.34,125.03,122.97,123.58,3926259.0
2025-08-01,121.88,122.385,119.17,119.6,2162494.0
2025-08-04,120.28,122.02,119.6,121.46,2102215.0
2025-08-05,122.5,122.64,119.8,122.07,1512750.0
2025-08-06,122.9,123.28,119.28,119.84,2080758.0
2025-08-07,121.53,122.3442,119.07,119.3,1587566.0
2025-08-08,119.67,120.84,118.875,119.13,1694173.0
2025-08-11,119.79,120.6999,118.07,118.37,1699625.0
2025-08-12,119.23,121.71,118.64,120.04,1749152.0
2025-08-13,119.91,122.58,119.54,122.58,2359186.0
2025-08-14,121.16,122.95,119.8,122.73,2095643.0
2025-08-15,123.54,124.85,122.57,123.61,2303677.0
2025-08-18,122.43,123.53,122.25,122.84,1858168.0
2025-08-19,121.55,124.0953,121.24,122.17,1600468.0
2025-08-20,122.86,124.285,122.125,123.57,1720422.0
2025-08-21,122.97,124.7,122.25,124.45,2174688.0
2025-08-22,125.0,130.65,124.88,129.94,2674117.0
2025-08-25,129.45,130.93,128.9754,129.52,2051202.0
2025-08-26,128.64,130.09,128.14,129.89,2777492.0
2025-08-27,129.75,133.33,129.22,132.62,2031923.0
2025-08-28,132.82,133.35,131.5,132.83,1982338.0
2025-08-29,132.82,134.34,132.055,133.58,1530729.0
2025-09-02,132.73,133.95,132.015,133.84,2113980.0
2025-09-03,131.5,133.84,129.67,130.53,2290953.0
2025-09-04,130.64,132.18,129.93,131.58,1832221.0
2025-09-05,130.79,132.25,129.85,131.55,1828616.0
2025-09-08,132.04,132.45,129.845,130.21,2802391.0
2025-09-09,131.35,135.22,130.14,132.29,2830762.0
2025-09-10,131.97,133.69,128.36,131.42,2424723.0
2025-09-11,131.44,133.36,131.11,132.52,2155893.0
2025-09-12,132.69,133.3,130.69,130.78,1380843.0
2025-09-15,130.79,132.13,130.16,131.18,1730320.0
2025-09-16,132.15,133.585,131.5,133.04,1767569.0
2025-09-17,132.32,134.755,132.0,133.14,3287562.0
2025-09-18,134.1,134.1,130.94,131.35,3180381.0
2025-09-19,131.72,132.005,128.38,129.72,9244775.0
2025-09-22,129.23,131.24,128.63,129.57,3362105.0
2025-09-23,130.29,133.96,130.13,132.28,3815635.0
2025-09-24,133.02,137.69,132.635,136.59,3000972.0
2025-09-25,136.47,139.57,134.97,139.08,5158939.0
