date,open,high,low,close,volume
2025-05-08,161.26,166.11,159.97,164.74,1196297.0
2025-05-09,168.06,168.06,162.64,163.02,481403.0
2025-05-12,167.98,170.9,167.432,170.51,1076616.0
2025-05-13,170.47,172.745,170.08,170.96,1047260.0
2025-05-14,170.3,172.19,169.52,171.47,929853.0
2025-05-15,170.26,172.065,170.03,171.8,668593.0
2025-05-16,171.35,173.05,169.94,172.91,656218.0
2025-05-19,170.32,172.9,169.48,172.39,514819.0
2025-05-20,172.12,174.255,171.5,173.24,607089.0
2025-05-21,171.42,172.73,169.06,169.13,709924.0
2025-05-22,169.09,171.275,168.205,170.37,808403.0
2025-05-23,167.64,169.73,167.33,168.77,692218.0
2025-05-27,171.2,171.75,169.305,171.37,891732.0
2025-05-28,170.87,171.342,167.15,167.38,817967.0
2025-05-29,168.71,168.71,166.36,167.93,625996.0
2025-05-30,167.7,168.85,166.45,168.32,1902224.0
2025-06-02,166.87,167.715,164.66,166.75,749481.0
2025-06-03,166.63,168.25,165.5,168.12,523386.0
2025-06-04,168.5,169.0,167.46,168.17,682946.0
2025-06-05,168.2,169.82,167.6,167.81,635720.0
2025-06-06,168.92,170.51,168.79,170.34,545521.0
2025-06-09,170.85,171.64,169.84,170.19,740009.0
2025-06-10,170.31,171.46,169.17,170.92,1065561.0
2025-06-11,171.45,172.2,170.05,171.0,746239.0
2025-06-12,170.44,171.465,169.7,171.02,568130.0
2025-06-13,169.04,170.985,168.1,169.34,1143604.0
2025-06-16,170.24,173.12,170.24,172.61,1011034.0
2025-06-17,171.75,172.32,167.31,167.53,878917.0
2025-06-18,166.92,168.11,165.99,166.57,728221.0
2025-06-20,166.57,168.63,165.8,166.97,1617047.0
2025-06-23,166.82,167.0,163.735,166.46,797950.0
2025-06-24,167.5,170.14,166.22,169.93,704412.0
2025-06-25,169.93,170.22,166.82,168.6,664591.0
2025-06-26,169.355,172.28,168.14,169.54,843113.0
2025-06-27,169.615,171.51,167.84,169.3,2037878.0
2025-06-30,170.47,172.94,168.225,172.34,874837.0
2025-07-01,171.74,173.91,170.14,173.07,1271130.0
2025-07-02,172.9,173.75,171.65,173.31,629197.0
2025-07-03,173.85,176.9774,173.85,175.98,468442.0
2025-07-07,175.1,176.16,173.91,174.82,711781.0
2025-07-08,175.42,179.205,175.15,178.9,917536.0
2025-07-09,179.27,213.14,176.776,210.47,4183876.0
2025-07-10,198.345,200.23,187.0,194.59,7018030.0
2025-07-11,194.01,197.33,191.47,193.505,2369968.0
2025-07-14,183.0,192.75,183.0,191.08,2121173.0
2025-07-15,191.17,194.06,190.545,192.22,1045899.0
2025-07-16,192.37,194.66,191.09,194.19,910622.0
2025-07-17,193.65,199.4869,192.29,197.0,1279060.0
2025-07-18,197.65,199.78,195.71,199.61,880148.0
2025-07-21,200.27,200.62,197.99,198.82,728843.0
2025-07-22,199.82,203.6,198.64,202.87,792604.0
2025-07-23,203.38,203.38,199.87,201.36,1166197.0
2025-07-24,200.8,202.73,199.875,202.06,965337.0
2025-07-25,203.0,205.47,201.85,204.51,550807.0
2025-07-28,204.55,204.89,202.5862,204.0,697856.0
2025-07-29,205.36,205.85,202.46,204.19,739432.0
2025-07-30,204.35,204.81,199.74,202.51,1243754.0
2025-07-31,212.5,219.69,208.0,214.81,2618164.0
2025-08-01,212.2,213.88,207.3,212.11,1598374.0
2025-08-04,212.97,218.0,211.39,216.41,975783.0
2025-08-05,217.19,217.2,213.65,214.79,1054906.0
2025-08-06,215.68,217.2,214.8,215.71,710566.0
2025-08-07,216.85,217.3,203.97,206.15,1279454.0
2025-08-08,207.0,208.05,205.01,205.42,756388.0
2025-08-11,205.59,208.51,202.39,203.29,729340.0
2025-08-12,203.82,205.04,201.46,204.55,628657.0
2025-08-13,205.8,208.935,205.425,208.37,601073.0
2025-08-14,208.22,208.77,206.945,208.01,609573.0
2025-08-15,208.75,208.99,205.5,205.84,1366154.0
2025-08-18,205.82,208.825,205.0,208.31,941040.0
2025-08-19,209.16,210.62,208.11,209.87,606443.0
2025-08-20,209.03,211.25,208.8435,210.89,824283.0
2025-08-21,210.25,213.0096,208.17,211.95,863581.0
2025-08-22,212.43,217.0,211.55,215.05,668613.0
2025-08-25,215.1,216.48,213.7,214.35,873446.0
2025-08-26,213.61,215.35,212.12,212.58,737167.0
2025-08-27,212.89,217.08,210.0,216.53,705953.0
2025-08-28,216.52,217.64,214.93,215.03,526324.0
2025-08-29,215.52,215.81,213.03,213.5,1098684.0
2025-09-02,210.39,213.0,208.85,212.64,809570.0
2025-09-03,212.13,213.54,211.29,212.24,506944.0
2025-09-04,211.27,213.59,210.2895,213.25,639174.0
2025-09-05,213.5,215.49,211.42,213.9,632646.0
2025-09-08,215.22,215.22,209.9,212.73,1279789.0
2025-09-09,213.48,213.48,202.26,204.03,1474639.0
2025-09-10,204.16,206.39,202.4,204.5,1136035.0
2025-09-11,205.77,207.26,204.48,207.03,778822.0
2025-09-12,206.1,206.73,204.34,205.11,520517.0
2025-09-15,205.12,208.56,204.02,204.15,630347.0
2025-09-16,204.15,205.87,202.925,204.95,955997.0
2025-09-17,206.02,206.64,202.55,203.98,738259.0
2025-09-18,205.01,207.28,205.01,206.19,917085.0
2025-09-19,207.87,208.0,205.12,205.95,1638298.0
2025-09-22,204.77,206.395,204.3,205.93,920305.0
2025-09-23,206.27,207.49,203.16,204.03,838368.0
2025-09-24,204.32,204.56,202.34,203.6,764561.0
2025-09-25,202.4,202.93,200.32,202.71,490817.0
2025-09-26,202.46,204.09,202.34,202.96,529331.0
2025-09-29,203.65,204.505,200.825,203.84,569373.0
2025-09-30,203.63,204.29,201.81,203.02,1167404.0
2025-10-01,201.89,204.0,199.16,202.42,775578.0
2025-10-02,202.49,203.605,201.45,203.02,587009.0
2025-10-03,203.2,204.54,202.57,203.0,588401.0
