date,open,high,low,close,volume
2025-04-10,262.33,270.13,255.0,262.7,1535208.0
2025-04-11,262.67,270.92,259.06,269.57,1098260.0
2025-04-14,275.29,277.7,269.67,274.3,1102970.0
2025-04-15,275.09,276.925,271.0,273.03,805865.0
2025-04-16,268.56,273.73,265.29,269.45,1049556.0
2025-04-17,271.05,271.5,264.61,267.22,971366.0
2025-04-21,262.68,263.36,251.04,253.77,1046365.0
2025-04-22,257.0,263.77,254.98,261.85,979565.0
2025-04-23,277.28,284.554,273.76,274.31,1555864.0
2025-04-24,274.23,284.22,272.0,282.12,1606247.0
2025-04-25,284.5,290.0,282.76,287.34,1205561.0
2025-04-28,285.57,292.91,285.18,290.62,1058602.0
2025-04-29,289.71,293.724,287.0638,292.38,1047927.0
2025-04-30,284.51,294.25,281.17,292.69,1639677.0
2025-05-01,320.21,330.595,312.3001,321.93,3300858.0
2025-05-02,325.23,329.7499,319.68,321.14,2062581.0
2025-05-05,318.28,323.88,315.0,322.62,1035604.0
2025-05-06,319.11,322.32,316.375,317.65,988159.0
2025-05-07,319.69,325.0,315.45,323.59,1204109.0
2025-05-08,328.33,330.745,324.3408,326.25,1169298.0
2025-05-09,326.04,327.56,321.34,325.89,999805.0
2025-05-12,335.9,337.42,332.29,332.79,1585102.0
2025-05-13,335.18,346.475,334.44,343.58,1654896.0
2025-05-14,345.91,348.42,341.95,343.15,1651399.0
2025-05-15,340.08,342.26,336.6254,340.37,1393407.0
2025-05-16,342.91,345.362,338.135,344.79,1070556.0
2025-05-19,338.0,345.3104,337.07,344.71,730279.0
2025-05-20,343.53,346.5,343.34,344.96,690645.0
2025-05-21,341.62,348.9,340.73,341.23,1005122.0
2025-05-22,336.5,337.2,320.56,330.83,1877262.0
2025-05-23,329.2,336.7932,326.885,335.36,932591.0
2025-05-27,339.83,343.44,337.35,342.35,1197966.0
2025-05-28,342.92,343.52,338.57,340.32,666539.0
2025-05-29,343.52,344.0,336.57,339.74,572702.0
2025-05-30,339.08,342.74,336.82,342.56,1655378.0
2025-06-02,342.49,346.05,337.475,345.53,766119.0
2025-06-03,347.57,357.94,347.0,356.49,1133984.0
2025-06-04,358.4,361.56,356.28,359.11,1105880.0
2025-06-05,360.91,362.03,356.47,359.58,877217.0
2025-06-06,363.58,363.74,358.6401,361.35,701024.0
2025-06-09,362.1,363.5988,355.33,355.66,902751.0
2025-06-10,356.48,357.11,341.93,348.76,1490169.0
2025-06-11,350.49,356.19,345.37,355.78,857195.0
2025-06-12,355.59,360.8,354.25,358.65,860089.0
2025-06-13,352.665,358.34,349.0609,358.26,796211.0
2025-06-16,361.54,367.0,360.93,361.8,840613.0
2025-06-17,356.8,361.64,353.69,358.62,876467.0
2025-06-18,360.37,365.905,358.2699,360.43,855016.0
2025-06-20,363.67,365.86,358.9164,360.78,1563381.0
2025-06-23,361.0,366.74,358.38,365.76,923210.0
2025-06-24,369.07,373.3,366.6198,372.26,938778.0
2025-06-25,374.0,375.53,371.4688,374.07,1102366.0
2025-06-26,378.09,381.12,376.88,379.47,1210285.0
2025-06-27,380.0,382.79,373.8,381.26,3687819.0
2025-06-30,375.14,381.55,368.7,378.08,1354491.0
2025-07-01,374.59,377.78,364.44,372.29,1428857.0
2025-07-02,366.11,373.96,365.57,373.41,1164483.0
2025-07-03,376.02,387.37,374.9601,386.51,869625.0
2025-07-07,386.03,388.0,380.4,385.8,839784.0
2025-07-08,382.37,382.9998,369.63,377.56,1154627.0
2025-07-09,382.0,383.2799,377.96,382.12,631886.0
2025-07-10,380.44,382.89,371.48,380.09,972192.0
2025-07-11,379.3,385.4599,378.01,383.78,906745.0
2025-07-14,382.97,389.205,381.52,387.0,712855.0
2025-07-15,389.26,390.1,383.89,386.54,606488.0
2025-07-16,386.67,389.43,381.3044,389.12,837564.0
2025-07-17,387.77,398.605,386.85,397.9,1000428.0
2025-07-18,398.925,405.43,398.31,403.31,1060101.0
2025-07-21,403.73,405.04,397.0,398.66,1003470.0
2025-07-22,398.48,398.5684,380.6,394.93,1120846.0
2025-07-23,398.0,406.0,397.95,405.11,1575632.0
2025-07-24,408.14,410.79,406.7265,407.22,1076692.0
2025-07-25,412.6,424.94,412.6,421.68,1371218.0
2025-07-28,418.99,418.99,409.13,411.99,2101544.0
2025-07-29,416.41,416.41,408.33,410.99,1094837.0
2025-07-30,412.79,414.5,409.46,411.11,1836958.0
2025-07-31,406.09,423.5,399.065,406.13,2436032.0
2025-08-01,392.6,399.32,384.57,395.17,2094080.0
2025-08-04,400.34,402.0605,391.22,393.62,1444114.0
2025-08-05,398.0,400.09,385.0,389.12,1149708.0
2025-08-06,388.2,391.9,384.59,387.5,930416.0
2025-08-07,389.82,392.39,383.76,387.35,874599.0
2025-08-08,390.0,391.0,384.385,386.15,655464.0
2025-08-11,386.07,387.94,380.44,384.12,926985.0
2025-08-12,384.41,391.79,382.51,391.57,858885.0
2025-08-13,393.73,398.845,369.06,379.96,1728301.0
2025-08-14,379.96,382.5,375.2,377.51,919718.0
2025-08-15,377.84,384.42,371.64,380.81,1436453.0
2025-08-18,379.75,383.6,377.3601,383.32,695767.0
2025-08-19,383.04,384.075,377.4,379.27,750842.0
2025-08-20,375.99,378.97,367.9,375.87,1142357.0
2025-08-21,376.51,380.42,375.69,378.21,699867.0
2025-08-22,381.44,386.29,377.7059,379.84,1037796.0
2025-08-25,379.84,381.86,377.4233,378.31,612467.0
2025-08-26,379.08,384.42,378.76,383.92,1021567.0
2025-08-27,382.79,385.6,379.96,381.56,637329.0
2025-08-28,383.56,387.8134,382.37,385.96,641941.0
2025-08-29,385.76,385.76,373.47,377.96,774538.0
2025-09-02,370.0,375.24,366.35,374.68,686247.0
2025-09-03,376.49,378.4,371.385,374.41,761115.0
2025-09-04,375.3,378.8,370.93,376.09,942185.0
2025-09-05,378.47,379.09,363.01,372.5,1128947.0
2025-09-08,377.01,380.0,373.41,375.53,779966.0
2025-09-09,374.62,375.99,370.27,373.47,502540.0
2025-09-10,381.2,393.18,380.955,390.17,1305893.0
2025-09-11,391.13,400.87,388.96,389.64,1189586.0
2025-09-12,388.145,391.93,382.27,382.53,833476.0
2025-09-15,382.9,387.86,381.545,385.68,774897.0
2025-09-16,386.03,387.2,375.5,378.24,821982.0
2025-09-17,378.5,382.5599,373.395,376.01,887943.0
2025-09-18,378.03,393.415,376.07,390.65,1173140.0
2025-09-19,392.06,393.22,386.935,388.58,1493229.0
2025-09-22,384.5,397.6,382.24,396.02,812611.0
2025-09-23,396.91,397.515,387.42,389.53,846555.0
2025-09-24,400.23,407.0814,396.3668,402.87,1664667.0
2025-09-25,397.07,402.87,389.7,400.41,1009275.0
2025-09-26,400.41,408.74,399.18,405.44,803543.0
2025-09-29,405.88,413.94,405.88,409.11,931825.0
2025-09-30,409.11,415.36,409.0001,414.42,896944.0
2025-10-01,410.76,423.72,407.31,420.65,832265.0
2025-10-02,424.11,431.24,417.98,420.86,996821.0
2025-10-03,422.36,427.49,415.54,421.17,634533.0
