date,open,high,low,close,volume
2025-05-08,547.88,552.5742,520.5,547.67,2709295.0
2025-05-09,549.0,552.84,527.13,527.78,1499188.0
2025-05-12,543.82,577.985,535.29,575.63,1898394.0
2025-05-13,571.45,575.05,558.45,574.16,1149899.0
2025-05-14,576.35,580.56,567.585,571.36,1664485.0
2025-05-15,576.13,585.26,564.9075,584.99,1302126.0
2025-05-16,588.23,595.19,581.49,594.32,936922.0
2025-05-19,588.48,598.56,586.6803,596.54,666332.0
2025-05-20,595.01,615.4454,595.01,614.79,1102197.0
2025-05-21,613.055,617.52,597.9192,604.62,1089468.0
2025-05-22,603.2,605.5,592.725,596.85,867228.0
2025-05-23,586.85,591.64,582.37,588.34,656257.0
2025-05-27,603.09,608.17,590.805,603.26,876136.0
2025-05-28,603.26,606.0,590.15,591.85,1008290.0
2025-05-29,597.06,605.73,591.02,605.39,756785.0
2025-05-30,517.655,519.78,485.0,490.28,6313059.0
2025-06-02,491.09,502.5633,481.58,490.81,2944263.0
2025-06-03,490.785,501.11,485.34,487.86,2141551.0
2025-06-04,491.71,499.9,482.99,484.93,1870674.0
2025-06-05,486.0,491.77,476.4869,483.07,1791412.0
2025-06-06,485.54,499.88,485.0001,493.22,1497999.0
2025-06-09,498.0,518.27,494.42,517.6,1983125.0
2025-06-10,520.0,529.99,518.16,523.53,1175230.0
2025-06-11,525.77,528.368,516.1,518.6,963105.0
2025-06-12,517.23,525.22,512.97,521.84,873334.0
2025-06-13,518.25,529.55,514.98,529.24,951912.0
2025-06-16,532.88,538.2,520.22,522.68,1325768.0
2025-06-17,519.27,523.01,508.7,508.86,890421.0
2025-06-18,508.51,519.17,503.25,513.58,841127.0
2025-06-20,521.05,521.31,506.38,509.72,2259498.0
2025-06-23,510.0,516.18,507.605,511.92,1076307.0
2025-06-24,515.79,527.45,515.79,522.27,970565.0
2025-06-25,521.4,525.63,516.9854,520.29,639648.0
2025-06-26,520.0,524.52,514.79,521.0,965552.0
2025-06-27,521.79,531.21,517.39,521.0,1607841.0
2025-06-30,520.21,526.075,518.9,525.0,1013260.0
2025-07-01,523.97,548.035,521.0,534.91,1200806.0
2025-07-02,533.66,551.5,529.69,547.74,818173.0
2025-07-03,547.75,555.0,546.61,547.36,456413.0
2025-07-07,546.0,547.59,532.6,538.11,960252.0
2025-07-08,538.87,559.46,537.45,547.75,847399.0
2025-07-09,547.1,558.38,545.38,552.58,843861.0
2025-07-10,554.38,566.365,550.11,559.76,827678.0
2025-07-11,558.39,568.46,551.48,567.74,844645.0
2025-07-14,566.1,575.13,562.0,570.59,717139.0
2025-07-15,574.15,574.75,546.28,547.96,998623.0
2025-07-16,550.0,558.35,546.57,547.93,1089879.0
2025-07-17,545.67,554.4799,542.01,550.0,989311.0
2025-07-18,550.0,550.885,541.5,542.52,1307873.0
2025-07-21,543.44,552.98,542.5,545.53,709159.0
2025-07-22,546.92,563.0,546.92,560.93,976733.0
2025-07-23,568.12,576.7,563.005,572.39,891360.0
2025-07-24,572.54,577.7299,563.67,564.64,1037662.0
2025-07-25,565.41,567.2103,555.5,563.1,755848.0
2025-07-28,563.53,567.9483,558.54,558.63,588433.0
2025-07-29,558.0,559.61,552.0,558.145,814915.0
2025-07-30,560.45,563.59,550.49,554.58,564909.0
