date,open,high,low,close,volume
2025-05-08,21.01,21.42,20.9,21.3,5981334.0
2025-05-09,21.31,21.37,21.105,21.16,7438087.0
2025-05-12,22.11,22.43,21.93,22.25,9459781.0
2025-05-13,22.29,22.52,22.2,22.44,6510996.0
2025-05-14,22.32,22.535,22.27,22.44,8373130.0
2025-05-15,22.45,22.545,22.23,22.46,5749567.0
2025-05-16,22.45,22.68,22.3157,22.59,4805232.0
2025-05-19,22.33,22.55,22.28,22.54,5162233.0
2025-05-20,22.46,22.5,22.165,22.25,4874249.0
2025-05-21,21.96,22.035,21.32,21.32,6421978.0
2025-05-22,21.29,21.56,21.19,21.37,7082977.0
2025-05-23,20.81,21.36,20.81,21.24,5621572.0
2025-05-27,21.57,21.69,21.295,21.67,5924072.0
2025-05-28,21.65,21.78,21.32,21.33,6733899.0
2025-05-29,21.49,21.57,21.34,21.57,6978934.0
2025-05-30,21.45,21.55,21.28,21.44,12194713.0
2025-06-02,21.19,21.2,20.79,21.11,6311842.0
2025-06-03,21.02,21.565,21.005,21.53,5752531.0
2025-06-04,21.5,21.66,21.3,21.3,6233274.0
2025-06-05,21.31,21.4,21.12,21.32,5007317.0
2025-06-06,21.73,22.115,21.43,22.05,11085190.0
2025-06-09,22.14,22.365,22.03,22.09,8651291.0
2025-06-10,22.1,22.51,22.0,22.36,10581426.0
2025-06-11,22.47,22.575,22.21,22.29,14710857.0
2025-06-12,22.09,22.155,21.805,22.08,8155256.0
2025-06-13,21.77,21.85,21.42,21.51,10896425.0
2025-06-16,21.82,21.86,21.565,21.68,12151336.0
2025-06-17,21.47,21.69,21.4,21.54,11073346.0
2025-06-18,21.5,22.09,21.44,21.96,13444956.0
2025-06-20,22.17,22.24,21.99,22.2,21251687.0
2025-06-23,22.06,22.67,22.0,22.64,9331343.0
2025-06-24,22.825,23.12,22.825,22.88,11431829.0
2025-06-25,22.87,22.98,22.69,22.89,8770571.0
2025-06-26,23.04,23.41,22.945,23.35,7746068.0
2025-06-27,23.4,23.555,23.24,23.35,10748886.0
2025-06-30,23.45,23.675,23.42,23.52,9647815.0
2025-07-01,23.35,24.3299,23.35,24.17,11081615.0
2025-07-02,24.31,24.615,24.11,24.55,8659246.0
2025-07-03,24.77,24.9892,24.595,24.8,4691570.0
2025-07-07,24.76,24.92,24.4,24.57,7645844.0
2025-07-08,24.67,24.835,24.41,24.66,8879822.0
2025-07-09,24.88,24.96,24.59,24.63,8090475.0
2025-07-10,24.66,25.03,24.5933,24.84,6482341.0
2025-07-11,24.64,24.8167,24.505,24.69,6445150.0
2025-07-14,24.64,24.795,24.515,24.7,7096285.0
2025-07-15,24.64,24.73,23.955,24.03,12049306.0
2025-07-16,24.17,24.205,23.675,24.08,11168547.0
2025-07-17,24.035,24.61,23.96,24.51,10246566.0
2025-07-18,25.5,26.16,25.45,26.01,23430333.0
