date,open,high,low,close,volume
2025-05-08,576.76,582.17,572.5225,574.98,485178.0
2025-05-09,574.54,574.54,564.37,570.48,333226.0
2025-05-12,579.92,579.92,566.805,575.84,750902.0
2025-05-13,577.82,582.57,575.455,577.07,554650.0
2025-05-14,572.81,576.865,563.49,565.94,623069.0
2025-05-15,565.74,574.77,565.275,574.4,515867.0
2025-05-16,579.01,583.02,574.22,582.88,611453.0
2025-05-19,581.75,584.03,578.4,580.47,533524.0
2025-05-20,577.91,578.67,573.74,578.21,460214.0
2025-05-21,573.76,583.949,569.93,572.81,432177.0
2025-05-22,568.45,573.085,568.45,569.07,346357.0
2025-05-23,564.43,569.73,563.8,567.03,375130.0
2025-05-27,571.21,574.73,568.43,573.82,433662.0
2025-05-28,574.27,576.55,568.65,569.13,361112.0
2025-05-29,570.13,571.515,562.5364,564.27,782005.0
2025-05-30,564.95,572.7,563.195,570.27,808786.0
2025-06-02,565.94,568.3799,563.075,566.69,385718.0
2025-06-03,564.39,568.209,561.8401,567.87,332538.0
2025-06-04,567.28,569.295,563.3,568.01,737257.0
2025-06-05,568.41,571.08,565.5,569.485,656700.0
2025-06-06,572.79,575.0,570.99,572.87,336683.0
2025-06-09,572.24,576.49,568.2,573.08,419372.0
2025-06-10,562.73,574.32,562.73,572.18,352937.0
2025-06-11,572.08,573.7999,568.72,569.56,336686.0
2025-06-12,570.06,573.08,569.765,572.03,275030.0
2025-06-13,566.68,570.84,560.27,560.75,436801.0
2025-06-16,562.48,567.8989,562.48,565.66,372780.0
2025-06-17,565.32,565.91,559.57,562.58,454915.0
2025-06-18,562.58,562.58,555.045,555.75,447163.0
2025-06-20,558.98,564.36,557.775,561.99,1124299.0
2025-06-23,562.59,566.29,558.135,566.18,374935.0
2025-06-24,568.5,571.55,563.275,571.02,460562.0
2025-06-25,570.84,573.1,562.99,566.94,494639.0
2025-06-26,566.08,566.375,558.28,565.31,509808.0
2025-06-27,565.31,569.365,560.65,563.51,652988.0
2025-06-30,564.69,567.63,561.9965,566.84,910366.0
2025-07-01,567.24,574.95,565.905,572.71,563428.0
