date,open,high,low,close,volume
2025-04-10,236.25,241.54,234.105,240.23,1684868.0
2025-04-11,237.92,244.91,237.92,243.92,1569345.0
2025-04-14,245.03,247.09,243.83,245.56,918834.0
2025-04-15,246.99,247.24,243.58,245.0,1154319.0
2025-04-16,246.33,246.6,242.301,243.61,1232550.0
2025-04-17,244.0,245.33,242.89,243.28,837833.0
2025-04-21,242.53,242.6505,235.77,238.37,1372808.0
2025-04-22,240.0,243.41,238.7501,242.57,1188928.0
2025-04-23,243.21,244.53,239.27,241.37,1586644.0
2025-04-24,242.19,242.19,237.76,240.76,1771654.0
2025-04-25,243.59,244.04,238.66,243.56,1947588.0
2025-04-28,242.92,246.57,242.3563,246.11,1480408.0
2025-04-29,245.61,248.05,243.55,247.7,986605.0
2025-04-30,247.02,251.7,244.36,250.75,1680034.0
2025-05-01,249.19,250.69,246.19,249.41,833582.0
2025-05-02,251.56,252.4,249.04,250.52,894115.0
2025-05-05,251.03,251.25,248.57,250.73,1071385.0
2025-05-06,250.46,251.31,248.75,250.85,759950.0
2025-05-07,251.01,252.94,249.64,251.81,1098103.0
2025-05-08,252.5,253.54,249.07,249.33,1152230.0
2025-05-09,248.3,249.33,247.34,248.58,794229.0
2025-05-12,247.54,247.61,237.955,241.46,1790991.0
2025-05-13,241.44,242.145,237.65,237.99,2874776.0
2025-05-14,238.29,238.54,235.35,238.07,1428076.0
2025-05-15,239.78,244.98,238.64,244.96,1268615.0
2025-05-16,244.24,247.87,243.79,247.79,1248529.0
2025-05-19,247.41,250.57,246.6,250.37,1023816.0
2025-05-20,250.49,252.29,250.0,252.19,1148032.0
2025-05-21,251.69,253.3899,251.1895,252.19,1134078.0
2025-05-22,252.65,252.88,247.69,251.0,2147154.0
2025-05-23,250.61,253.76,249.7,252.86,1074459.0
2025-05-27,252.46,255.54,252.29,254.91,1819110.0
2025-05-28,254.49,255.38,253.3,254.08,1156983.0
2025-05-29,253.29,254.78,252.235,254.44,840271.0
2025-05-30,254.95,257.925,253.91,257.29,2680842.0
2025-06-02,256.13,258.12,254.55,258.07,1431288.0
2025-06-03,257.5,258.75,254.57,256.46,1303623.0
2025-06-04,256.73,256.85,253.66,254.12,1465660.0
2025-06-05,254.72,254.72,251.6,253.16,1182514.0
2025-06-06,253.27,255.47,252.5,252.97,709691.0
2025-06-09,251.98,252.13,246.32,249.4,1561573.0
2025-06-10,249.59,250.92,247.05,247.99,1628699.0
2025-06-11,247.75,249.15,245.09,248.24,1327464.0
2025-06-12,249.12,251.91,247.83,251.85,956692.0
2025-06-13,251.74,253.38,250.68,251.26,661724.0
2025-06-16,251.23,252.445,248.15,248.49,735577.0
2025-06-17,247.75,250.24,246.49,248.98,1211826.0
2025-06-18,249.06,250.1299,247.15,248.28,793236.0
2025-06-20,249.29,250.68,247.11,248.19,1442253.0
2025-06-23,249.04,250.75,247.63,250.68,981582.0
2025-06-24,250.56,251.17,247.89,250.75,1622894.0
2025-06-25,250.55,250.55,242.55,243.88,1539277.0
2025-06-26,244.65,246.21,243.845,244.72,1712060.0
2025-06-27,244.04,246.13,243.35,244.37,1895969.0
2025-06-30,244.71,246.82,243.53,246.61,1572804.0
2025-07-01,246.28,246.8,242.255,244.67,1131917.0
2025-07-02,242.53,242.955,236.25,237.69,1965498.0
2025-07-03,238.46,241.14,237.09,241.14,1261978.0
2025-07-07,241.21,242.48,239.59,242.48,1470067.0
2025-07-08,240.02,242.19,239.04,239.31,1893569.0
2025-07-09,239.03,241.1499,237.95,240.51,1387697.0
2025-07-10,240.09,241.44,238.455,240.09,1561192.0
2025-07-11,240.24,242.53,239.155,241.21,1768366.0
2025-07-14,241.36,245.64,240.72,244.17,1264997.0
2025-07-15,243.1,244.43,241.67,241.86,1199445.0
2025-07-16,241.46,241.845,238.3101,241.35,1087848.0
2025-07-17,240.53,242.38,238.31,240.17,1683076.0
2025-07-18,240.34,242.09,239.91,240.5,1338095.0
2025-07-21,239.67,241.375,238.72,240.04,1078404.0
2025-07-22,240.14,242.78,240.14,242.31,1029148.0
2025-07-23,241.88,243.68,240.57,243.27,1195711.0
2025-07-24,242.62,245.92,242.395,245.11,1045719.0
2025-07-25,245.25,246.2,244.51,245.16,935939.0
2025-07-28,244.42,244.81,241.16,241.41,989683.0
2025-07-29,243.16,246.25,242.01,246.01,1861658.0
2025-07-30,238.84,240.91,231.4,231.69,3177666.0
2025-07-31,232.0,234.74,230.385,230.65,2244662.0
2025-08-01,232.78,232.78,229.245,231.21,1481298.0
2025-08-04,230.82,232.235,229.79,231.71,1196356.0
2025-08-05,231.33,233.68,230.985,232.08,1938574.0
2025-08-06,232.15,236.17,231.045,235.52,1573299.0
2025-08-07,236.0,236.8,234.12,235.63,1593716.0
2025-08-08,235.81,237.35,235.09,235.21,717967.0
2025-08-11,235.63,237.28,234.675,237.03,904246.0
2025-08-12,236.6,237.45,232.4055,233.53,998619.0
2025-08-13,234.16,234.16,230.76,232.74,1906405.0
2025-08-14,232.76,234.045,231.39,232.51,1097833.0
2025-08-15,232.59,233.83,231.795,232.85,902191.0
2025-08-18,232.97,234.0,231.9721,232.43,912038.0
2025-08-19,232.84,235.51,231.86,234.8,940758.0
2025-08-20,236.68,238.62,235.49,236.11,1210746.0
2025-08-21,235.2,236.4299,234.28,235.44,706810.0
2025-08-22,236.13,237.06,233.685,234.32,1183950.0
2025-08-25,234.22,235.98,231.79,232.22,674701.0
2025-08-26,231.67,234.7,231.67,234.33,1466207.0
2025-08-27,234.5,235.09,233.81,234.9,885172.0
2025-08-28,233.63,234.48,231.4,233.1,886044.0
2025-08-29,233.47,234.33,233.03,233.97,875358.0
2025-09-02,233.82,234.58,231.3,233.12,988903.0
2025-09-03,232.83,233.32,231.15,232.49,797664.0
2025-09-04,233.67,235.175,232.5,233.85,709284.0
2025-09-05,233.63,233.77,228.295,229.73,1088332.0
2025-09-08,229.47,229.47,226.47,228.13,1270231.0
2025-09-09,227.64,229.31,226.5901,229.07,1325381.0
2025-09-10,228.28,229.37,226.58,228.51,1105609.0
2025-09-11,228.72,232.89,227.395,232.21,1180840.0
2025-09-12,231.8,232.62,227.82,228.48,892010.0
2025-09-15,228.27,229.1561,227.09,228.14,799085.0
2025-09-16,227.74,228.62,224.88,225.33,1648343.0
2025-09-17,225.28,228.3145,225.27,226.27,1326281.0
2025-09-18,225.47,227.78,224.92,226.71,1052686.0
2025-09-19,227.33,227.96,225.89,226.94,1968273.0
2025-09-22,226.87,227.35,225.64,226.26,957220.0
2025-09-23,226.5,227.54,224.62,227.53,1408432.0
2025-09-24,226.7,228.64,225.62,227.4,1516346.0
2025-09-25,228.02,229.01,226.47,226.86,1443432.0
2025-09-26,228.56,230.68,227.23,228.21,906856.0
2025-09-29,228.01,229.105,227.47,229.06,829497.0
2025-09-30,229.4,231.65,229.28,229.48,1553763.0
2025-10-01,228.81,229.83,226.46,227.29,1288181.0
2025-10-02,225.16,225.84,221.56,222.57,1493851.0
2025-10-03,222.57,225.7599,222.03,224.15,1054147.0
2025-10-06,224.09,224.32,222.32,223.18,927573.0
2025-10-07,223.46,223.6,221.13,222.75,1063292.0
2025-10-08,222.85,226.11,222.02,225.35,1263612.0
2025-10-09,224.81,225.3684,221.34,221.69,1181205.0
2025-10-10,221.85,226.32,220.78,225.16,1654531.0
2025-10-13,222.29,225.4559,222.29,223.04,1026061.0
2025-10-14,223.3,226.2,222.7815,224.48,1058407.0
2025-10-15,223.68,224.88,219.95,221.03,708188.0
2025-10-16,220.29,220.42,217.69,218.23,992673.0
2025-10-17,218.48,220.475,218.09,219.82,1299881.0
2025-10-20,219.77,220.81,218.0,220.13,1108935.0
2025-10-21,219.98,221.38,219.01,220.94,911782.0
2025-10-22,221.91,225.36,220.43,223.28,990447.0
2025-10-23,223.67,224.55,219.9701,223.11,1256765.0
2025-10-24,223.91,224.64,221.91,223.09,951835.0
2025-10-27,222.86,223.465,220.01,221.04,1153230.0
2025-10-28,218.05,221.56,215.0,217.73,1782856.0
2025-10-29,215.45,216.515,209.83,210.5,2364118.0
2025-10-30,209.905,212.71,209.75,209.92,2493038.0
2025-10-31,209.38,211.09,206.03,208.24,2577835.0
2025-11-03,207.31,207.31,203.31,205.28,2220963.0
2025-11-04,207.78,207.87,204.58,207.74,1355045.0
2025-11-05,207.77,208.71,206.33,206.43,1168844.0
2025-11-06,206.01,208.09,203.4,204.23,1700111.0
2025-11-07,205.01,206.44,203.72,205.59,1217953.0
2025-11-10,203.45,204.68,201.42,204.12,1144813.0
2025-11-11,204.07,207.17,204.065,207.13,1337677.0
2025-11-12,206.62,208.1,204.44,205.15,1137537.0
2025-11-13,205.05,207.885,204.91,206.02,1221238.0
2025-11-14,207.97,210.59,206.105,209.8,1546597.0
2025-11-17,209.46,210.87,208.54,209.81,2498991.0
2025-11-18,210.72,214.54,209.58,213.96,1806070.0
2025-11-19,213.88,217.82,213.59,217.47,2063422.0
2025-11-20,216.65,219.03,216.29,218.43,1964334.0
2025-11-21,218.82,220.02,216.47,219.0,2475881.0
2025-11-24,218.41,218.41,214.55,215.16,2421351.0
2025-11-25,216.1,218.105,215.08,217.09,1494917.0
2025-11-26,217.5,219.08,216.94,217.37,1228586.0
2025-11-28,215.9,217.705,215.9,217.06,596752.0
2025-12-01,217.4,217.4,213.91,214.07,1574870.0
2025-12-02,214.71,214.86,212.63,212.67,1295605.0
2025-12-03,213.0,215.42,212.0,215.37,1235218.0
2025-12-04,218.1,219.83,213.1146,215.12,1538673.0
2025-12-05,214.18,217.19,213.75,216.53,1438021.0
2025-12-08,215.77,216.15,211.29,211.44,1475185.0
2025-12-09,212.23,212.895,209.1,209.32,1252567.0
2025-12-10,208.82,209.7,206.98,207.56,2104852.0
2025-12-11,209.22,212.85,208.87,211.18,1189526.0
2025-12-12,212.48,213.77,211.23,213.65,1018303.0
2025-12-15,213.31,216.12,212.93,215.33,1302896.0
2025-12-16,215.87,216.72,213.82,214.01,1253083.0
2025-12-17,213.3,216.495,212.77,214.73,2201553.0
2025-12-18,214.42,215.1575,212.91,213.46,2178781.0
2025-12-19,212.56,213.57,211.66,213.14,3963203.0
2025-12-22,211.95,213.82,211.1904,212.92,2044276.0
2025-12-23,212.91,213.87,212.64,213.06,1618468.0
2025-12-24,213.7,215.16,213.13,213.2,917239.0
2025-12-26,213.0,214.21,212.77,213.37,641394.0
2025-12-29,213.99,215.375,213.84,214.52,969809.0
2025-12-30,214.0,215.29,213.19,214.69,997491.0
2025-12-31,214.69,214.76,211.56,211.93,1036004.0
2026-01-02,210.55,210.8,209.24,210.2,1151649.0
2026-01-05,209.2,213.63,208.27,212.84,1368809.0
2026-01-06,212.49,214.47,209.16,210.93,1837209.0
2026-01-07,211.75,212.155,208.7,209.08,1604730.0
2026-01-08,208.87,212.14,208.87,211.86,1427900.0
2026-01-09,211.96,213.75,211.72,212.22,988848.0
2026-01-12,212.65,213.2758,210.6,210.85,1131456.0
2026-01-13,210.6,211.454,207.9,209.65,1153654.0
2026-01-14,209.09,211.505,208.87,210.98,1616933.0
2026-01-15,209.65,211.03,209.65,210.79,1455819.0
2026-01-16,209.12,211.26,209.12,210.96,1752868.0
2026-01-20,209.62,211.445,208.14,210.62,2156253.0
2026-01-21,211.27,214.37,210.41,214.29,1363638.0
2026-01-22,214.37,216.27,213.98,215.75,1013872.0
2026-01-23,215.97,218.18,215.615,217.61,1685241.0
2026-01-26,218.28,219.9999,217.31,219.08,1176536.0
2026-01-27,218.09,219.2,216.68,217.19,1019208.0
2026-01-28,216.55,218.94,215.38,217.6,972539.0
2026-01-29,216.8,219.18,213.44,214.75,1884706.0
2026-01-30,215.0,215.28,211.42,215.09,2213054.0
2026-02-02,215.37,216.59,213.28,215.73,1072411.0
2026-02-03,213.28,216.42,212.73,213.95,1102845.0
2026-02-04,213.86,219.82,212.76,218.2,1627959.0
2026-02-05,219.9,222.37,218.0,218.72,2019228.0
2026-02-06,218.72,221.6403,218.41,219.94,1039130.0
2026-02-09,220.0,224.25,219.275,224.08,1562949.0
2026-02-10,224.18,225.69,222.85,223.07,1610790.0
2026-02-11,222.75,228.09,222.01,225.97,1518051.0
2026-02-12,225.26,227.26,219.2601,220.87,2317427.0
2026-02-13,220.97,224.55,220.565,223.17,1441567.0
2026-02-17,224.08,225.775,220.84,221.19,2181278.0
2026-02-18,219.295,219.295,209.48,216.84,2975167.0
2026-02-19,218.52,224.61,217.75,221.63,1325224.0
2026-02-20,222.0,222.0,218.4201,219.5,1264773.0
2026-02-23,219.67,222.59,219.038,221.19,1792068.138354
2026-02-24,221.61,224.19,219.9,220.74,1134226.370799
2026-02-25,220.74,221.785,218.28,221.59,1139758.070129
2026-02-26,222.94,224.8,221.14,224.59,1190314.573561
2026-02-27,225.22,229.32,225.041,229.0,1437738.461307
2026-03-02,230.0,231.46,227.9344,230.37,899160.516361
2026-03-03,230.05,233.42,227.49,232.27,1293126.138413
2026-03-04,231.11,232.2,230.31,231.57,985236.561632
2026-03-05,230.43,231.79,228.16,231.67,1273009.315695
2026-03-06,230.85,232.6599,229.86,231.05,938855.183757
2026-03-09,229.59,231.37,228.08,230.14,1300435.843146
2026-03-10,228.82,228.82,220.01,223.53,1313890.647018
2026-03-11,223.05,225.0,221.77,223.79,996728.090727
2026-03-12,224.48,229.1999,223.32,225.78,1040017.743362
2026-03-13,227.36,227.56,223.71,224.28,1206179.036604
2026-03-16,224.95,225.28,223.01,224.13,874708.275029
2026-03-17,225.1,226.81,224.2873,224.77,967041.443856
2026-03-18,224.05,225.442,221.99,221.99,1155041.835638
2026-03-19,222.21,224.81,221.01,223.02,1148689.006999
2026-03-20,223.38,223.9,218.85,219.3,2266464.538111
2026-03-23,220.31,221.45,216.68,216.73,1745540.401109
2026-03-24,215.93,218.74,215.12,215.27,1629880.569652
2026-03-25,216.14,216.465,210.77,215.55,1221711.387461
2026-03-26,215.64,218.83,215.61,217.27,1030725.032083
2026-03-27,217.31,218.96,215.765,215.83,1063524.111657
2026-03-30,217.13,224.445,215.84,221.68,1935948.732915
2026-03-31,221.27,222.21,217.97,219.02,1954516.370625
2026-04-01,218.86,221.23,218.105,220.65,998091.611949
2026-04-02,221.0,224.9884,220.62,223.19,891112.63106
2026-04-06,222.76,222.83,219.77,220.86,1429404.332215
2026-04-07,221.75,223.06,219.231,220.38,1144401.999773
2026-04-08,217.61,219.39,214.44,216.51,2821164.070777
2026-04-09,217.3,218.18,216.15,217.0,1853656.224438
2026-04-10,217.0,217.03,212.625,214.66,1621190.3227
2026-04-13,215.27,215.27,211.22,213.48,1992068.069422
2026-04-14,213.0,214.1,208.79,211.73,2372357.864374
2026-04-15,211.09,212.135,209.81,210.87,1387551.052255
2026-04-16,211.94,213.5772,209.19,209.66,1132212.825027
2026-04-17,208.79,208.885,206.46,207.66,2197723.949301
2026-04-20,208.0,209.19,207.55,208.45,1626617.852911
2026-04-21,208.12,208.7,204.96,205.3,2008780.614934
2026-04-22,204.99,207.03,204.26,205.29,1606162.090461
2026-04-23,206.18,214.1,206.18,214.04,1811660.002559
2026-04-24,212.34,213.6,209.38,209.79,1061237.736201
2026-04-27,209.27,210.87,205.93,206.11,1122436.457349
2026-04-28,209.25,209.59,206.92,208.15,2078793.559417
2026-04-29,208.0,208.725,205.13,208.31,1385322.130236
2026-04-30,207.88,210.055,207.49,209.22,1630764.113087
2026-05-01,211.05,211.7,206.36,206.56,1243372.377336
