date,open,high,low,close,volume
2025-05-08,84.56,85.19,83.8,84.37,8553952.0
2025-05-09,84.58,84.74,83.62,84.47,5910125.0
2025-05-12,86.99,86.995,84.06,85.37,9421879.0
2025-05-13,85.51,86.87,85.11,86.22,9564860.0
2025-05-14,85.81,87.29,85.78,87.16,9279347.0
2025-05-15,87.21,88.37,86.95,88.11,8619546.0
2025-05-16,88.42,88.87,87.72,88.69,6566897.0
2025-05-19,88.56,89.39,88.245,89.23,6797240.0
2025-05-20,89.11,89.845,88.8,89.18,6532976.0
2025-05-21,88.92,88.92,87.32,87.58,8581435.0
2025-05-22,87.22,87.67,86.955,87.31,6596476.0
2025-05-23,86.2,87.7634,86.03,87.4,5166687.0
2025-05-27,88.14,88.95,87.61,88.63,6809005.0
2025-05-28,88.44,88.6,87.985,88.05,5792257.0
2025-05-29,88.34,88.5,87.1601,87.76,7800150.0
2025-05-30,87.57,88.52,86.945,88.34,11834700.0
2025-06-02,87.76,88.17,86.91,88.11,6012701.0
2025-06-03,87.97,88.515,87.45,88.0,6124082.0
2025-06-04,88.02,88.23,87.32,87.48,5543695.0
2025-06-05,87.66,87.78,86.93,87.24,6172510.0
2025-06-06,88.15,88.6,87.745,88.25,4858773.0
2025-06-09,88.29,88.645,87.65,88.21,5117102.0
2025-06-10,88.01,88.44,87.57,88.27,5438292.0
2025-06-11,88.21,89.35,87.89,88.4,6761596.0
2025-06-12,88.05,88.54,87.595,88.5,4380573.0
2025-06-13,87.91,88.1,85.7601,87.36,8938925.0
2025-06-16,87.82,89.675,87.77,88.97,7396166.0
2025-06-17,88.62,89.315,88.42,88.96,7077671.0
2025-06-18,88.96,90.19,88.74,89.91,8081680.0
2025-06-20,90.06,90.6,89.15,89.21,12980993.0
2025-06-23,89.04,89.54,87.17,88.38,10245902.0
2025-06-24,89.19,90.48,88.91,89.32,9769208.0
2025-06-25,89.5,89.915,88.89,89.8,6585905.0
2025-06-26,89.88,90.86,89.03,89.44,11575431.0
2025-06-27,89.54,90.69,88.8301,89.98,9335362.0
2025-06-30,90.25,91.36,90.115,91.24,9525099.0
2025-07-01,90.92,91.6772,90.14,91.17,8199589.0
2025-07-02,91.37,91.815,90.88,91.34,6121876.0
2025-07-03,91.5,92.15,91.095,91.48,5765549.0
2025-07-07,91.5,92.65,91.3192,92.6,7300370.0
2025-07-08,92.65,92.8,91.293,91.95,7089663.0
2025-07-09,92.31,92.6714,91.96,92.32,6140122.0
2025-07-10,92.41,93.35,92.03,93.04,6740805.0
2025-07-11,92.53,92.99,91.825,91.97,6815842.0
2025-07-14,92.08,93.0,91.34,92.7,6116058.0
2025-07-15,92.73,92.9,91.58,91.61,7259153.0
2025-07-16,91.78,91.99,89.9544,91.26,10825607.0
2025-07-17,91.26,93.43,91.105,93.1,12584791.0
2025-07-18,95.7,97.5,94.67,95.8,23553975.0
2025-07-21,96.02,97.08,95.1518,96.25,11871329.0
2025-07-22,96.34,96.62,94.9804,95.39,8865321.0
2025-07-23,95.61,95.87,94.85,95.15,8802189.0
2025-07-24,95.2,96.75,94.72,96.5,9052410.0
2025-07-25,97.48,98.28,96.65,97.06,9106334.0
2025-07-28,97.09,98.08,96.9,97.91,7197556.0
2025-07-29,99.0,99.59,97.72,97.91,9532283.0
2025-07-30,98.0,98.88,97.6,98.57,5962815.0
2025-07-31,98.0,98.75,97.55,97.73,8164940.0
2025-08-01,96.23,96.5,94.41,95.53,9792482.0
2025-08-04,96.1,97.26,95.8401,97.1,9032121.0
2025-08-05,97.35,97.82,95.83,96.44,6236511.0
2025-08-06,96.79,97.22,96.2,96.71,5712222.0
2025-08-07,97.13,97.3,94.69,95.99,7313402.0
2025-08-08,96.26,97.23,95.95,97.08,5032085.0
2025-08-11,97.155,97.909,96.905,97.63,7338033.0
2025-08-12,98.16,99.24,97.9435,98.69,7549659.0
