date,open,high,low,close,volume
2025-04-10,114.64,115.61,112.06,114.37,1439885.0
2025-04-11,114.72,117.0,113.8128,115.94,1126163.0
2025-04-14,116.0,118.79,115.815,117.9,1206573.0
2025-04-15,118.02,118.5,116.0,116.27,951353.0
2025-04-16,117.39,117.88,114.3,114.84,1044638.0
2025-04-17,115.12,116.92,115.105,116.44,1189117.0
2025-04-21,116.48,116.79,114.95,115.9,828947.0
2025-04-22,116.07,117.84,115.55,117.73,1218764.0
2025-04-23,118.57,118.63,116.44,117.6,731328.0
2025-04-24,117.26,117.26,114.635,115.69,1115358.0
2025-04-25,116.0,116.075,113.27,115.23,788747.0
2025-04-28,115.19,115.74,113.28,114.02,920748.0
2025-04-29,113.7,115.54,112.13,115.29,715434.0
2025-04-30,116.49,116.78,113.99,116.27,1578350.0
2025-05-01,114.78,115.235,113.59,113.77,819169.0
2025-05-02,114.68,115.06,113.37,114.76,731439.0
2025-05-05,114.13,114.565,113.0,113.91,713412.0
2025-05-06,113.63,114.4,112.46,113.52,910247.0
2025-05-07,113.56,113.65,111.93,112.26,1213114.0
2025-05-08,112.08,113.23,111.83,112.02,1619041.0
2025-05-09,111.94,113.59,111.42,111.54,1086018.0
2025-05-12,111.38,112.685,110.94,112.5,1328401.0
2025-05-13,112.78,112.82,110.45,111.49,924472.0
2025-05-14,111.0,111.12,109.3676,110.26,1174844.0
2025-05-15,110.92,112.76,110.49,112.65,929058.0
2025-05-16,111.61,113.63,111.3,113.49,929846.0
2025-05-19,113.56,113.81,112.84,113.44,796095.0
2025-05-20,113.77,115.61,113.42,114.95,1128173.0
2025-05-21,114.95,115.18,112.49,112.53,896434.0
2025-05-22,112.01,112.32,110.525,111.99,1115565.0
2025-05-23,112.04,112.79,110.71,112.64,683076.0
2025-05-27,113.17,114.11,112.345,113.93,1080985.0
2025-05-28,113.71,113.995,110.285,110.95,1247682.0
2025-05-29,110.64,112.58,110.5,112.47,815789.0
2025-05-30,112.7,113.29,112.095,112.61,1464543.0
2025-06-02,112.59,112.7,110.44,112.0,811933.0
2025-06-03,111.55,112.7725,110.21,112.5,787837.0
2025-06-04,112.87,113.235,111.89,112.03,895330.0
2025-06-05,111.53,112.06,110.57,111.04,917375.0
2025-06-06,111.33,112.39,110.23,110.88,1532683.0
2025-06-09,111.0,111.94,110.31,111.85,2048256.0
2025-06-10,105.0,105.9,93.93,94.41,13930146.0
2025-06-11,95.01,96.46,94.0,95.87,6804086.0
2025-06-12,96.0,97.42,94.84,97.37,3788559.0
2025-06-13,97.48,98.21,95.6,95.72,2926583.0
2025-06-16,96.2,96.85,94.28,95.36,2105115.0
2025-06-17,95.02,95.74,94.35,94.5,1600552.0
2025-06-18,94.33,96.29,93.3,95.96,2258245.0
2025-06-20,95.9,97.655,95.672,96.93,3510986.0
2025-06-23,97.1,98.6,96.26,97.33,2012249.0
2025-06-24,97.24,97.87,96.44,97.19,2128786.0
2025-06-25,96.35,96.49,95.4,95.72,2337062.0
2025-06-26,95.91,97.23,95.64,96.14,2025193.0
2025-06-27,96.28,96.3,95.0808,95.63,2760228.0
2025-06-30,95.58,98.51,95.25,98.2,2279333.0
2025-07-01,98.4,103.84,98.33,102.95,3110956.0
2025-07-02,102.62,104.96,102.336,104.83,2883907.0
2025-07-03,104.93,105.0,103.43,104.08,1095162.0
2025-07-07,104.12,104.35,102.79,103.53,2071074.0
