date,open,high,low,close,volume
2025-05-08,66.48,67.76,66.1101,66.63,1228442.0
2025-05-09,67.96,71.085,66.91,70.23,1823654.0
2025-05-12,71.56,75.71,71.07,74.8,1529089.0
2025-05-13,74.63,74.905,73.41,73.52,1230173.0
2025-05-14,73.0,73.115,70.08,71.14,1400644.0
2025-05-15,71.14,73.045,70.52,72.94,1237772.0
2025-05-16,72.86,74.195,72.28,74.11,824004.0
2025-05-19,74.75,75.97,74.26,75.77,1141792.0
2025-05-20,75.5,75.52,74.24,74.7,821579.0
2025-05-21,73.23,73.68,71.57,72.76,2551155.0
2025-05-22,72.49,72.96,71.31,72.66,1095937.0
2025-05-23,71.92,72.4,70.41,70.81,1119861.0
2025-05-27,72.2,72.58,71.21,72.53,794932.0
2025-05-28,72.5,72.8,71.84,72.63,991114.0
2025-05-29,73.08,73.29,71.66,72.61,970148.0
2025-05-30,71.93,73.513,71.345,73.09,4073029.0
2025-06-02,73.19,73.69,71.94,73.12,961063.0
2025-06-03,73.0,74.51,72.4078,74.26,1135795.0
2025-06-04,74.61,75.51,74.2,75.14,806036.0
2025-06-05,75.41,75.84,74.67,75.37,784142.0
2025-06-06,75.9,76.03,74.55,74.84,717103.0
2025-06-09,75.13,75.51,74.15,74.92,1091247.0
2025-06-10,74.64,76.3795,74.4555,75.55,922018.0
2025-06-11,75.75,75.75,74.12,74.41,776319.0
2025-06-12,74.2,74.29,73.63,74.29,649293.0
2025-06-13,73.35,74.66,73.11,73.8,599751.0
2025-06-16,73.97,74.64,73.595,74.45,656802.0
2025-06-17,73.85,73.955,72.065,72.76,733666.0
2025-06-18,72.75,73.335,72.17,72.63,683844.0
2025-06-20,73.1,73.8,72.83,73.57,1158122.0
2025-06-23,73.55,73.77,71.845,73.25,878528.0
2025-06-24,73.58,75.13,72.855,74.98,848649.0
2025-06-25,74.97,75.095,74.195,74.95,553966.0
2025-06-26,74.92,75.68,74.28,74.63,617641.0
2025-06-27,74.63,75.49,74.2001,75.46,1038850.0
2025-06-30,75.38,76.0888,74.75,75.84,755693.0
2025-07-01,76.73,78.86,76.34,77.89,1066508.0
2025-07-02,77.37,78.43,77.25,78.25,1166479.0
2025-07-03,78.16,78.855,77.824,78.5,474266.0
2025-07-07,78.39,78.855,76.16,76.24,924055.0
2025-07-08,76.03,76.705,74.83,75.08,1032652.0
2025-07-09,75.32,75.32,73.87,74.19,580609.0
2025-07-10,74.3,75.9,73.9058,75.88,766473.0
2025-07-11,75.18,75.21,73.412,73.8,715876.0
2025-07-14,73.58,74.34,73.27,74.07,556888.0
2025-07-15,76.22,76.33,73.57,73.68,768591.0
2025-07-16,73.75,73.75,71.98,73.03,530921.0
2025-07-17,73.16,74.055,73.05,73.86,424506.0
2025-07-18,74.29,74.66,72.98,73.28,584168.0
2025-07-21,73.24,73.395,72.3,72.34,436690.0
2025-07-22,72.58,73.3,72.11,72.92,550573.0
2025-07-23,73.7,74.69,73.2718,74.4,507287.0
2025-07-24,74.3,74.9,73.62,73.93,449134.0
2025-07-25,73.84,74.91,73.605,74.75,453342.0
2025-07-28,74.76,74.76,73.655,73.77,399539.0
2025-07-29,73.8,74.2,73.25,73.55,365497.0
2025-07-30,73.36,73.9,72.52,72.98,450063.0
2025-07-31,72.06,73.03,71.14,71.36,708059.0
2025-08-01,71.08,72.33,70.63,71.73,780686.0
2025-08-04,71.92,73.46,71.92,73.22,849564.0
2025-08-05,73.5,73.52,72.055,72.43,869959.0
2025-08-06,72.9,73.0,71.445,72.57,879346.0
2025-08-07,73.57,73.89,71.65,71.95,1318616.0
2025-08-08,74.38,74.9773,72.88,73.39,1758124.0
