date,open,high,low,close,volume
2025-04-24,79.16,83.27,79.135,83.04,4105558.0
2025-04-25,83.33,83.81,82.0,82.7,4055481.0
2025-04-28,82.21,82.89,80.56,82.16,2895863.0
2025-04-29,81.585,82.68,81.22,81.6,6502524.0
2025-04-30,87.135,91.51,85.47,91.03,11880101.0
2025-05-01,92.0,93.168,89.89,90.01,5496492.0
2025-05-02,91.55,93.29,91.29,93.07,3409480.0
2025-05-05,92.325,94.33,91.98,93.58,2805843.0
2025-05-06,92.46,94.41,91.92,93.9,2754096.0
2025-05-07,93.99,95.67,93.325,95.45,3716152.0
2025-05-08,96.31,97.225,94.9732,96.3,2392827.0
2025-05-09,97.11,97.73,95.63,95.71,2568288.0
2025-05-12,101.13,103.04,100.0,101.95,5791995.0
2025-05-13,101.9,105.98,101.55,105.47,4336010.0
2025-05-14,105.15,105.86,104.48,105.19,4245713.0
2025-05-15,106.955,108.0,105.91,107.43,4711904.0
2025-05-16,107.52,108.98,107.0,107.79,3234920.0
2025-05-19,105.91,109.67,105.6617,109.04,3286201.0
2025-05-20,109.47,109.48,106.275,106.97,3404275.0
2025-05-21,106.5,107.8222,103.73,104.43,4800572.0
2025-05-22,106.08,111.47,105.35,108.86,8056826.0
2025-05-23,108.28,113.17,108.28,112.74,5981623.0
2025-05-27,113.87,117.36,113.2,117.05,4485887.0
2025-05-28,117.24,118.63,116.815,117.34,4093977.0
2025-05-29,117.56,118.2,116.28,118.14,2447169.0
2025-05-30,117.17,119.13,116.67,117.94,4352685.0
2025-06-02,117.01,119.7554,116.782,119.15,3097690.0
2025-06-03,119.1,124.04,118.75,123.23,4835199.0
2025-06-04,123.73,127.69,123.73,127.64,5769179.0
2025-06-05,127.91,129.95,127.36,127.7,4765890.0
2025-06-06,128.9,129.96,126.76,126.97,4377572.0
2025-06-09,129.54,132.225,128.8769,130.17,5425757.0
2025-06-10,129.97,130.685,126.345,127.99,6119653.0
2025-06-11,129.05,129.08,125.71,126.49,4553154.0
2025-06-12,126.155,127.35,125.7867,126.07,3005037.0
2025-06-13,125.17,128.31,124.6301,127.27,3000982.0
2025-06-16,128.7,131.49,127.6101,131.04,3530344.0
2025-06-17,130.45,133.5,130.0,130.87,3410882.0
2025-06-18,130.87,133.76,130.36,131.3,2816793.0
2025-06-20,132.17,132.61,130.325,130.96,6027515.0
2025-06-23,132.33,133.89,130.9184,133.08,4372694.0
2025-06-24,134.0,137.54,133.85,136.31,4670484.0
2025-06-25,137.67,138.69,136.28,138.54,3574853.0
2025-06-26,138.54,140.8,138.0,140.69,3047106.0
2025-06-27,141.58,142.47,140.295,141.44,4651135.0
2025-06-30,142.0,144.48,141.5838,144.33,3663826.0
2025-07-01,143.64,145.73,142.63,145.04,4951376.0
2025-07-02,145.04,152.05,144.79,151.94,6703596.0
2025-07-03,152.0,152.155,149.24,149.44,3619715.0
2025-07-07,149.47,151.8,147.74,148.39,3661675.0
2025-07-08,149.06,149.71,143.43,144.47,4599061.0
2025-07-09,145.92,145.92,141.71,142.01,6198769.0
2025-07-10,144.5,146.235,142.45,144.5,5593932.0
2025-07-11,144.0,147.91,143.5,147.18,2868745.0
2025-07-14,148.55,149.955,145.62,149.08,2856683.0
2025-07-15,150.31,150.96,147.8,149.05,2461421.0
2025-07-16,148.98,149.0,145.51,147.12,2694636.0
2025-07-17,147.12,149.645,146.35,146.72,5155524.0
2025-07-18,147.61,149.91,146.224,149.075,3336593.0
2025-07-21,149.46,150.92,148.03,149.63,3454105.0
2025-07-22,149.0,149.28,144.76,146.59,3045025.0
2025-07-23,147.15,152.83,147.0,152.76,4024938.0
2025-07-24,152.23,153.88,151.0761,152.73,2429724.0
2025-07-25,152.4,153.33,148.435,150.89,3125993.0
2025-07-28,151.48,152.04,149.74,150.46,2585241.0
2025-07-29,151.75,155.52,150.0,152.68,6242766.0
2025-07-30,141.0,148.54,138.3,147.42,12025065.0
