date,open,high,low,close,volume
2025-04-24,41.28,42.69,41.24,42.45,4821419.0
2025-04-25,42.6,42.64,41.82,42.23,2089404.0
2025-04-28,42.39,43.39,42.08,42.55,3121082.0
2025-04-29,42.4,42.82,41.94,42.35,2403474.0
2025-04-30,41.23,42.22,40.57,42.02,4614404.0
2025-05-01,41.44,42.18,40.41,40.47,2989154.0
2025-05-02,41.22,41.78,40.73,41.28,2310293.0
2025-05-05,40.36,40.68,38.965,39.62,2784544.0
2025-05-06,39.05,39.72,38.92,39.56,3262380.0
2025-05-07,40.02,40.39,39.745,40.0,3318263.0
2025-05-08,41.065,41.97,40.58,41.7,4211515.0
2025-05-09,41.77,41.95,41.2,41.9,3304412.0
2025-05-12,45.17,46.8,44.07,45.0,5216155.0
2025-05-13,45.55,46.33,45.18,45.98,4318784.0
2025-05-14,45.94,46.7825,45.045,46.61,5151614.0
2025-05-15,46.44,47.13,46.21,46.63,4180916.0
2025-05-16,46.01,46.77,45.88,46.64,3141947.0
2025-05-19,46.15,46.6,45.78,46.39,2472255.0
2025-05-20,46.22,46.4,45.75,45.94,2059713.0
2025-05-21,45.57,45.7,44.47,44.49,2433656.0
2025-05-22,44.14,44.81,43.85,44.48,2723354.0
2025-05-23,43.69,44.33,43.6,43.74,2015661.0
2025-05-27,44.78,44.78,44.13,44.39,3327874.0
2025-05-28,44.16,44.2,43.47,43.51,3040589.0
2025-05-29,44.46,44.46,43.43,43.91,2226035.0
2025-05-30,43.26,43.39,42.64,43.33,5468171.0
2025-06-02,43.33,43.34,42.0,42.62,3091370.0
2025-06-03,42.19,43.05,41.88,42.81,2934497.0
2025-06-04,42.895,43.12,42.59,42.59,2804230.0
2025-06-05,42.73,43.52,42.35,43.07,2197208.0
2025-06-06,43.72,43.755,42.981,43.32,1561945.0
2025-06-09,43.77,44.1999,43.46,43.99,2644327.0
2025-06-10,44.09,44.185,43.575,43.81,2011681.0
2025-06-11,43.56,43.85,43.112,43.39,1940018.0
2025-06-12,42.95,43.3,42.69,43.0,2557854.0
2025-06-13,42.15,42.96,41.75,41.98,3757178.0
2025-06-16,43.29,43.81,42.91,43.25,3855746.0
2025-06-17,42.88,43.58,42.66,42.79,3126217.0
2025-06-18,42.75,42.82,42.285,42.39,3237609.0
2025-06-20,43.24,43.28,42.33,42.35,11210139.0
2025-06-23,41.76,42.495,41.34,42.42,3735591.0
2025-06-24,43.43,43.66,42.85,43.5,2362783.0
