date,open,high,low,close,volume
2025-05-08,66.915,69.36,64.93,67.29,6377429.0
2025-05-09,68.175,69.24,67.45,68.21,5017642.0
2025-05-12,72.51,73.56,71.5,73.04,6361178.0
2025-05-13,72.86,74.07,72.49,72.6,3597828.0
2025-05-14,72.72,73.015,71.73,72.24,3024654.0
2025-05-15,71.62,72.32,70.48,72.28,2942988.0
2025-05-16,72.28,73.405,71.76,73.32,2336687.0
2025-05-19,71.66,72.975,71.66,72.92,2260763.0
2025-05-20,72.68,73.5,72.38,73.28,2453119.0
2025-05-21,72.58,73.54,70.98,71.35,3478821.0
2025-05-22,71.49,71.49,70.06,70.36,2963660.0
2025-05-23,67.86,70.093,67.24,69.39,3902241.0
2025-05-27,69.97,71.76,69.22,71.39,3403350.0
2025-05-28,71.49,71.49,69.62,69.77,4194468.0
2025-05-29,70.74,70.74,68.91,69.5,3025971.0
2025-05-30,68.63,69.51,67.52,69.03,15911529.0
2025-06-02,68.77,69.36,68.145,68.95,3875514.0
2025-06-03,68.6,71.13,67.97,71.03,4042664.0
2025-06-04,71.42,72.19,71.045,71.2,3583238.0
2025-06-05,71.48,72.025,70.26,70.785,4205837.0
2025-06-06,71.7,72.51,71.37,71.59,2185764.0
2025-06-09,72.38,73.885,72.205,73.17,2820568.0
2025-06-10,73.75,75.62,73.51,74.95,4660664.0
2025-06-11,75.2,75.275,72.36,72.82,3493876.0
2025-06-12,72.41,73.0,71.71,72.01,2099027.0
2025-06-13,70.92,72.165,70.4,71.25,3365824.0
2025-06-16,72.21,72.4,71.225,71.98,2601485.0
2025-06-17,71.26,72.4699,71.21,71.53,3268068.0
2025-06-18,71.55,72.67,71.27,71.62,2330543.0
2025-06-20,72.03,72.23,70.745,72.13,6353912.0
2025-06-23,72.32,72.93,71.01,72.35,2642451.0
2025-06-24,73.01,74.4,72.9201,73.42,3015101.0
2025-06-25,73.92,74.47,73.4,74.27,2676569.0
2025-06-26,74.515,74.86,73.9,74.65,2074913.0
2025-06-27,74.84,75.17,73.885,74.8,3796506.0
2025-06-30,74.82,74.99,73.99,74.52,1852002.0
2025-07-01,74.39,78.475,73.99,77.16,3271893.0
2025-07-02,77.27,78.25,76.55,78.18,2326053.0
2025-07-03,78.55,78.94,77.64,78.76,1831003.0
2025-07-07,78.175,78.7964,76.025,76.19,2428453.0
2025-07-08,76.94,79.21,76.58,77.94,2485863.0
2025-07-09,77.76,78.7485,76.823,77.63,1381282.0
2025-07-10,76.66,78.15,76.52,77.7,2169437.0
2025-07-11,76.81,77.41,75.12,75.42,2065848.0
2025-07-14,74.98,74.98,73.65,74.43,2651148.0
2025-07-15,75.66,75.82,72.93,72.97,1952864.0
2025-07-16,72.68,73.2,71.87,72.87,1819672.0
2025-07-17,72.37,72.97,71.32,72.2,2348470.0
2025-07-18,72.5,73.1,72.02,72.765,1788140.0
2025-07-21,72.93,74.155,72.66,72.72,1877073.0
2025-07-22,72.71,73.49,72.3058,73.38,2052026.0
2025-07-23,73.3,73.56,71.91,73.09,2093531.0
2025-07-24,72.44,73.34,71.635,72.34,1482695.0
2025-07-25,72.21,72.47,71.21,71.53,1539246.0
2025-07-28,72.19,72.32,71.11,71.32,2211799.0
2025-07-29,71.84,72.11,70.64,71.94,2406373.0
2025-07-30,73.84,73.96,70.79,71.33,2454592.0
2025-07-31,70.43,70.99,68.23,68.54,3301871.0
2025-08-01,67.77,68.19,66.13,67.69,2727226.0
2025-08-04,67.965,68.27,67.59,67.935,2348372.0
2025-08-05,68.24,68.57,67.03,67.63,4515237.0
2025-08-06,69.14,70.8747,65.7,67.52,5432395.0
2025-08-07,68.26,69.38,67.35,68.55,4293848.0
2025-08-08,68.66,71.195,68.22,71.08,2596824.0
2025-08-11,71.42,72.23,70.41,70.53,2563828.0
2025-08-12,71.465,72.535,70.33,71.69,2950010.0
2025-08-13,71.8,73.79,71.38,73.65,1915171.0
2025-08-14,72.415,75.64,72.33,75.36,2207038.0
2025-08-15,75.75,75.86,73.825,74.52,2364318.0
2025-08-18,74.46,75.17,74.08,74.26,1669263.0
2025-08-19,74.55,76.02,74.495,74.93,1946292.0
2025-08-20,74.81,75.29,73.86,75.12,2393785.0
2025-08-21,74.5,75.18,74.17,74.52,1369897.0
2025-08-22,75.12,78.13,74.8558,77.29,2392248.0
2025-08-25,77.14,77.39,76.45,76.76,1869750.0
2025-08-26,76.0,77.055,75.64,75.67,2814360.0
2025-08-27,75.49,76.35,75.13,76.2,1529895.0
2025-08-28,76.17,76.53,74.85,75.1,1869151.0
2025-08-29,74.65,75.615,74.47,74.94,2234382.0
2025-09-02,72.98,73.91,71.555,73.07,2210612.0
2025-09-03,73.26,73.72,72.63,73.56,2419785.0
2025-09-04,73.03,74.71,72.185,74.64,2279763.0
2025-09-05,74.875,76.38,74.575,75.2,2138436.0
2025-09-08,75.27,75.68,73.565,75.63,2196150.0
2025-09-09,75.63,76.74,74.58,75.06,2290553.0
2025-09-10,75.06,75.075,72.09,73.6,2820602.0
2025-09-11,74.22,74.81,72.98,74.68,3424014.0
2025-09-12,74.4,74.6,73.005,74.46,2140564.0
2025-09-15,74.4,75.54,72.48,72.87,2660250.0
2025-09-16,73.48,74.6,73.22,74.22,2744596.0
2025-09-17,74.33,75.42,73.06,74.49,2413716.0
2025-09-18,75.84,77.47,75.38,77.03,3356869.0
2025-09-19,77.94,80.3,75.7275,78.95,8990816.0
2025-09-22,79.65,83.47,79.55,82.97,4497157.0
2025-09-23,83.23,83.515,80.41,81.26,2301832.0
2025-09-24,80.88,81.92,80.54,80.66,1678664.0
2025-09-25,79.87,79.965,78.47,79.36,1547242.0
2025-09-26,79.38,79.88,78.83,79.51,1310534.0
2025-09-29,80.11,80.305,76.5,76.93,2796723.0
2025-09-30,76.93,77.66,76.2786,76.98,2195439.0
2025-10-01,76.95,77.6,75.62,76.34,2350758.0
2025-10-02,77.08,78.26,76.63,77.37,1742599.0
2025-10-03,77.21,78.15,76.865,77.1,1475272.0
2025-10-06,77.4,77.655,75.04,76.91,1925767.0
2025-10-07,77.63,78.0,74.16,74.34,1585208.0
2025-10-08,74.55,76.22,74.155,76.1,1611174.0
2025-10-09,75.93,76.03,72.88,73.64,1958116.0
2025-10-10,74.0,74.12,68.98,69.16,3062650.0
2025-10-13,71.48,73.68,70.525,73.37,3019668.0
2025-10-14,71.33,73.64,71.25,72.77,2276115.0
2025-10-15,73.91,74.38,72.56,74.22,2055315.0
2025-10-16,74.73,74.825,73.3,74.47,2050372.0
2025-10-17,73.57,75.65,73.02,75.32,1654199.0
2025-10-20,74.0,76.8481,72.7831,76.14,2161052.0
2025-10-21,75.71,76.66,75.41,76.4,1146569.0
2025-10-22,75.4,76.49,73.055,73.965,2911548.0
2025-10-23,73.51,76.26,73.33,75.775,2130752.0
2025-10-24,76.51,76.51,73.96,74.04,2067410.0
2025-10-27,74.67,76.01,74.5,75.84,1853343.0
2025-10-28,85.66,90.9,80.14,80.26,11143942.0
2025-10-29,83.14,84.53,78.59,78.74,7443149.0
2025-10-30,78.74,81.12,78.485,79.16,3923967.0
2025-10-31,79.04,80.0,76.8,77.72,3872749.0
2025-11-03,77.57,78.0,76.0816,76.54,3824366.0
2025-11-04,74.99,75.75,71.66,71.99,5593285.0
2025-11-05,73.87,75.65,71.39,73.46,5613116.0
2025-11-06,73.58,74.2065,70.26,70.64,3585478.0
2025-11-07,69.49,69.685,67.55,69.58,3200717.0
2025-11-10,70.69,70.7353,68.19,69.1,3298835.0
2025-11-11,69.46,70.48,68.45,68.85,2988162.0
2025-11-12,69.62,70.03,68.83,69.46,2552381.0
2025-11-13,69.41,70.305,67.82,68.17,3078481.0
2025-11-14,67.24,68.02,66.43,66.6,2258100.0
2025-11-17,66.0,66.32,62.2365,63.16,3997617.0
2025-11-18,62.06,63.31,61.705,62.32,3130752.0
2025-11-19,62.55,63.44,61.65,62.59,3180316.0
2025-11-20,63.28,63.67,60.06,60.5,3775680.0
2025-11-21,60.84,63.32,60.4101,62.61,3928822.0
2025-11-24,63.195,63.79,62.24,63.05,3036095.0
2025-11-25,63.02,63.83,62.28,63.51,2579536.0
2025-11-26,63.6,66.355,63.6,65.34,2966979.0
2025-11-28,65.33,66.01,64.85,65.95,1140045.0
2025-12-01,65.45,66.56,65.11,65.83,2426747.0
2025-12-02,66.23,68.5325,65.44,68.24,2954147.0
2025-12-03,68.42,70.26,68.135,69.37,2413652.0
2025-12-04,69.32,69.77,68.57,69.01,1937613.0
2025-12-05,68.95,70.1,68.47,69.32,2415749.0
2025-12-08,69.385,70.3099,68.61,69.21,2583678.0
2025-12-09,68.8,69.45,68.04,68.54,2468380.0
2025-12-10,68.19,69.599,67.72,68.81,2951907.0
2025-12-11,68.32,68.52,67.09,68.25,2158328.0
2025-12-12,68.22,68.81,66.595,66.97,3372908.0
2025-12-15,67.63,68.11,66.16,66.37,2429122.0
2025-12-16,66.49,66.93,65.05,66.02,2556421.0
2025-12-17,66.0,66.78,64.48,65.0,2179149.0
2025-12-18,66.34,66.34,64.44,64.49,2646004.0
2025-12-19,64.49,65.515,64.15,64.68,5855392.0
2025-12-22,65.37,65.8,64.87,65.24,2139981.0
2025-12-23,65.06,65.25,64.285,64.48,1755261.0
2025-12-24,64.44,65.11,64.21,64.51,742953.0
2025-12-26,64.79,64.84,64.17,64.21,1433564.0
2025-12-29,64.0,64.4565,63.67,64.02,1794044.0
2025-12-30,64.09,64.52,63.9101,64.46,1773270.0
2025-12-31,64.275,64.46,63.38,63.41,1622302.0
2026-01-02,64.17,65.04,63.39,64.395,2891930.0
2026-01-05,64.86,66.36,64.56,65.16,3269109.0
2026-01-06,65.48,67.67,65.44,66.27,3650065.0
2026-01-07,65.68,65.98,58.15,59.82,9452334.0
2026-01-08,58.905,61.95,58.1,60.66,4882349.0
2026-01-09,61.07,61.68,59.965,60.17,4065831.0
2026-01-12,59.19,59.55,57.98,58.85,4378661.0
2026-01-13,59.15,59.4,58.18,58.5,3204187.0
2026-01-14,58.29,59.89,58.1015,59.86,2708143.0
2026-01-15,60.1,60.18,58.0,58.46,3675943.0
2026-01-16,58.89,59.385,57.75,57.77,3246361.0
2026-01-20,57.21,58.28,56.52,57.41,3193862.0
2026-01-21,57.87,59.04,57.754,58.55,4624967.0
2026-01-22,59.13,61.8,58.85,59.67,4330420.0
2026-01-23,59.32,59.73,58.14,58.96,5009956.0
2026-01-26,58.67,60.09,58.26,59.76,3482731.0
2026-01-27,59.91,60.89,59.3601,60.05,3890647.0
2026-01-28,54.88,58.35,54.02,55.28,9865369.0
2026-01-29,55.26,55.83,54.28,55.79,4396511.0
2026-01-30,55.22,55.79,54.67,55.76,6281941.0
2026-02-02,55.51,57.0,55.26,56.83,3804212.0
2026-02-03,56.83,56.92,54.61,55.93,5698674.0
2026-02-04,58.71,60.0,56.5,59.0,8476686.0
2026-02-05,57.75,61.65,57.75,60.92,6931839.0
2026-02-06,61.1,62.7,60.92,62.1,4336420.0
2026-02-09,62.0,62.695,61.38,61.55,2957479.0
2026-02-10,61.68,63.59,61.24,62.31,2885692.0
2026-02-11,62.82,64.2199,62.56,63.68,2732680.0
2026-02-12,63.65,64.08,60.319,60.73,3412500.0
2026-02-13,60.585,62.22,60.2,62.1,2994324.0
2026-02-17,61.67,62.82,60.95,62.16,2782898.0
2026-02-18,62.4,62.85,61.505,62.0,2433179.0
2026-02-19,61.81,62.25,59.04,59.22,3688467.0
2026-02-20,58.96,60.665,58.14,60.05,3876670.0
2026-02-23,59.92,60.3921,58.49,59.78,2560309.595576
2026-02-24,59.28,61.46,59.28,59.9,1814747.061911
2026-02-25,60.1,60.6,59.22,59.82,2950881.007934
2026-02-26,59.97,60.769,58.61,59.61,3144462.315556
2026-02-27,58.72,59.64,57.38,59.58,3356555.630925
2026-03-02,57.75,59.54,57.33,58.93,2633210.440852
2026-03-03,57.43,58.62,56.86,58.15,4165647.88283
2026-03-04,58.29,58.74,56.235,56.28,3047203.575248
2026-03-05,55.98,57.3,55.805,56.48,3174732.776917
2026-03-06,55.43,56.01,54.5,54.81,3987212.0779
2026-03-09,53.93,55.45,52.17,55.28,3942997.43854
2026-03-10,55.15,55.905,53.41,54.93,3209465.722877
2026-03-11,55.635,56.875,54.8,55.35,2648481.44054
2026-03-12,54.92,56.405,54.5958,55.2,3166071.193824
2026-03-13,55.42,56.44,54.475,54.74,2709841.807233
2026-03-16,56.02,56.02,54.505,54.54,2061035.912942
2026-03-17,55.03,55.6,53.4,53.71,2616706.565105
2026-03-18,53.49,54.285,53.3,53.58,3270588.39538
2026-03-19,52.78,54.61,52.43,54.12,2610890.992686
2026-03-20,54.12,55.08,53.57,54.44,7471324.508173
2026-03-23,55.32,55.54,54.195,54.49,3125608.017881
2026-03-24,54.02,56.65,54.02,55.36,3115325.107571
2026-03-25,55.85,56.8,55.5,56.19,2102588.32938
2026-03-26,55.6,57.6,55.58,56.66,2586578.560574
2026-03-27,56.11,56.415,53.26,53.65,3443504.423455
2026-03-30,53.87,54.1031,51.93,52.5,3336958.078534
2026-03-31,53.25,53.79,52.11,53.55,3538847.040388
2026-04-01,53.59,54.39,52.9,53.22,3277668.536183
2026-04-02,52.99,55.34,52.32,55.19,5395344.742257
2026-04-06,55.49,56.2,55.105,55.97,2294160.953806
2026-04-07,55.95,55.95,53.98,55.06,2616636.860317
2026-04-08,56.26,56.64,55.35,56.54,3612460.862635
2026-04-09,56.25,56.96,55.945,56.56,3006712.141435
2026-04-10,57.04,57.33,56.12,56.36,2163870.897781
2026-04-13,56.145,56.56,55.37,56.5,2748202.483297
2026-04-14,56.5,57.5,56.05,57.28,2432022.410863
2026-04-15,57.18,57.99,56.71,57.93,2180237.74205
2026-04-16,58.165,59.0,57.75,58.7,1973230.484074
2026-04-17,59.13,60.23,57.51,58.99,3257497.198018
2026-04-20,57.46,59.605,57.4,59.46,2651203.181318
2026-04-21,59.91,61.04,59.69,59.94,2220904.15086
2026-04-22,61.59,62.105,61.3,61.77,2726671.998196
2026-04-23,62.2,62.29,60.58,61.55,2743259.811503
2026-04-24,62.83,63.85,61.81,63.65,4086504.008385
2026-04-27,63.7,64.0,60.95,62.12,2347090.840181
2026-04-28,61.43,62.35,60.76,60.98,2773248.219128
2026-04-29,61.88,63.395,61.3,62.66,3540434.57619
2026-04-30,63.02,70.45,62.9293,70.17,8172488.88228
2026-05-01,69.455,69.896,67.28,69.4,4195243.174988
2026-05-04,68.9,69.93,68.25,68.85,3346352.40786
2026-05-05,68.94,72.81,68.71,72.56,6799600.507124
2026-05-06,68.04,68.04,61.535,64.965,10389566.721577
2026-05-07,65.16,67.55,64.56,65.04,6475204.322245
2026-05-08,67.09,67.44,65.395,66.78,5143880.445929
2026-05-11,66.71,70.17,66.46,70.13,5647560.415271
2026-05-12,69.51,69.94,64.645,66.31,7019096.219328
2026-05-13,67.7,68.75,66.7,68.14,4624755.58339
2026-05-14,68.59,68.625,66.36,67.06,4634228.568085
2026-05-15,65.71,69.89,65.66,68.53,5534878.998736
2026-05-18,69.58,71.04,68.26,70.35,6801316.192095
2026-05-19,69.99,72.36,69.21,70.35,4897709.747838
2026-05-20,70.5,74.45,70.31,74.35,4165831.709319
2026-05-21,74.0,74.315,71.1489,73.54,5192838.704588
2026-05-22,73.59,82.46,73.59,82.42,5338625.215104
2026-05-26,82.695,84.785,80.0,83.42,6020089.784818
2026-05-27,84.08,85.175,78.15,78.68,5354219.892857
2026-05-28,78.65,82.08,77.9,81.41,4239996.941413
2026-05-29,82.43,83.71,77.61,77.85,5407564.635633
2026-06-01,77.8,77.81,74.16,75.49,4868345.602884
2026-06-02,77.19,80.63,75.84,79.12,6927015.181101
2026-06-03,78.995,82.41,77.36,80.66,3354136.133667
2026-06-04,79.11,81.87,78.8,79.93,3771131.761796
2026-06-05,78.0,78.37,72.8,73.57,7170155.475029
2026-06-08,75.34,78.89,74.18,75.37,5969615.053888
2026-06-09,75.91,77.2875,69.37,73.56,5884430.25562
2026-06-10,72.56,73.69,70.23,70.29,3989423.744947
2026-06-11,71.1,73.155,70.21,72.73,4751322.963907
2026-06-12,72.35,74.19,71.27,73.97,2262474.157951
2026-06-15,75.78,76.72,73.6,76.26,4384487.406952
2026-06-16,75.29,75.88,71.201,71.42,4956949.233404
2026-06-17,72.255,72.89,69.27,69.38,3922233.62631
2026-06-18,71.41,72.77,68.485,72.45,9405035.209807
2026-06-22,72.9,79.2,71.82,76.18,8013353.420663
2026-06-23,72.88,75.1,71.98,73.44,8504008.064916
2026-06-24,73.54,73.625,69.31,71.4,6630272.417415
2026-06-25,73.25,74.58,68.47,69.94,4585672.148073
2026-06-26,68.02,69.12,66.64,68.0,8308389.818666
2026-06-29,68.5,68.56,65.09,67.71,4353173.057721
2026-06-30,67.25,69.4,67.015,67.8,4960176.883714
2026-07-01,67.17,68.565,65.47,65.93,6482983.252154
2026-07-02,66.25,67.81,62.0,62.56,6220601.105091
