date,open,high,low,close,volume
2025-04-10,48.75,49.54,45.051,46.63,5568635.0
2025-04-11,46.04,46.45,44.43,46.13,6550679.0
2025-04-14,47.66,47.7,46.08,46.96,4094458.0
2025-04-15,47.29,48.46,46.89,47.51,3860044.0
2025-04-16,46.85,47.89,46.185,46.76,3491942.0
2025-04-17,46.86,48.06,46.37,47.87,3507333.0
2025-04-21,47.85,48.53,46.375,47.23,6238804.0
2025-04-22,47.43,48.6,46.13,48.56,7499643.0
2025-04-23,50.41,52.97,49.8,49.91,5965612.0
2025-04-24,49.67,52.14,49.5,51.92,4406686.0
2025-04-25,51.55,52.245,51.38,51.42,5001939.0
2025-04-28,51.4,52.49,51.29,52.17,4060951.0
2025-04-29,51.75,52.6,51.52,52.43,2814243.0
2025-04-30,50.92,52.165,50.0,51.95,4113394.0
2025-05-01,52.28,53.015,51.72,52.31,3303837.0
2025-05-02,53.48,54.49,53.13,54.18,3263044.0
2025-05-05,53.17,54.81,53.04,54.2,3760998.0
2025-05-06,53.15,54.11,52.9927,53.4,3581113.0
2025-05-07,53.77,54.39,53.225,53.77,3297563.0
2025-05-08,54.6,56.01,54.36,55.46,4403132.0
2025-05-09,55.69,55.93,55.1,55.63,3295165.0
2025-05-12,59.49,60.82,58.78,60.36,5947586.0
2025-05-13,60.69,61.65,60.47,61.36,4146972.0
2025-05-14,61.14,61.51,60.66,61.1,5570042.0
2025-05-15,60.61,60.84,59.85,60.49,3959477.0
2025-05-16,60.58,61.35,60.28,60.8,4103185.0
2025-05-19,60.07,60.465,59.58,60.05,3001438.0
2025-05-20,59.74,60.305,59.385,59.84,2803738.0
2025-05-21,59.08,59.37,57.21,57.24,3739396.0
2025-05-22,57.19,57.93,56.79,57.46,3137171.0
2025-05-23,55.67,57.005,55.67,56.74,2219148.0
2025-05-27,57.67,59.1,56.98,59.02,3087555.0
2025-05-28,59.15,59.18,58.17,58.31,2399670.0
2025-05-29,59.15,59.2,57.77,58.25,2002875.0
2025-05-30,57.81,58.13,56.93,57.65,5392644.0
2025-06-02,57.49,58.225,56.51,58.13,2418421.0
2025-06-03,58.06,59.115,57.55,59.02,2962005.0
2025-06-04,59.15,59.5,57.83,57.87,2690136.0
2025-06-05,57.85,58.42,56.975,57.45,2520332.0
2025-06-06,58.65,59.35,58.315,59.22,1642282.0
2025-06-09,60.55,61.6,59.23,60.83,6220506.0
2025-06-10,60.7,60.885,59.83,60.76,2772554.0
2025-06-11,61.12,62.47,61.005,61.79,5658750.0
2025-06-12,61.07,61.86,60.645,61.44,3480274.0
2025-06-13,60.09,60.835,59.46,59.84,2960065.0
2025-06-16,60.67,61.65,60.26,61.27,2627997.0
2025-06-17,60.53,61.02,60.01,60.28,2862768.0
2025-06-18,60.18,61.99,60.18,61.45,2491137.0
2025-06-20,61.98,62.6,61.55,62.34,8719245.0
2025-06-23,61.82,63.315,61.48,63.25,3560039.0
2025-06-24,64.22,65.12,63.935,64.74,2723903.0
2025-06-25,64.96,65.43,64.7,64.93,2667981.0
2025-06-26,65.1,65.96,65.1,65.83,2210780.0
2025-06-27,66.0,66.675,65.56,66.19,3960706.0
2025-06-30,66.72,67.04,66.28,66.74,3572701.0
2025-07-01,66.8,68.67,66.43,68.17,3797332.0
2025-07-02,68.48,69.6,68.23,69.47,3699682.0
2025-07-03,69.73,70.555,69.23,70.16,2265856.0
2025-07-07,69.89,70.375,68.83,69.7,2935515.0
2025-07-08,70.67,70.67,69.29,69.29,3515296.0
2025-07-09,70.01,70.395,69.51,70.16,3347937.0
2025-07-10,70.19,71.88,70.085,71.14,3244114.0
2025-07-11,70.59,70.98,70.1,70.61,2911582.0
2025-07-14,70.82,71.06,70.2801,70.88,2559774.0
2025-07-15,70.61,70.8,68.52,68.56,2569163.0
2025-07-16,69.02,69.52,67.84,69.3,2503196.0
2025-07-17,69.15,70.395,69.15,70.19,2353587.0
2025-07-18,70.49,70.7,69.22,70.04,3230906.0
2025-07-21,70.35,70.68,69.19,69.44,4300222.0
2025-07-22,68.775,71.28,68.19,70.66,5725472.0
2025-07-23,71.78,72.73,70.57,72.08,4878639.0
2025-07-24,72.0,72.69,71.46,71.81,4843728.0
2025-07-25,72.16,73.42,71.56,72.9,3270932.0
2025-07-28,73.04,73.3,72.54,72.87,2800997.0
2025-07-29,73.59,73.76,71.0,71.3,3947234.0
2025-07-30,71.56,71.74,69.705,70.26,3586087.0
2025-07-31,70.19,71.07,69.45,69.67,3483026.0
2025-08-01,67.58,67.9,66.28,67.53,5023697.0
2025-08-04,67.95,69.4,67.73,69.25,3862718.0
2025-08-05,69.36,70.21,68.515,69.99,3712334.0
2025-08-06,70.07,70.1226,69.22,69.45,3603648.0
2025-08-07,70.16,70.27,68.29,68.45,3466986.0
2025-08-08,69.16,69.8199,68.57,69.43,2890415.0
2025-08-11,69.51,69.89,68.955,69.6,3765249.0
2025-08-12,70.0,72.41,69.87,72.36,4516576.0
2025-08-13,72.56,72.83,71.72,72.59,2760246.0
2025-08-14,72.15,72.92,71.57,72.83,2589838.0
2025-08-15,72.97,73.0,71.22,71.49,2841781.0
2025-08-18,71.26,71.8754,70.91,71.79,2021645.0
2025-08-19,71.57,72.535,71.34,71.59,1919558.0
2025-08-20,71.27,71.89,69.93,71.58,2843885.0
2025-08-21,71.18,71.49,70.53,71.23,2161388.0
2025-08-22,71.79,74.11,71.61,73.2,3104524.0
2025-08-25,73.0,74.19,72.86,74.0,2960003.0
2025-08-26,73.8,75.57,73.59,75.34,4220891.0
2025-08-27,75.14,76.1515,75.14,75.76,2967263.0
