date,open,high,low,close,volume
2025-05-07,478.05,483.61,478.05,481.67,205971.0
2025-05-08,486.09,488.815,480.92,481.95,331670.0
2025-05-09,484.45,486.085,480.61,484.96,269173.0
2025-05-12,491.15,500.0,483.69,493.92,506826.0
2025-05-13,493.46,496.505,489.6325,493.17,313662.0
2025-05-14,491.8,493.72,486.73,491.11,410117.0
2025-05-15,492.61,497.64,490.93,496.2,262966.0
2025-05-16,496.4,499.43,493.27,499.17,340510.0
2025-05-19,495.81,497.825,494.09,497.04,253688.0
2025-05-20,496.39,496.39,491.28,495.44,384960.0
2025-05-21,494.47,496.87,487.69,489.23,366169.0
2025-05-22,489.42,490.06,483.23,488.04,179569.0
2025-05-23,484.83,487.985,483.23,486.22,156326.0
2025-05-27,491.46,495.69,488.0101,494.95,176628.0
2025-05-28,495.29,498.4,493.72,496.24,441797.0
2025-05-29,495.96,498.25,494.745,497.49,362138.0
2025-05-30,495.42,500.53,491.74,498.86,556459.0
2025-06-02,497.96,498.9,488.0,494.24,271645.0
2025-06-03,494.24,499.205,490.78,498.73,335434.0
2025-06-04,500.93,500.93,497.075,498.11,464305.0
2025-06-05,500.11,501.185,494.49,500.02,313420.0
2025-06-06,502.73,503.02,498.3001,500.67,241465.0
2025-06-09,501.1,507.75,498.64,505.36,235327.0
2025-06-10,506.6,506.6,498.01,500.56,408111.0
2025-06-11,500.68,501.62,493.855,498.24,487105.0
2025-06-12,495.28,502.05,494.74,494.95,394812.0
2025-06-13,490.05,493.93,486.49,487.47,266328.0
2025-06-16,490.62,492.26,487.3,488.6,381717.0
2025-06-17,486.55,491.28,483.55,490.65,334923.0
2025-06-18,490.78,494.775,487.665,488.94,358152.0
2025-06-20,491.21,492.53,484.735,486.59,697668.0
2025-06-23,486.97,493.11,486.495,491.0,418163.0
2025-06-24,495.0,496.99,490.44,494.63,537951.0
2025-06-25,497.43,498.775,492.16,497.23,336417.0
2025-06-26,500.0,507.94,494.265,506.67,308874.0
2025-06-27,506.53,509.79,503.065,509.69,373514.0
2025-06-30,510.26,513.8449,508.12,512.31,426011.0
2025-07-01,510.42,513.06,507.7,511.57,304890.0
2025-07-02,510.57,511.13,504.47,509.51,252954.0
2025-07-03,510.33,518.345,502.5,517.96,215956.0
2025-07-07,517.8,520.96,512.94,515.48,238477.0
2025-07-08,513.41,517.4,513.41,515.05,239573.0
2025-07-09,518.2,520.9207,516.375,519.86,221640.0
2025-07-10,520.87,530.44,516.86,527.52,495082.0
2025-07-11,523.85,534.5,523.545,530.73,401699.0
2025-07-14,528.85,536.75,526.525,536.73,270608.0
2025-07-15,537.56,542.3017,532.98,535.03,353939.0
2025-07-16,536.45,541.395,533.41,540.06,441339.0
2025-07-17,539.86,559.45,539.72,559.0,537579.0
2025-07-18,559.24,564.85,558.795,563.66,867934.0
2025-07-21,561.65,564.0,556.75,559.27,766459.0
2025-07-22,556.78,561.59,553.33,555.95,598312.0
2025-07-23,566.73,570.56,519.225,546.58,1222693.0
2025-07-24,548.98,555.0,545.7301,549.93,538957.0
2025-07-25,551.2,556.43,545.07,555.89,553010.0
2025-07-28,556.0,561.745,552.33,556.96,467770.0
2025-07-29,559.8,561.97,549.77,552.48,264517.0
2025-07-30,553.25,558.735,545.57,550.59,414411.0
2025-07-31,549.55,560.13,549.55,551.02,373412.0
2025-08-01,545.87,550.94,535.51,544.69,446277.0
2025-08-04,547.25,555.0,546.35,552.26,532655.0
2025-08-05,552.26,555.97,547.18,552.16,285775.0
2025-08-06,555.06,556.45,547.74,548.96,246415.0
2025-08-07,551.94,556.3925,544.7081,550.13,222178.0
2025-08-08,554.0,554.0,544.98,545.93,207470.0
2025-08-11,545.62,545.99,540.51,542.03,275791.0
2025-08-12,545.04,552.8248,542.555,552.3,220525.0
2025-08-13,554.05,554.05,540.0,550.12,387845.0
2025-08-14,548.77,548.77,539.63,541.92,232265.0
2025-08-15,541.63,542.2421,535.35,538.47,601713.0
2025-08-18,538.42,539.435,534.55,536.59,276093.0
2025-08-19,536.3,543.24,536.3,543.15,254986.0
2025-08-20,543.0,543.715,534.6296,541.81,267897.0
2025-08-21,540.0,543.1979,538.835,542.44,216902.0
2025-08-22,545.44,553.675,544.055,551.06,146908.0
2025-08-25,551.48,552.0,540.66,541.13,276117.0
2025-08-26,541.11,545.03,541.11,544.77,232247.0
2025-08-27,543.57,545.6829,540.82,541.29,178759.0
2025-08-28,541.94,543.31,539.0,542.09,188534.0
2025-08-29,540.63,544.41,534.5,538.17,269882.0
2025-09-02,534.85,537.91,528.81,537.91,246761.0
2025-09-03,537.64,545.23,533.9301,544.64,288699.0
2025-09-04,546.31,549.7,544.425,547.0,302501.0
2025-09-05,549.1,549.98,542.985,549.03,266616.0
2025-09-08,547.13,548.89,544.435,546.3,227495.0
2025-09-09,545.25,546.27,539.1,544.76,138148.0
2025-09-10,543.1,550.77,542.5,544.97,221589.0
2025-09-11,546.23,568.08,546.23,566.11,437024.0
2025-09-12,565.31,565.5075,553.95,556.29,285041.0
2025-09-15,555.02,558.93,554.835,556.66,204728.0
2025-09-16,556.19,560.0,553.87,554.88,238099.0
2025-09-17,556.7,558.82,546.57,550.87,237593.0
2025-09-18,550.87,564.03,550.87,562.63,201931.0
2025-09-19,566.5,567.23,559.78,565.41,407938.0
2025-09-22,562.85,568.52,562.29,567.92,249600.0
2025-09-23,568.96,573.29,565.935,567.91,292684.0
2025-09-24,569.0,571.85,562.84,563.92,290932.0
2025-09-25,562.56,568.33,559.315,566.0,308784.0
2025-09-26,568.09,579.46,568.09,577.11,410980.0
2025-09-29,579.13,585.96,577.39,579.35,344065.0
2025-09-30,579.66,586.28,577.55,586.04,274355.0
2025-10-01,581.63,581.63,571.75,575.07,328499.0
2025-10-02,575.07,585.5399,572.635,582.17,202521.0
2025-10-03,583.66,590.09,583.35,587.62,197296.0
2025-10-06,592.0,595.53,588.48,593.62,169788.0
2025-10-07,595.93,595.99,588.03,588.57,178934.0
2025-10-08,586.5,592.14,583.96,588.01,223367.0
2025-10-09,590.78,591.325,576.15,576.44,221250.0
2025-10-10,577.27,579.52,565.8487,567.44,239028.0
2025-10-13,571.49,573.8,567.67,567.82,202684.0
2025-10-14,562.37,577.555,562.37,571.93,200339.0
2025-10-15,575.85,577.365,561.52,565.02,268500.0
2025-10-16,567.93,571.645,559.0,561.49,334171.0
2025-10-17,561.08,566.065,559.0,562.26,288780.0
2025-10-20,566.25,574.705,562.19,571.83,221961.0
2025-10-21,571.83,580.14,571.7,573.75,339940.0
2025-10-22,559.775,560.76,531.0,543.73,793947.0
2025-10-23,544.12,545.68,535.32,536.69,344958.0
2025-10-24,542.68,542.68,531.175,532.09,310094.0
2025-10-27,534.93,535.19,526.6001,528.46,306580.0
2025-10-28,529.67,529.94,524.21,525.45,276143.0
2025-10-29,523.5,525.715,513.78,515.33,369913.0
2025-10-30,515.77,527.45,515.77,517.75,444201.0
2025-10-31,517.02,530.07,516.01,526.82,398006.0
2025-11-03,521.56,525.71,516.06,518.32,365134.0
2025-11-04,514.23,517.98,510.16,511.2,311904.0
2025-11-05,509.7,516.49,508.27,512.69,343971.0
2025-11-06,512.69,513.0,503.995,506.68,357455.0
2025-11-07,507.14,514.595,504.85,513.17,344466.0
2025-11-10,516.67,521.31,512.92,520.15,332950.0
2025-11-11,519.22,519.245,512.56,514.91,375290.0
2025-11-12,514.76,523.855,514.76,519.43,535871.0
2025-11-13,518.95,521.48,503.785,505.41,496210.0
