date,open,high,low,close,volume
2025-05-08,151.12,154.06,149.7825,152.12,1772872.0
2025-05-09,153.16,154.27,152.27,152.88,2077197.0
2025-05-12,155.76,161.15,154.86,160.98,2245196.0
2025-05-13,161.39,163.3925,160.39,162.39,1715156.0
2025-05-14,161.9,162.43,160.61,160.74,1712931.0
2025-05-15,160.19,163.61,159.905,163.12,2049465.0
2025-05-16,163.35,164.11,162.02,163.99,1411880.0
2025-05-19,161.62,163.98,160.71,162.87,1185827.0
2025-05-20,162.72,163.55,161.76,162.89,1504821.0
2025-05-21,161.25,162.72,159.4,159.51,1939418.0
2025-05-22,159.36,160.2,158.595,158.91,1244059.0
2025-05-23,155.37,158.4,155.37,157.56,1298975.0
2025-05-27,160.11,161.775,158.68,161.37,1369553.0
2025-05-28,162.08,162.39,160.17,160.29,1094027.0
2025-05-29,161.28,162.385,160.15,161.55,1988229.0
2025-05-30,160.6,161.125,158.83,160.07,2444724.0
2025-06-02,159.35,160.32,158.09,159.87,1437127.0
2025-06-03,159.55,162.875,159.41,161.93,1471888.0
2025-06-04,163.0,163.18,161.3,162.07,1187859.0
2025-06-05,162.52,163.66,161.5,162.32,1605883.0
2025-06-06,164.2,165.15,163.61,164.65,1149138.0
2025-06-09,165.49,166.6,164.655,166.0,1647083.0
2025-06-10,166.7,167.0,164.87,166.39,3741825.0
2025-06-11,166.99,167.94,165.41,165.75,1431628.0
2025-06-12,165.85,166.25,164.205,166.0,1380158.0
2025-06-13,163.25,165.41,162.33,162.62,1106481.0
2025-06-16,164.71,165.95,163.96,165.49,894594.0
2025-06-17,164.81,165.5,162.9,163.66,1579355.0
2025-06-18,164.38,166.02,163.36,163.78,1450048.0
2025-06-20,164.64,165.22,162.34,163.2,2765138.0
2025-06-23,162.5,165.915,162.17,165.82,1600312.0
2025-06-24,166.95,167.49,166.1075,166.48,1368799.0
2025-06-25,167.35,168.49,166.11,167.87,1465272.0
2025-06-26,168.75,170.23,167.8001,169.05,2384783.0
2025-06-27,169.54,169.9999,166.58,166.87,2756496.0
2025-06-30,168.495,169.33,166.73,168.67,2182810.0
