date,open,high,low,close,volume
2025-05-07,74.07,75.48,73.11,75.09,3310635.0
2025-05-08,76.21,78.025,75.6,76.84,2713675.0
2025-05-09,77.26,78.3748,76.71,77.42,2353885.0
2025-05-12,83.07,83.77,81.65,83.06,4715326.0
2025-05-13,83.01,85.63,82.95,84.9,2817706.0
2025-05-14,85.06,85.845,83.545,84.27,2310964.0
2025-05-15,83.25,83.78,82.34,82.99,2959014.0
2025-05-16,82.87,82.87,81.75,82.73,2183382.0
2025-05-19,80.56,81.99,80.44,81.47,1840746.0
2025-05-20,80.99,81.46,80.6,81.42,1615047.0
2025-05-21,80.43,81.91,78.76,78.98,2329306.0
2025-05-22,78.885,79.5,78.22,78.49,1987977.0
2025-05-23,76.695,77.46,75.99,76.98,1813539.0
2025-05-27,79.06,82.39,78.38,81.74,3697390.0
2025-05-28,82.0,82.471,79.91,80.25,2711154.0
2025-05-29,82.01,82.41,80.25,80.98,1803188.0
2025-05-30,80.18,80.29,77.02,78.6,3849259.0
2025-06-02,78.0,79.96,77.78,79.49,2452993.0
2025-06-03,79.48,81.64,78.41,81.45,2151255.0
2025-06-04,82.305,83.165,81.355,82.06,2471952.0
2025-06-05,82.71,83.68,81.07,81.74,2346194.0
2025-06-06,83.3,85.77,82.9,85.23,3122739.0
2025-06-09,86.11,88.0,86.11,86.8,3667865.0
2025-06-10,87.34,88.89,86.77,88.7,3161811.0
2025-06-11,89.14,89.58,85.7551,86.79,2522224.0
2025-06-12,85.9,86.57,85.445,85.91,2064913.0
2025-06-13,83.8,84.9937,83.0,83.08,2736895.0
2025-06-16,84.55,88.55,84.12,87.68,4007745.0
2025-06-17,86.82,88.175,86.01,86.43,2998675.0
2025-06-18,86.64,87.155,85.42,86.26,3291202.0
2025-06-20,87.47,87.83,84.2401,86.29,6559905.0
2025-06-23,86.13,88.35,85.58,87.36,3744065.0
2025-06-24,89.88,90.9,89.09,90.39,5908422.0
2025-06-25,90.66,90.9676,88.735,90.2,3646112.0
2025-06-26,91.05,91.74,90.03,91.05,2923248.0
2025-06-27,91.05,91.7,89.27,90.35,5979686.0
2025-06-30,90.785,90.785,89.66,89.92,1932610.0
2025-07-01,89.52,92.66,89.2,91.92,3786567.0
2025-07-02,92.38,94.819,92.25,94.18,4544425.0
2025-07-03,95.205,95.205,92.16,93.06,2188783.0
2025-07-07,92.64,93.36,90.235,90.59,3151770.0
2025-07-08,91.21,93.8,90.8,92.22,2936183.0
2025-07-09,92.07,93.51,91.11,92.78,2058752.0
2025-07-10,95.35,99.22,94.2061,98.62,7293078.0
2025-07-11,97.635,98.0,95.97,97.05,3750826.0
2025-07-14,97.01,97.05,93.59,95.22,3605142.0
2025-07-15,96.605,98.095,92.98,93.03,3654214.0
