date,open,high,low,close,volume
2025-07-07,45.34,45.8353,44.915,45.16,7073013.0
2025-07-08,45.205,45.7675,45.205,45.4,10677431.0
2025-07-09,45.43,45.785,45.005,45.16,8841854.0
2025-07-10,45.21,45.895,45.11,45.5,6822809.0
2025-07-11,45.04,45.79,44.885,45.43,8319568.0
2025-07-14,45.34,45.69,45.215,45.67,7394266.0
2025-07-15,45.42,45.78,44.325,44.37,8767358.0
2025-07-16,44.67,44.81,43.82,44.36,11340237.0
2025-07-17,44.38,45.16,44.33,45.01,11042128.0
2025-07-18,45.3,45.3,44.0,44.25,13739445.0
2025-07-21,44.48,45.505,44.43,44.73,9884535.0
2025-07-22,44.93,45.3,44.575,45.21,7226686.0
2025-07-23,45.49,46.0,45.22,45.82,10246553.0
2025-07-24,45.84,46.13,45.46,45.48,6648454.0
2025-07-25,45.54,45.7,44.82,45.65,6278816.0
2025-07-28,45.59,45.7,44.83,45.09,5658519.0
2025-07-29,45.32,45.35,44.68,44.73,5090326.0
2025-07-30,44.94,44.955,43.885,44.26,5372864.0
2025-07-31,44.0,44.2907,43.585,43.71,8718519.0
2025-08-01,42.92,43.04,41.98,42.96,8456312.0
2025-08-04,43.25,43.52,42.97,43.41,7175353.0
2025-08-05,43.58,43.64,42.685,43.42,4688599.0
2025-08-06,43.62,43.63,43.0,43.01,4541090.0
2025-08-07,43.43,43.44,42.52,42.85,5936916.0
2025-08-08,42.65,43.29,42.31,43.07,5314385.0
2025-08-11,43.02,43.35,42.585,42.83,5693862.0
2025-08-12,43.21,44.07,43.1,44.01,8368946.0
2025-08-13,44.25,44.88,43.905,44.81,8715780.0
2025-08-14,44.44,45.08,44.085,44.95,4967312.0
2025-08-15,45.05,45.05,44.4,44.42,6876897.0
2025-08-18,44.21,44.445,44.1,44.33,5203784.0
2025-08-19,44.33,44.74,43.99,44.18,6074838.0
2025-08-20,44.32,44.655,44.1,44.39,5170789.0
2025-08-21,43.8,44.23,43.75,44.07,5951303.0
2025-08-22,44.35,45.995,44.24,45.91,6668998.0
2025-08-25,45.8,46.03,45.6642,45.73,8060530.0
2025-08-26,45.59,46.44,45.35,46.36,9406466.0
2025-08-27,46.21,46.91,46.2001,46.78,8546490.0
2025-08-28,47.0,47.0,46.535,46.79,8817589.0
2025-08-29,46.77,47.14,46.7,46.82,9363229.0
2025-09-02,46.39,46.5,45.815,46.42,6963821.0
2025-09-03,46.32,46.68,45.845,46.41,5456803.0
2025-09-04,46.69,47.09,46.385,47.07,5621380.0
2025-09-05,47.22,47.46,46.24,46.52,7854923.0
2025-09-08,46.555,46.58,45.585,46.01,6170188.0
2025-09-09,45.9,46.26,45.11,45.29,12564900.0
2025-09-10,45.24,45.43,44.82,45.12,10523656.0
2025-09-11,45.09,45.43,44.88,45.3,7388971.0
2025-09-12,45.18,45.38,44.895,45.2,8029440.0
2025-09-15,45.25,45.39,44.58,44.78,6904188.0
2025-09-16,44.81,44.97,43.99,44.56,6037165.0
2025-09-17,44.6,45.895,44.51,45.38,9131759.0
2025-09-18,45.47,46.18,45.22,46.08,7483928.0
2025-09-19,46.03,46.1218,45.59,45.99,19223510.0
2025-09-22,45.6,45.905,45.155,45.39,6339546.0
2025-09-23,45.52,46.21,45.44,45.7,8004320.0
2025-09-24,45.81,47.25,45.475,45.89,8221179.0
2025-09-25,45.61,46.02,45.39,45.74,5384470.0
2025-09-26,45.99,46.37,45.64,46.02,4366549.0
2025-09-29,46.33,46.33,45.43,45.92,4902874.0
2025-09-30,45.74,46.02,44.79,45.72,9721711.0
2025-10-01,45.36,45.84,45.34,45.57,7257832.0
2025-10-02,45.55,45.82,45.19,45.36,5396501.0
2025-10-03,45.48,46.045,45.3663,45.52,6539630.0
2025-10-06,45.56,46.37,45.01,45.33,9665936.0
2025-10-07,45.65,45.98,45.135,45.2,6460300.0
2025-10-08,45.16,45.27,44.06,44.14,6915790.0
2025-10-09,44.42,44.45,43.7901,44.25,6963523.0
2025-10-10,44.38,44.5,42.3,42.31,8512309.0
2025-10-13,43.0,43.1765,42.58,42.95,7160235.0
2025-10-14,42.64,44.24,42.6,43.93,10231054.0
2025-10-15,44.07,44.13,42.85,43.26,8881269.0
2025-10-16,43.08,43.259,40.785,41.09,15162191.0
2025-10-17,42.0,42.865,41.595,42.6,19866627.0
2025-10-20,43.11,43.63,42.7,43.45,8580670.0
2025-10-21,44.06,44.095,43.63,43.83,8726479.0
2025-10-22,44.07,44.3,43.495,43.6,8417363.0
2025-10-23,43.62,43.91,43.42,43.61,6909775.0
2025-10-24,44.07,44.5,43.945,44.19,5824542.0
2025-10-27,44.4,44.87,44.22,44.63,9207121.0
2025-10-28,44.5,44.655,44.1136,44.33,7056760.0
2025-10-29,44.0,44.57,43.655,43.91,9490754.0
2025-10-30,43.88,44.94,43.84,44.34,7313135.0
2025-10-31,44.19,44.75,43.91,44.63,6214335.0
2025-11-03,44.4,44.47,43.7,44.22,12313287.0
2025-11-04,43.92,44.215,43.4,43.73,12371605.0
2025-11-05,43.65,44.465,43.37,44.06,9574726.0
2025-11-06,43.93,44.5401,43.825,44.01,6387708.0
2025-11-07,43.75,44.74,43.63,44.74,6741070.0
2025-11-10,44.88,45.29,44.56,45.12,6577011.0
2025-11-11,45.26,45.55,44.98,45.31,4798824.0
2025-11-12,45.4,46.29,45.31,45.64,8622592.0
2025-11-13,45.5,45.97,45.16,45.33,11445147.0
2025-11-14,44.75,45.1377,44.205,44.86,7258463.0
2025-11-17,44.86,45.015,43.74,43.92,9530432.0
2025-11-18,43.7,44.75,43.575,44.34,6656210.0
2025-11-19,44.41,44.74,44.24,44.65,5999005.0
2025-11-20,45.0,45.775,44.3,44.4,8232285.0
2025-11-21,44.61,45.96,44.57,45.48,9239059.0
2025-11-24,45.39,45.73,45.16,45.5,11189366.0
2025-11-25,45.75,46.59,45.665,46.32,7575728.0
2025-11-26,46.22,46.6575,46.22,46.24,5988192.0
2025-11-28,46.41,46.64,46.21,46.5,3929997.0
2025-12-01,46.49,47.105,46.37,46.57,8937602.0
2025-12-02,46.75,46.75,46.3087,46.48,4645013.0
2025-12-03,46.5,47.46,46.48,47.42,5471905.0
2025-12-04,47.41,47.8551,47.305,47.54,7882708.0
2025-12-05,47.39,47.875,47.3,47.53,5196687.0
2025-12-08,47.69,47.82,47.305,47.7,7837414.0
2025-12-09,47.7,48.545,47.7,47.92,8344373.0
2025-12-10,47.95,49.64,47.92,49.56,10268985.0
2025-12-11,49.11,50.255,49.03,49.7,9095486.0
2025-12-12,50.0,50.0,49.5,49.89,11452626.0
2025-12-15,50.24,50.43,49.65,49.74,6284965.0
2025-12-16,49.72,49.83,49.0745,49.71,9057126.0
2025-12-17,49.9,50.385,49.67,50.15,8882074.0
2025-12-18,50.25,50.5,49.415,49.94,7590537.0
2025-12-19,50.07,50.325,49.835,50.08,13181937.0
2025-12-22,50.07,50.625,50.05,50.56,6950561.0
2025-12-23,50.65,50.855,50.41,50.49,6807669.0
2025-12-24,50.62,50.86,50.32,50.74,2871587.0
2025-12-26,50.75,50.8,50.375,50.61,3239513.0
2025-12-29,50.64,50.7,49.94,50.02,7100015.0
2025-12-30,50.12,50.2399,49.445,49.56,5095210.0
2025-12-31,49.69,49.78,49.205,49.21,4490574.0
2026-01-02,49.255,49.915,48.83,49.74,5930974.0
2026-01-05,49.38,51.01,49.29,50.48,11054039.0
2026-01-06,50.4,51.265,50.241,51.18,7619757.0
2026-01-07,51.17,51.2,50.44,50.58,6721477.0
2026-01-08,50.51,51.515,50.4,50.95,7713482.0
2026-01-09,51.11,51.3,50.375,50.62,7521712.0
2026-01-12,50.16,50.33,49.8,50.14,11918752.0
2026-01-13,50.39,50.465,49.48,49.69,10404433.0
2026-01-14,49.36,50.09,49.28,49.83,10681806.0
2026-01-15,49.96,50.695,49.935,50.28,5737139.0
2026-01-16,50.18,50.46,49.965,49.99,8297457.0
2026-01-20,49.4,50.05,48.72,49.14,18662713.0
2026-01-21,47.83,50.765,47.83,50.02,16770225.0
2026-01-22,50.03,51.135,50.03,50.3,11630114.0
2026-01-23,50.01,50.65,49.335,49.57,12505507.0
2026-01-26,49.59,50.43,49.59,50.19,10018276.0
2026-01-27,50.33,50.935,50.29,50.89,10000647.0
2026-01-28,50.84,51.08,49.79,50.31,11102685.0
2026-01-29,50.72,51.4,50.445,51.32,12269612.0
2026-01-30,51.08,51.67,50.78,51.42,12027680.0
2026-02-02,51.51,52.715,51.39,52.66,12477411.0
2026-02-03,52.82,54.235,52.765,54.03,15914064.0
2026-02-04,54.51,55.745,54.5,55.11,12554523.0
2026-02-05,54.75,55.25,54.35,55.14,9738105.0
2026-02-06,55.68,56.195,55.55,55.81,7399807.0
2026-02-09,55.54,55.75,54.74,54.78,11304965.0
2026-02-10,54.55,55.325,54.285,55.1,8195911.0
2026-02-11,55.27,55.75,53.93,54.04,9983211.0
2026-02-12,54.41,54.695,51.63,52.07,11461807.0
2026-02-13,51.28,52.105,50.95,51.9,7003032.0
2026-02-17,52.995,53.2145,52.03,52.2,7508749.0
2026-02-18,52.24,53.01,52.155,52.69,6804439.0
2026-02-19,52.23,52.5,51.34,51.78,9333719.0
2026-02-20,51.75,52.41,51.25,52.32,9437132.0
2026-02-23,52.19,52.61,49.605,50.09,9735239.150908
2026-02-24,49.93,50.38,49.185,49.66,6753073.743843
2026-02-25,49.89,50.645,49.89,50.57,5635439.558628
2026-02-26,50.84,51.9051,50.75,51.5,6013618.620429
2026-02-27,50.69,51.0,48.87,49.31,11533797.106861
2026-03-02,48.4,50.105,48.2288,49.55,6514159.644488
2026-03-03,48.44,49.78,48.12,49.3,5377800.984276
2026-03-04,49.59,49.65,48.98,49.11,5166834.304557
2026-03-05,48.57,49.02,47.9247,48.48,7143348.933604
2026-03-06,47.18,47.61,45.875,46.49,20735353.042451
2026-03-09,46.06,46.99,44.91,46.75,9819146.580416
2026-03-10,46.79,47.56,46.09,46.65,6508101.657987
2026-03-11,46.42,46.575,45.265,45.65,11811283.212992
2026-03-12,44.64,45.43,44.1308,44.37,14445682.024594
2026-03-13,44.8,44.96,43.765,43.83,8962462.131846
2026-03-16,44.56,44.935,44.275,44.52,11570021.723109
2026-03-17,45.15,45.21,44.46,44.59,9344865.944367
2026-03-18,44.14,44.55,43.83,43.85,11048557.890321
2026-03-19,43.61,44.19,43.125,43.88,11009683.2054
2026-03-20,43.91,44.17,43.6,44.16,18050233.215701
2026-03-23,45.35,45.41,44.6,44.86,10209656.301972
2026-03-24,44.4,45.69,44.35,45.32,8304649.763951
2026-03-25,45.79,46.1,44.9,45.39,7008466.607724
2026-03-26,44.67,45.275,44.52,44.97,8772439.104669
2026-03-27,44.81,45.23,44.13,44.53,13424758.406763
2026-03-30,44.94,44.98,44.27,44.64,8738395.643106
2026-03-31,45.36,46.01,44.9,45.97,10011131.43488
2026-04-01,46.39,47.145,46.36,46.71,10065361.509259
2026-04-02,45.87,47.21,45.83,47.16,9200963.344911
2026-04-06,47.26,47.715,47.14,47.64,8677464.125459
2026-04-07,47.41,48.185,47.3,47.83,13743688.644777
2026-04-08,49.07,49.87,48.98,49.29,13813064.045025
2026-04-09,48.98,50.68,48.87,50.48,11399181.629479
2026-04-10,50.37,50.58,49.57,49.6,9238641.089178
2026-04-13,49.12,50.035,48.95,50.01,5233133.326114
2026-04-14,49.76,49.835,49.17,49.53,6856736.84754
2026-04-15,49.59,49.975,49.22,49.59,7225521.569023
2026-04-16,49.32,49.69,49.115,49.43,10206905.813489
2026-04-17,48.74,51.335,48.56,50.57,13512707.745575
2026-04-20,50.23,51.16,50.23,50.84,7352439.11788
2026-04-21,50.92,51.75,50.845,51.07,8665188.971993
2026-04-22,51.36,51.62,50.78,50.95,6804020.371717
2026-04-23,51.05,51.61,50.68,51.4,8070663.045258
2026-04-24,51.43,51.55,50.48,50.73,7321117.787132
2026-04-27,50.86,51.72,50.815,51.23,7201671.131577
2026-04-28,51.82,52.11,50.945,51.15,7452932.427924
2026-04-29,51.08,51.46,50.395,50.65,6869544.083372
2026-04-30,50.36,51.575,50.13,51.5,7608444.509254
2026-05-01,51.17,51.375,50.745,50.93,4847260.442806
2026-05-04,50.65,50.65,49.365,49.48,6511830.863583
2026-05-05,49.69,50.18,49.49,49.95,6055830.644595
