date,open,high,low,close,volume
2025-04-10,256.13,260.2335,251.43,256.12,5406566.0
2025-04-11,257.63,260.12,255.6335,258.67,3987472.0
2025-04-14,259.5,265.17,258.52,262.64,3845543.0
2025-04-15,264.47,267.96,263.1801,266.71,3130509.0
2025-04-16,266.225,267.27,258.955,259.64,3362700.0
2025-04-17,259.72,265.398,259.09,262.04,3489567.0
2025-04-21,260.39,261.74,250.87,253.48,3656346.0
2025-04-22,253.14,259.32,253.0,258.3,4762504.0
2025-04-23,254.0,262.605,252.67,259.35,4562348.0
2025-04-24,259.75,263.79,258.07,262.18,5047162.0
2025-04-25,243.15,243.81,230.64,232.77,13561361.0
2025-04-28,231.69,237.32,231.54,236.77,5825856.0
2025-04-29,236.71,241.91,235.42,241.59,3900819.0
2025-04-30,244.73,247.55,241.72,246.95,4440537.0
2025-05-01,245.27,247.1,242.4,247.0,3603405.0
2025-05-02,247.73,250.22,246.23,248.88,2801204.0
2025-05-05,248.8,249.37,246.5,248.3,2311541.0
2025-05-06,247.51,254.16,247.19,253.8,2903164.0
2025-05-07,252.71,253.72,250.28,251.26,4042219.0
2025-05-08,252.18,252.635,247.44,247.49,3521037.0
2025-05-09,247.49,248.1599,243.67,243.81,3278600.0
2025-05-12,238.82,240.33,236.0,240.32,5373060.0
2025-05-13,239.26,240.275,235.9,237.34,4712771.0
2025-05-14,233.84,235.55,232.24,235.29,4169040.0
2025-05-15,237.12,242.44,236.42,240.16,5215015.0
2025-05-16,240.52,243.32,238.635,242.66,4402168.0
2025-05-19,243.0,246.02,242.91,244.25,4237952.0
2025-05-20,245.12,245.63,239.12,241.21,4788058.0
2025-05-21,241.21,243.23,239.01,240.76,4110215.0
2025-05-22,241.53,242.06,239.44,240.82,3200637.0
2025-05-23,241.01,243.35,238.58,242.88,4174024.0
2025-05-27,243.79,245.885,242.22,243.36,3717748.0
2025-05-28,243.1,243.51,241.06,241.51,2468609.0
2025-05-29,241.82,241.82,236.74,239.3,3127730.0
2025-05-30,239.58,243.32,238.43,242.2,8313482.0
2025-06-02,239.57,243.37,238.9,243.06,2579028.0
2025-06-03,241.97,244.43,241.43,243.88,3630852.0
2025-06-04,244.48,245.2,241.95,241.96,3414332.0
2025-06-05,241.89,246.26,241.16,244.9,2855732.0
2025-06-06,246.88,247.55,244.52,245.86,2022635.0
2025-06-09,244.66,244.92,237.87,237.95,4538561.0
2025-06-10,237.0,237.77,234.67,236.98,3767187.0
2025-06-11,236.31,236.49,229.81,230.94,6709614.0
2025-06-12,232.49,232.49,227.52,228.7,5368961.0
2025-06-13,228.5,229.67,226.15,228.0,4380070.0
2025-06-16,228.26,231.61,227.81,230.99,3777799.0
2025-06-17,221.9,222.5,220.0,221.43,12423640.0
2025-06-18,222.225,223.0,220.56,220.99,5600251.0
2025-06-20,222.11,223.2,220.9,221.52,8936710.0
2025-06-23,223.0,227.63,222.485,226.98,7469028.0
2025-06-24,227.59,230.34,226.59,229.82,5128441.0
2025-06-25,229.42,231.29,228.759,230.9,5428764.0
2025-06-26,231.0,231.5967,229.0,231.42,4342378.0
2025-06-27,230.72,236.34,230.42,235.25,6496255.0
2025-06-30,234.49,238.62,234.2303,238.26,5118676.0
2025-07-01,238.41,243.28,238.075,241.51,4536552.0
2025-07-02,240.0,240.9955,236.8,237.42,3414433.0
2025-07-03,236.965,241.35,236.6,240.75,1998845.0
2025-07-07,239.97,240.265,236.6,237.63,2958403.0
2025-07-08,236.21,236.79,233.61,235.97,3020983.0
2025-07-09,234.93,235.2,231.4,232.31,3938436.0
2025-07-10,231.5,231.5,227.02,228.15,5528996.0
2025-07-11,228.38,229.11,226.1,227.76,3093922.0
2025-07-14,227.69,229.637,227.48,228.15,3118265.0
2025-07-15,226.67,227.08,225.28,226.02,3429778.0
2025-07-16,226.5,229.37,226.465,228.74,5793133.0
2025-07-17,227.61,229.29,225.94,227.03,3509333.0
2025-07-18,228.71,228.791,226.24,227.21,3773702.0
2025-07-21,229.83,233.97,229.605,232.62,4431060.0
2025-07-22,233.64,238.16,232.78,233.25,4004438.0
2025-07-23,233.17,234.95,230.72,233.93,5621034.0
2025-07-24,244.0,251.75,243.5,247.5,8623233.0
2025-07-25,248.26,249.91,243.1,243.55,5205385.0
2025-07-28,242.58,242.955,237.28,238.19,3703102.0
2025-07-29,239.165,241.3,237.8,239.25,3563743.0
2025-07-30,239.325,242.79,238.585,241.58,4213030.0
2025-07-31,239.38,242.05,238.12,238.41,4079203.0
2025-08-01,240.44,242.01,236.91,237.2,3481439.0
2025-08-04,237.74,241.4,237.08,241.01,3755453.0
2025-08-05,240.93,241.49,236.825,238.93,3775576.0
2025-08-06,238.34,241.9,235.56,239.22,5160209.0
2025-08-07,239.61,243.175,238.505,242.93,4061823.0
2025-08-08,243.22,246.75,242.95,244.98,4261735.0
2025-08-11,245.74,249.01,245.48,248.87,3976232.0
2025-08-12,249.5,252.59,248.3,252.28,4620956.0
2025-08-13,252.5,254.03,250.45,250.84,3152581.0
2025-08-14,251.58,252.495,249.28,250.31,2951696.0
2025-08-15,251.12,256.19,250.3,254.63,3939554.0
2025-08-18,255.61,256.73,254.04,255.18,3309218.0
2025-08-19,255.15,258.46,254.2,258.22,3641879.0
2025-08-20,259.94,261.56,258.73,259.01,3875918.0
2025-08-21,258.06,259.5,257.01,258.16,3330441.0
2025-08-22,259.96,261.25,251.14,251.95,3985117.0
2025-08-25,253.1,253.39,249.88,251.74,4295664.0
2025-08-26,251.58,251.83,249.418,251.2,6515220.0
2025-08-27,249.78,252.27,249.57,251.36,3212404.0
2025-08-28,250.72,251.65,249.38,250.56,3595126.0
2025-08-29,249.03,253.15,248.8638,251.99,3204940.0
2025-09-02,251.695,258.66,251.2,255.89,4055565.0
2025-09-03,253.31,254.41,251.32,252.66,3823074.0
2025-09-04,254.21,256.69,250.75,252.12,3349355.0
2025-09-05,252.83,255.735,251.61,252.76,3294248.0
2025-09-08,241.125,247.25,237.4,242.9,6313593.0
2025-09-09,242.53,243.72,240.84,242.72,3651761.0
2025-09-10,241.89,242.9,238.495,240.38,4942169.0
2025-09-11,240.24,242.34,239.5201,241.39,4321893.0
2025-09-12,240.09,242.82,239.68,241.72,3085772.0
2025-09-15,241.39,244.24,238.415,239.74,3062654.0
2025-09-16,239.88,240.145,236.15,237.62,3639601.0
2025-09-17,238.9,240.82,238.3301,239.45,3422251.0
2025-09-18,237.53,240.74,237.2085,238.83,3545539.0
2025-09-19,238.825,239.79,236.44,238.17,7442166.0
2025-09-22,237.03,240.32,235.11,237.44,4686855.0
2025-09-23,236.6,240.78,234.76,239.49,4668033.0
2025-09-24,238.19,242.37,236.99,238.4,3683656.0
2025-09-25,240.17,242.31,237.24,237.94,3824413.0
2025-09-26,238.99,240.2599,236.64,237.47,2543429.0
2025-09-29,237.46,239.82,237.07,237.96,3835810.0
