date,open,high,low,close,volume
2025-05-07,444.0667,449.1548,438.3333,447.7933,326718.0
2025-05-08,456.6667,459.86,427.1733,429.1633,544293.0
2025-05-09,432.78,438.07,423.5333,433.8,249132.0
2025-05-12,456.3233,456.3233,438.3133,447.04,295230.0
2025-05-13,449.4667,462.492,449.0633,459.5467,304512.0
2025-05-14,459.1633,469.7233,453.3333,468.64,393858.0
2025-05-15,460.6133,473.3117,449.9033,472.3667,386175.0
2025-05-16,475.4233,477.3933,461.97,476.85,327006.0
2025-05-19,468.4833,473.3867,462.58,473.3867,277887.0
2025-05-20,472.76,472.76,456.9033,456.9033,396945.0
2025-05-21,461.6833,472.02,451.4567,451.8867,317565.0
2025-05-22,447.12,447.12,424.7467,426.3,462882.0
2025-05-23,418.7333,429.1533,418.7333,424.1367,253863.0
2025-05-27,433.3333,433.3333,412.1267,414.5133,371136.0
2025-05-28,416.13,420.8063,405.4733,406.5133,299685.0
2025-05-29,406.5133,406.5133,395.8667,399.4433,476406.0
2025-05-30,395.7333,395.7333,369.4733,371.3433,1115289.0
2025-06-02,381.9633,390.17,367.6523,370.0467,470025.0
2025-06-03,370.0833,380.8233,356.2183,375.4567,457044.0
2025-06-04,373.5067,377.4967,363.4817,367.51,520497.0
2025-06-05,370.9867,370.9867,362.6233,364.3533,412065.0
2025-06-06,370.9033,379.4733,367.5,371.0867,327630.0
2025-06-09,374.4517,375.59,364.0,368.3467,407271.0
2025-06-10,371.7967,376.7967,362.0867,366.5267,461970.0
2025-06-11,370.6333,373.01,364.4867,366.67,513924.0
2025-06-12,363.4333,368.6667,360.29,365.8333,336858.0
2025-06-13,373.2867,374.3567,363.5694,373.1933,445248.0
2025-06-16,368.1933,376.0,360.3333,364.3333,497190.0
2025-06-17,368.4,373.0667,359.4333,362.5333,463734.0
2025-06-18,360.1,365.49,357.3333,359.9133,405360.0
2025-06-20,360.6033,364.7162,356.2967,361.4033,943452.0
2025-06-23,366.3333,366.3333,346.8733,350.0,537708.0
2025-06-24,343.7967,356.4533,340.4555,353.3133,563055.0
2025-06-25,354.6767,354.6767,343.3367,345.4267,371961.0
2025-06-26,345.6067,361.6467,345.4017,358.4833,483192.0
2025-06-27,357.0,358.18,347.3934,351.8133,629274.0
2025-06-30,353.1867,354.2567,348.8233,352.13,427995.0
2025-07-01,351.72,358.7467,346.5167,356.2267,383421.0
2025-07-02,357.3033,359.6667,349.6367,357.3167,312837.0
2025-07-03,360.0833,360.1572,354.5536,358.6567,169209.0
2025-07-07,354.66,355.29,341.7833,344.64,351318.0
2025-07-08,344.33,354.0637,343.6833,348.8233,433305.0
2025-07-09,350.64,351.3433,343.6375,349.1833,269433.0
2025-07-10,346.9833,350.3917,343.4233,350.3433,379782.0
2025-07-11,348.1133,354.6233,348.0267,348.9267,329112.0
2025-07-14,345.0033,346.9633,341.2917,345.8833,404457.0
2025-07-15,346.7167,346.7167,327.0667,327.55,523917.0
2025-07-16,327.23,330.9817,319.5833,328.8867,584742.0
2025-07-17,326.7667,335.66,326.44,330.74,383844.0
2025-07-18,336.1,337.3267,331.7967,332.37,413787.0
2025-07-21,333.94,334.903,318.91,323.32,440037.0
2025-07-22,325.0,325.0,310.07,312.4567,761871.0
2025-07-23,312.6,313.8833,305.5733,310.4267,651069.0
2025-07-24,308.8467,324.3467,302.6067,323.1467,950439.0
2025-07-25,321.9567,327.2067,316.73,326.43,548877.0
2025-07-28,330.0667,333.825,321.3967,325.5233,422334.0
2025-07-29,326.2067,332.01,319.6667,331.2067,387513.0
2025-07-30,330.6567,332.5633,326.2433,328.6967,451431.0
2025-07-31,326.1,329.0667,320.5,322.71,479829.0
2025-08-01,318.3,318.3,310.8817,311.6,285966.0
2025-08-04,311.92,319.6933,311.92,317.3467,389961.0
2025-08-05,317.7,321.98,313.3217,319.6033,391050.0
2025-08-06,323.1667,323.1667,315.6667,316.8733,384402.0
2025-08-07,319.4433,320.3333,287.87,289.1533,902652.0
2025-08-08,292.9,293.21,285.8433,287.3667,480600.0
2025-08-11,288.5933,293.12,283.8267,284.9433,387114.0
2025-08-12,284.09,288.6131,282.5267,285.6033,359562.0
2025-08-13,285.0,294.5833,281.8533,294.13,467133.0
2025-08-14,292.5267,308.77,290.0,304.1833,602508.0
2025-08-15,304.0767,304.205,292.6133,294.05,557460.0
2025-08-18,293.2667,299.0233,290.2967,297.35,372882.0
2025-08-19,296.6667,300.7267,295.4217,300.7267,301569.0
2025-08-20,301.0,302.7067,297.4075,298.2567,312261.0
2025-08-21,297.1367,298.7546,291.1067,293.4267,392532.0
2025-08-22,294.63,306.6367,293.92,303.8767,312633.0
2025-08-25,304.7667,305.0333,300.0,300.2133,315645.0
2025-08-26,299.2533,303.87,296.28,303.68,716304.0
2025-08-27,300.88,306.8417,300.88,302.9,326085.0
2025-08-28,303.69,309.7445,301.8267,307.2967,429726.0
2025-08-29,307.0067,312.9503,307.0067,311.16,320088.0
2025-09-02,310.4133,324.2467,310.4133,314.1067,511665.0
2025-09-03,311.4467,311.4467,303.1267,303.16,316923.0
2025-09-04,300.52,309.6433,300.4567,309.6433,271017.0
2025-09-05,305.1833,308.385,296.35,296.3967,413202.0
2025-09-08,300.8167,305.76,298.5783,304.1933,427209.0
2025-09-09,304.1933,306.9767,299.9667,300.04,322527.0
2025-09-10,302.7233,312.5467,302.7233,312.5433,278250.0
2025-09-11,309.4167,313.9867,308.6083,312.9967,287211.0
2025-09-12,315.9267,318.6633,311.2717,312.39,326892.0
2025-09-15,314.12,318.31,304.4533,307.84,346425.0
2025-09-16,308.8433,314.7133,308.7933,311.89,328692.0
2025-09-17,310.1267,314.4433,304.3333,304.3333,450987.0
2025-09-18,305.2567,310.61,303.9383,304.4233,386856.0
2025-09-19,302.9833,304.12,289.8967,291.7,1280640.0
2025-09-22,289.4767,295.3983,286.6767,292.32,460488.0
2025-09-23,292.6,312.3333,292.6,310.4267,658347.0
2025-09-24,315.3367,320.3233,311.4333,311.6667,392730.0
2025-09-25,311.61,312.2633,306.2433,308.5233,296055.0
2025-09-26,308.8167,320.8917,308.8167,318.0933,382548.0
2025-09-29,315.31,315.31,305.9967,306.88,285978.0
2025-09-30,303.31,312.4883,301.8888,311.2133,366330.0
2025-10-01,309.41,321.1033,308.8717,319.3267,398601.0
2025-10-02,319.2733,325.265,318.0067,322.58,367521.0
2025-10-03,322.6833,326.6666,314.6399,315.2967,345084.0
2025-10-06,318.0067,327.7433,315.722,325.1333,407481.0
2025-10-07,325.1333,325.1333,315.7567,319.87,245622.0
2025-10-08,321.97,321.97,310.0,317.64,364053.0
2025-10-09,316.9067,320.737,302.0833,303.2633,372462.0
2025-10-10,300.0,303.7517,293.3333,296.4167,411702.0
2025-10-13,299.2067,303.75,296.71,297.41,317292.0
2025-10-14,291.4333,306.9017,287.51,302.5067,415692.0
2025-10-15,305.0,314.48,305.0,308.9167,440607.0
2025-10-16,308.8467,314.9483,306.4383,312.7267,466134.0
2025-10-17,310.42,313.3783,306.18,312.9933,420618.0
2025-10-20,316.1967,317.7507,310.9867,311.4867,384366.0
2025-10-21,309.9533,316.6383,309.5433,309.5433,283434.0
2025-10-22,310.2933,312.3417,303.274,308.62,424143.0
2025-10-23,319.1167,319.1167,311.9,312.5467,226533.0
2025-10-24,315.0,317.42,309.4433,309.5433,218583.0
2025-10-27,312.2067,313.7867,307.3618,309.8,195762.0
2025-10-28,309.0,309.875,304.3533,305.0033,235821.0
2025-10-29,305.0,313.5617,303.73,308.1333,286935.0
2025-10-30,308.5667,316.25,308.5667,309.5,331011.0
2025-10-31,308.6367,316.6667,308.6367,314.46,501303.0
2025-11-03,314.3333,314.4683,305.4467,308.22,314835.0
2025-11-04,305.0,307.8983,300.0067,304.81,266322.0
2025-11-05,302.4833,312.2533,302.36,306.35,282018.0
2025-11-06,305.6667,349.6267,305.6667,337.0433,974955.0
2025-11-07,339.9767,339.9767,312.545,327.23,521364.0
2025-11-10,328.5633,333.3333,320.0,331.2867,296331.0
2025-11-11,332.8033,335.6033,328.3667,329.73,205755.0
2025-11-12,326.97,336.5733,326.97,335.4667,373035.0
2025-11-13,333.3333,342.0433,328.8333,329.6567,380394.0
2025-11-14,326.1933,344.165,326.1933,340.8833,434772.0
2025-11-17,340.0,340.9233,317.9167,319.1567,513894.0
2025-11-18,312.0167,315.3333,297.3333,306.7067,407964.0
2025-11-19,300.57,305.17,298.2633,301.92,262224.0
2025-11-20,304.79,308.0,294.1133,294.52,351855.0
2025-11-21,294.38,303.272,293.5,298.81,401454.0
2025-11-24,296.77,298.7467,290.8033,292.24,782940.0
2025-11-25,290.8333,291.6867,279.4217,288.1367,505035.0
2025-11-26,288.6667,292.1833,286.6667,287.6367,267702.0
2025-11-28,288.3333,291.2348,285.9533,288.0967,136467.0
2025-12-01,287.8433,290.9233,284.2267,284.58,412644.0
2025-12-02,291.2267,293.0,284.19,288.2233,459837.0
2025-12-03,289.8333,306.17,287.9167,304.9067,397761.0
2025-12-04,302.0567,307.985,299.3933,306.5833,313461.0
2025-12-05,303.9,311.4872,303.6467,308.36,290952.0
2025-12-08,305.02,308.2489,298.0701,301.3833,426210.0
2025-12-09,301.3333,304.1637,291.8967,293.6067,289905.0
2025-12-10,293.34,297.79,287.7917,297.5,486579.0
2025-12-11,295.06,298.8467,291.9933,296.7667,322029.0
2025-12-12,298.46,298.8533,278.485,279.5467,527868.0
2025-12-15,281.5567,281.9754,270.6668,279.8767,630108.0
2025-12-16,278.2633,278.3133,269.2333,273.5633,657360.0
2025-12-17,278.3333,297.3333,276.4633,294.3333,784020.0
2025-12-18,296.8867,306.1667,295.3167,298.47,747261.0
2025-12-19,299.94,303.7683,297.1003,299.62,1221987.0
2025-12-22,304.0,309.9833,302.3333,302.8,439365.0
2025-12-23,305.48,310.44,294.865,297.33,342270.0
2025-12-24,298.22,299.56,291.0,296.0,124023.0
2025-12-26,294.12,294.12,283.0,287.54,292680.0
2025-12-29,290.0,295.92,289.495,294.53,289340.0
2025-12-30,296.97,298.0,292.06,292.68,255125.0
2025-12-31,291.69,293.225,286.44,287.22,297948.0
2026-01-02,286.0,298.27,280.95,297.97,389077.0
2026-01-05,306.91,307.435,292.53,297.54,519982.0
2026-01-06,297.66,301.7219,288.81,293.81,393668.0
2026-01-07,293.8,294.36,281.35,281.39,288233.0
2026-01-08,281.0,305.81,281.0,302.95,406824.0
2026-01-09,307.0,314.775,305.98,311.87,468386.0
2026-01-12,312.0,314.789,308.6,310.08,242277.0
2026-01-13,315.0,325.555,313.6,321.83,346003.0
2026-01-14,323.36,332.8,322.76,326.93,316306.0
2026-01-15,325.04,331.9999,320.5333,330.94,237803.0
2026-01-16,330.79,338.52,325.56,337.48,368669.0
2026-01-20,354.43,355.98,327.59,327.87,388516.0
2026-01-21,331.3,348.0,331.3,346.23,474430.0
2026-01-22,344.59,351.96,342.3701,345.78,403471.0
2026-01-23,349.52,358.21,344.52,346.94,436352.0
2026-01-26,351.04,352.69,338.5,341.74,280060.0
2026-01-27,341.75,346.5399,336.39,345.2,251834.0
2026-01-28,351.01,357.18,344.4704,354.78,317784.0
2026-01-29,363.24,372.805,350.29,353.21,385600.0
2026-01-30,349.61,352.0,339.76,348.36,392737.0
2026-02-02,340.0,344.515,335.5,336.68,341786.0
2026-02-03,335.0,343.2575,326.68,336.12,442712.0
2026-02-04,335.05,348.28,335.05,346.47,388351.0
2026-02-05,346.41,347.99,336.29,345.35,339295.0
2026-02-06,350.46,366.6499,347.675,366.03,447993.0
2026-02-09,367.11,378.26,365.9801,374.51,542224.0
2026-02-10,378.6,404.7224,378.6,401.62,918784.0
2026-02-11,408.0,419.4,400.2501,413.54,542753.0
2026-02-12,414.4,418.0,406.8,411.4,458141.0
2026-02-13,411.7,436.12,411.7,432.31,584791.0
2026-02-17,433.08,438.05,415.9,426.42,839241.0
2026-02-18,430.0,445.61,425.05,440.71,935883.0
2026-02-19,430.0,491.4,430.0,486.56,820075.0
2026-02-20,488.0,518.79,480.0,499.88,1021071.0
2026-02-23,513.99,547.2,502.18,502.85,1206059.712382
2026-02-24,503.7,533.84,494.52,531.95,877330.027041
2026-02-25,534.77,539.0,498.86,510.3,931332.991918
2026-02-26,505.0,512.54,491.0,512.54,684819.898011
2026-02-27,515.94,528.15,510.99,524.29,794921.231863
2026-03-02,538.0,540.0,513.19,531.09,749953.449481
2026-03-03,530.4,530.4,511.16,523.64,569606.288808
2026-03-04,520.2,541.01,515.365,536.11,492653.002437
2026-03-05,532.75,543.99,511.7701,523.31,445890.417323
2026-03-06,524.58,535.1,517.18,525.03,378423.734938
2026-03-09,528.06,544.9999,520.0,539.79,560470.615253
2026-03-10,532.3,537.0,508.4,520.76,530415.589662
2026-03-11,518.0,526.99,510.0,524.83,431537.833051
2026-03-12,524.37,540.04,522.665,528.97,453788.34171
2026-03-13,525.0,542.62,521.21,531.13,392083.17111
2026-03-16,531.0,531.88,517.2001,526.89,398563.460651
2026-03-17,532.38,534.0,518.11,529.18,429285.190577
2026-03-18,531.08,539.1,526.585,530.08,397244.369691
2026-03-19,528.84,539.69,520.41,532.52,426829.903505
2026-03-20,533.46,543.03,519.2,519.41,1470275.857267
2026-03-23,514.28,533.84,508.4,527.87,415577.797027
2026-03-24,529.06,545.0,527.05,535.26,394566.698285
2026-03-25,535.26,541.88,530.0,530.36,336634.912007
2026-03-26,531.37,538.3,521.06,522.28,335852.171251
2026-03-27,523.06,526.4282,509.33,511.75,410772.263368
2026-03-30,519.07,520.0,465.59,467.37,609301.546149
2026-03-31,468.77,480.0,465.81,474.56,495622.486799
2026-04-01,465.0,474.839,438.78,439.2,606729.325014
2026-04-02,449.12,456.49,433.935,444.24,390316.129153
2026-04-06,442.02,449.0,436.58,448.86,278776.492679
2026-04-07,445.88,454.36,442.3,449.79,326259.963648
2026-04-08,436.35,458.365,432.071,448.28,504950.370384
2026-04-09,446.99,446.99,370.41,377.97,1633573.349541
2026-04-10,387.26,417.95,386.8901,409.97,1261112.941341
2026-04-13,410.0,422.19,405.61,416.77,523782.995382
2026-04-14,412.79,420.8,408.52,412.2,499357.335673
2026-04-15,413.63,423.98,406.1938,417.3,351567.306449
2026-04-16,418.47,429.9999,417.65,426.27,311048.211512
2026-04-17,419.61,427.26,404.715,422.58,469048.693514
2026-04-20,425.0,436.01,420.785,434.82,317070.834265
2026-04-21,437.78,444.75,436.5,437.72,300816.357251
2026-04-22,446.01,449.0,432.7386,439.5,303006.91464
2026-04-23,440.82,445.4451,432.36,439.15,288115.019617
2026-04-24,437.6,439.455,427.385,438.91,266490.972708
2026-04-27,442.16,449.52,429.81,436.9,342931.705372
2026-04-28,443.44,445.01,427.77,430.9,353724.709022
2026-04-29,436.07,440.89,426.13,439.03,319208.749306
2026-04-30,432.15,443.95,425.93,443.67,423322.111803
2026-05-01,442.34,443.0,429.32,433.62,373883.011499
2026-05-04,433.6,442.29,432.13,432.83,286731.149438
2026-05-05,431.89,437.09,423.44,430.44,348230.600981
2026-05-06,417.4,426.95,414.88,419.75,476866.146663
2026-05-07,425.02,454.84,396.1,399.08,648898.772732
2026-05-08,395.58,405.79,390.22,394.2,395478.784355
2026-05-11,396.5,408.7699,393.39,402.63,345861.283555
2026-05-12,405.18,409.99,389.385,401.39,374143.200928
2026-05-13,396.59,396.59,375.315,386.51,441327.132713
2026-05-14,385.0,395.4151,378.3,388.5,347942.030345
2026-05-15,384.97,391.02,383.0001,385.17,436560.979165
2026-05-18,383.88,390.19,382.02,386.61,240123.654775
2026-05-19,388.17,396.0999,382.515,394.57,313778.396887
2026-05-20,393.4,402.8,384.83,402.53,557433.133941
2026-05-21,401.9,406.5,393.7,396.98,315376.367454
2026-05-22,394.35,407.36,393.0,402.03,288365.841446
2026-05-26,402.33,409.67,396.151,400.09,368666.910857
2026-05-27,395.01,413.6,391.63,406.09,438503.221882
2026-05-28,407.02,412.8699,399.68,401.32,365641.396905
2026-05-29,395.0,400.16,391.445,393.0,1343007.017244
2026-06-01,392.45,396.11,368.05,368.23,519365.370934
2026-06-02,369.96,375.25,361.2,370.82,456590.433387
2026-06-03,373.0,411.02,372.15,406.76,485484.00493
2026-06-04,402.24,413.6899,397.6308,406.73,421883.413656
2026-06-05,400.94,400.94,386.77,389.79,291127.87824
2026-06-08,392.0,405.82,390.74,396.14,270086.165063
2026-06-09,394.95,404.44,380.88,382.11,368585.87354
2026-06-10,381.67,389.41,375.11,375.18,376441.848161
2026-06-11,379.76,380.895,367.46,369.55,499158.979399
2026-06-12,367.5,389.65,366.6,378.91,341541.737174
2026-06-15,366.9,372.88,361.92,362.78,440755.114778
2026-06-16,357.18,363.85,354.082,356.35,360623.195718
2026-06-17,357.01,361.99,352.0,354.48,335604.574209
2026-06-18,354.51,359.25,351.81,355.11,994869.991157
