date,open,high,low,close,volume
2025-04-10,65.03,66.0,62.04,63.92,5761985.0
2025-04-11,63.31,64.375,62.21,63.4,5317855.0
2025-04-14,64.66,66.21,62.63,63.78,8250413.0
2025-04-15,63.36,64.58,63.225,63.94,3841947.0
2025-04-16,63.72,64.19,61.91,62.87,3163501.0
2025-04-17,62.82,64.0,62.41,63.64,4165674.0
2025-04-21,63.09,63.28,61.6001,63.18,3679934.0
2025-04-22,63.66,65.465,63.35,64.92,7020935.0
2025-04-23,68.68,71.11,66.265,66.58,4817204.0
2025-04-24,66.64,69.11,66.64,68.3,3332009.0
2025-04-25,68.19,69.67,68.1,68.88,3186594.0
2025-04-28,68.81,69.71,68.26,69.26,4061373.0
2025-04-29,68.795,70.15,68.26,70.04,3134614.0
2025-04-30,68.81,70.71,67.218,70.65,4418892.0
2025-05-01,70.63,71.46,70.4,70.49,4675315.0
2025-05-02,71.71,72.815,70.81,72.76,4502811.0
2025-05-05,72.4,74.25,72.4,73.29,4007235.0
2025-05-06,72.14,74.33,71.985,73.31,4466834.0
2025-05-07,74.01,75.6,73.65,74.75,8342832.0
2025-05-08,79.19,80.99,75.48,77.54,10699392.0
2025-05-09,78.37,79.03,77.31,78.01,4311749.0
2025-05-12,83.29,84.88,81.17,82.66,5627323.0
2025-05-13,82.89,84.75,82.41,83.6,3592409.0
2025-05-14,83.61,84.7494,82.97,83.26,4863777.0
2025-05-15,82.66,83.92,82.16,83.24,2940958.0
2025-05-16,83.59,83.78,82.5,82.82,2552840.0
2025-05-19,81.13,83.24,81.13,82.37,2512257.0
2025-05-20,82.75,83.515,82.085,82.52,2343542.0
2025-05-21,81.57,81.64,79.69,79.72,3794590.0
2025-05-22,79.53,79.98,78.85,78.99,2820157.0
2025-05-23,77.16,77.84,76.29,76.87,3937390.0
2025-05-27,78.665,81.3,78.28,80.9,5462158.0
2025-05-28,80.83,81.47,80.0,80.42,2532702.0
2025-05-29,80.86,80.9,77.92,78.44,4834156.0
2025-05-30,77.72,78.95,77.27,78.55,2870076.0
2025-06-02,78.65,79.0,76.92,78.56,2611483.0
2025-06-03,78.5,79.27,78.21,78.7,2504718.0
2025-06-04,78.56,79.36,78.21,78.32,2468713.0
2025-06-05,77.81,79.895,77.79,79.22,2797136.0
