date,open,high,low,close,volume
2025-05-07,63.45,66.835,62.0,66.3,3181471.0
2025-05-08,67.03,68.01,66.205,67.38,2481045.0
2025-05-09,67.93,68.305,67.395,68.12,1729320.0
2025-05-12,71.65,71.97,70.4,70.54,1876840.0
2025-05-13,70.6,71.84,70.6,71.25,1278603.0
2025-05-14,71.53,72.24,70.9559,71.27,1324870.0
2025-05-15,71.16,71.66,70.7382,71.24,791707.0
2025-05-16,71.24,72.04,70.825,71.89,1025547.0
2025-05-19,70.73,71.87,70.73,71.69,985125.0
2025-05-20,71.54,72.39,71.5,72.31,1566578.0
2025-05-21,71.69,72.3,70.563,70.76,868433.0
2025-05-22,70.54,71.24,70.15,70.79,864662.0
2025-05-23,69.52,70.79,69.33,70.55,929222.0
2025-05-27,71.53,72.2,70.8947,71.92,1588530.0
2025-05-28,72.0,72.225,71.41,71.51,984630.0
2025-05-29,71.53,71.78,71.04,71.66,991512.0
2025-05-30,71.3,71.54,70.47,71.27,2798392.0
2025-06-02,70.94,71.27,69.79,70.84,1518998.0
2025-06-03,70.87,72.2,70.65,71.72,1511251.0
2025-06-04,72.25,72.25,71.14,71.67,1289659.0
2025-06-05,71.82,71.93,70.75,71.16,1243950.0
2025-06-06,72.0,72.36,70.57,72.22,914300.0
2025-06-09,72.57,72.7,72.12,72.36,894426.0
2025-06-10,72.47,72.99,72.22,72.8,943638.0
2025-06-11,73.16,73.5,72.37,72.54,1241222.0
2025-06-12,72.37,72.83,71.94,72.36,645822.0
2025-06-13,71.1,72.12,70.01,71.08,753244.0
2025-06-16,71.68,73.1558,71.55,72.88,1479256.0
2025-06-17,72.18,72.82,71.5,71.76,916473.0
2025-06-18,71.83,72.48,71.58,71.7,1129237.0
2025-06-20,72.05,72.21,71.11,71.81,3786593.0
2025-06-23,71.62,72.74,71.18,72.71,898044.0
2025-06-24,73.211,73.82,72.84,73.71,1006016.0
2025-06-25,73.88,74.33,73.38,74.12,1156689.0
2025-06-26,74.5,75.28,74.03,75.03,988444.0
2025-06-27,75.12,75.8334,74.8,75.65,2107888.0
2025-06-30,75.71,76.35,75.125,75.98,1543136.0
2025-07-01,75.49,77.06,75.31,76.46,3098804.0
2025-07-02,76.49,77.885,76.26,77.86,1004436.0
2025-07-03,78.05,78.99,77.89,78.875,805580.0
2025-07-07,78.2,79.3159,78.05,78.63,1269841.0
2025-07-08,78.86,79.58,78.8307,79.32,2027972.0
2025-07-09,79.8,79.8,78.22,79.62,1319487.0
2025-07-10,79.88,81.66,79.41,80.83,1546866.0
2025-07-11,80.19,80.38,79.68,79.99,1207091.0
2025-07-14,79.91,80.3168,79.44,80.2,944243.0
2025-07-15,80.61,80.63,79.42,79.47,1623831.0
2025-07-16,79.93,80.78,79.14,80.67,1376773.0
2025-07-17,80.47,82.135,80.03,82.02,1517884.0
2025-07-18,82.44,82.44,81.69,82.04,1597191.0
2025-07-21,82.04,82.25,81.21,81.43,2088661.0
2025-07-22,80.56,82.655,80.27,82.52,1775714.0
2025-07-23,82.34,83.81,82.3,83.62,2837154.0
2025-07-24,83.22,84.31,82.57,84.19,1585753.0
2025-07-25,84.54,85.3,84.07,85.24,1873939.0
2025-07-28,85.31,86.42,84.65,85.07,2783891.0
2025-07-29,85.22,85.86,83.75,84.69,1905643.0
2025-07-30,84.84,85.84,84.37,85.19,2541594.0
2025-07-31,85.08,85.99,83.63,83.89,2034532.0
2025-08-01,82.49,82.74,80.23,82.64,2156382.0
2025-08-04,83.26,84.37,82.485,84.25,1876391.0
2025-08-05,84.25,84.29,82.11,82.7,2127689.0
2025-08-06,86.165,87.5,81.42,84.13,3352384.0
2025-08-07,85.04,85.42,81.845,82.52,2236698.0
2025-08-08,83.19,84.6508,82.29,83.77,2390756.0
2025-08-11,83.77,84.64,82.37,82.59,1728570.0
2025-08-12,82.93,83.65,82.06,83.61,1554669.0
2025-08-13,83.87,84.545,83.44,84.47,1569705.0
2025-08-14,84.12,84.12,83.235,83.67,1283877.0
2025-08-15,83.74,83.74,81.89,82.24,2024644.0
2025-08-18,81.71,82.85,81.221,82.8,1445201.0
2025-08-19,82.88,83.66,80.92,81.12,2139508.0
2025-08-20,81.12,81.12,78.785,80.2,1449333.0
2025-08-21,79.84,80.48,79.455,80.27,1032895.0
2025-08-22,80.91,83.03,80.55,82.58,880384.0
2025-08-25,82.44,82.94,81.38,81.43,949087.0
2025-08-26,81.38,81.63,80.57,81.44,3727628.0
2025-08-27,81.55,82.31,81.45,82.18,1245055.0
2025-08-28,82.41,82.81,82.16,82.21,957261.0
2025-08-29,82.16,82.19,80.63,80.82,1210115.0
2025-09-02,79.64,80.25,78.22,78.57,1938160.0
2025-09-03,78.18,78.64,77.88,78.6,1513869.0
2025-09-04,78.95,79.735,78.37,79.71,1217064.0
2025-09-05,80.02,80.96,79.51,80.74,1332332.0
2025-09-08,81.05,81.36,80.3,81.29,1131689.0
2025-09-09,81.31,81.49,79.78,80.06,1086686.0
2025-09-10,80.06,81.14,79.7,80.16,1428086.0
2025-09-11,80.76,83.68,80.44,82.85,1773942.0
2025-09-12,82.69,82.69,80.46,80.88,1027635.0
2025-09-15,80.88,82.035,80.56,81.01,981541.0
2025-09-16,80.9,81.2576,80.46,80.89,1191067.0
2025-09-17,80.99,81.29,78.7716,79.64,1146085.0
2025-09-18,80.11,81.8444,80.03,81.66,1363549.0
2025-09-19,82.47,83.18,81.51,82.78,2726713.0
2025-09-22,82.61,82.615,80.78,82.15,1167924.0
2025-09-23,82.28,82.7202,81.21,82.04,1187549.0
2025-09-24,82.08,82.08,79.71,79.88,1462778.0
2025-09-25,79.07,80.09,78.28,79.98,1287557.0
2025-09-26,80.3,81.34,79.81,81.24,1043864.0
2025-09-29,82.0,82.48,81.55,81.95,2092999.0
2025-09-30,81.8,82.28,80.72,81.65,1224902.0
2025-10-01,81.06,81.09,78.81,79.41,2293822.0
2025-10-02,79.64,80.36,79.27,80.21,1488143.0
2025-10-03,80.65,81.3299,80.325,80.72,1158780.0
2025-10-06,80.99,81.54,80.33,80.81,890739.0
2025-10-07,81.38,81.38,79.045,79.3,1126668.0
2025-10-08,79.73,81.05,79.425,80.47,1003144.0
2025-10-09,80.4,80.55,78.67,79.19,931656.0
2025-10-10,79.37,79.54,75.47,75.63,955948.0
2025-10-13,76.65,77.4,76.28,77.06,759285.0
2025-10-14,75.65,78.645,75.4,78.04,1073764.0
2025-10-15,79.24,79.66,77.64,78.72,875988.0
2025-10-16,78.96,79.105,77.425,77.87,978378.0
2025-10-17,77.9,78.25,76.8,77.4,818039.0
2025-10-20,78.14,79.03,77.55,78.58,1398725.0
2025-10-21,78.58,80.01,78.28,79.65,811032.0
2025-10-22,79.44,80.315,78.585,79.1,1614230.0
2025-10-23,79.22,81.15,78.5,80.7,1717350.0
2025-10-24,81.98,82.19,81.11,81.42,1003271.0
2025-10-27,82.22,82.465,80.5,81.12,1087257.0
2025-10-28,81.12,81.62,80.345,80.5,1496039.0
2025-10-29,80.25,80.94,78.82,79.39,1523342.0
2025-10-30,79.29,80.445,78.64,78.87,1180168.0
2025-10-31,78.91,80.51,78.82,79.75,1375996.0
2025-11-03,79.8,79.94,78.62,79.57,1547160.0
2025-11-04,78.88,79.27,77.9,78.6,1831031.0
2025-11-05,76.33,81.53,75.0001,80.57,2161753.0
2025-11-06,81.0,81.21,78.1053,78.82,1573017.0
2025-11-07,78.57,79.39,77.83,78.9,1096692.0
2025-11-10,79.54,80.33,79.09,79.7,1302791.0
2025-11-11,79.5,80.19,79.17,79.58,840027.0
2025-11-12,79.98,82.6,79.74,82.19,1717027.0
2025-11-13,81.5,82.55,76.83,77.02,1488079.0
2025-11-14,76.55,78.085,75.58,77.56,1189970.0
2025-11-17,76.83,77.37,75.28,75.55,1263528.0
2025-11-18,75.23,76.075,74.77,75.42,1232248.0
2025-11-19,75.35,76.52,75.255,75.76,898683.0
2025-11-20,77.63,78.0,74.66,74.82,993955.0
2025-11-21,74.94,77.3799,74.5,77.03,1255079.0
2025-11-24,77.19,79.435,77.12,79.055,2446148.0
2025-11-25,79.5,81.66,79.39,80.85,1168086.0
2025-11-26,80.87,82.07,80.62,81.27,1024147.0
2025-11-28,81.8,81.99,81.17,81.42,445973.0
2025-12-01,80.52,82.2799,79.97,81.67,1150147.0
2025-12-02,81.97,82.72,81.27,82.23,1105525.0
2025-12-03,82.28,82.945,81.425,82.335,1305255.0
2025-12-04,82.19,83.31,82.03,82.3,1410967.0
2025-12-05,83.82,84.42,82.88,83.52,1204224.0
2025-12-08,83.42,83.91,81.34,81.77,1388958.0
2025-12-09,81.39,82.4,81.31,81.44,1033290.0
2025-12-10,81.05,82.93,80.9925,82.46,1029804.0
2025-12-11,81.94,83.37,81.41,83.34,961615.0
2025-12-12,83.49,83.65,80.04,80.26,1268073.0
2025-12-15,80.73,81.31,80.01,80.17,1243087.0
2025-12-16,80.45,81.34,79.84,80.5,1175659.0
2025-12-17,80.45,80.88,78.375,78.89,1568768.0
2025-12-18,79.83,80.685,79.38,79.91,1611771.0
2025-12-19,79.68,81.38,79.68,80.88,3079769.0
2025-12-22,81.09,82.29,80.965,81.95,924965.0
2025-12-23,81.75,82.17,80.47,80.5,1598809.0
2025-12-24,80.66,80.71,79.92,80.01,513218.0
2025-12-26,79.9,80.44,79.68,80.2,603047.0
2025-12-29,79.96,80.4799,79.59,79.99,872289.0
2025-12-30,79.74,79.96,79.47,79.56,804992.0
2025-12-31,79.45,79.69,78.34,78.35,1064602.0
2026-01-02,78.86,78.95,76.715,78.33,2549678.0
2026-01-05,78.34,80.26,78.34,79.27,1715204.0
2026-01-06,79.0,81.58,78.62,81.55,1288670.0
2026-01-07,81.55,81.95,79.62,80.18,1157957.0
2026-01-08,79.72,80.15,79.1,79.51,1490231.0
2026-01-09,79.56,80.82,79.56,80.61,1163548.0
2026-01-12,80.07,81.22,79.68,80.8,880992.0
2026-01-13,80.88,81.61,79.695,80.24,1277154.0
2026-01-14,80.11,80.45,78.8881,79.76,1210841.0
2026-01-15,80.17,80.425,78.47,78.57,1724551.0
2026-01-16,78.46,78.83,73.52,73.89,3318574.0
2026-01-20,72.4,72.9682,69.51,69.59,3594910.0
2026-01-21,70.22,71.2,69.26,70.24,2969986.0
2026-01-22,70.7,71.71,70.51,71.48,2271485.0
2026-01-23,71.15,71.62,70.67,71.19,1847832.0
2026-01-26,71.32,71.92,71.0,71.38,1719240.0
2026-01-27,71.55,71.77,69.97,70.01,1805197.0
2026-01-28,70.21,70.635,69.81,70.07,2122956.0
2026-01-29,69.84,70.5,67.26,68.37,3846949.0
2026-01-30,67.9,68.26,67.03,67.6,2490702.0
2026-02-02,68.1,68.795,67.535,67.88,2325727.0
2026-02-03,67.88,68.075,64.045,64.62,2614768.0
2026-02-04,63.9,65.67,63.655,65.04,4084279.0
2026-02-05,64.64,65.31,63.52,63.98,2034141.0
2026-02-06,65.11,66.33,64.575,66.15,1991100.0
2026-02-09,65.78,67.503,65.37,66.93,2177916.0
2026-02-10,65.41,69.04,64.75,68.88,4569547.0
2026-02-11,68.85,69.23,64.81,65.13,3532338.0
2026-02-12,65.74,67.86,65.13,66.01,3542339.0
2026-02-13,66.25,67.47,65.875,66.4,2889738.0
2026-02-17,65.56,66.42,64.5,65.63,2879681.0
2026-02-18,65.64,67.39,65.62,66.91,1766598.0
2026-02-19,66.36,67.44,65.98,67.39,1498924.0
2026-02-20,67.04,69.05,66.95,67.62,1472702.0
2026-02-23,67.01,67.19,64.85,65.42,1830641.245065
2026-02-24,65.48,67.385,65.29,66.74,1469476.493171
2026-02-25,67.11,67.77,66.215,67.14,1276833.54967
2026-02-26,67.63,68.27,66.86,68.23,1657620.412841
2026-02-27,67.02,67.27,65.1501,66.87,2277977.033939
2026-03-02,65.54,68.54,65.54,68.41,2354310.367005
2026-03-03,66.86,69.335,66.44,69.16,2370039.721927
2026-03-04,69.41,70.07,69.07,69.92,1579340.503726
2026-03-05,69.22,70.82,69.07,70.46,1946324.195353
2026-03-06,68.97,70.33,68.78,70.08,2014849.70965
2026-03-09,69.23,70.76,67.9342,70.45,1800688.8989
2026-03-10,70.45,70.73,67.921,68.99,1431566.301715
2026-03-11,68.92,69.665,67.135,67.6,1540549.142135
2026-03-12,66.73,67.797,65.74,66.16,2170105.611157
2026-03-13,66.51,67.165,65.57,66.465,1412342.072306
2026-03-16,67.32,67.9899,66.4,66.6,1377358.982618
2026-03-17,67.06,68.42,66.425,67.09,1130094.095985
2026-03-18,66.43,66.98,65.24,65.53,2391442.202768
2026-03-19,64.94,67.215,64.74,66.68,2178938.409273
2026-03-20,66.51,66.51,65.07,65.71,3673763.47842
2026-03-23,67.28,67.99,66.79,66.83,2078092.795981
2026-03-24,65.99,65.99,64.5901,65.38,2191484.013754
2026-03-25,66.21,66.75,64.5,65.87,1417274.656086
2026-03-26,65.4,66.65,65.14,65.45,1420446.028792
2026-03-27,64.59,65.38,62.695,62.97,1671395.744675
2026-03-30,63.71,64.1365,62.01,62.54,2366080.275155
2026-03-31,63.005,65.435,62.74,65.23,1807803.161488
2026-04-01,65.62,65.91,63.97,65.08,1870615.404543
2026-04-02,64.01,66.31,63.74,65.12,1268441.196498
2026-04-06,65.07,65.47,64.64,65.07,1261039.664192
2026-04-07,64.58,65.03,63.46,64.21,2029888.427413
2026-04-08,67.0,67.73,66.68,66.74,1589506.053588
2026-04-09,66.095,66.13,64.25,65.42,1565717.608446
2026-04-10,65.42,65.53,63.77,64.77,1640022.313189
2026-04-13,64.58,67.0,64.37,66.89,1940556.287075
2026-04-14,66.94,67.915,65.71,66.51,1563240.046722
2026-04-15,66.51,67.49,66.145,66.79,1463751.7912
2026-04-16,67.01,67.79,66.7201,67.67,1576858.595011
2026-04-17,69.55,70.14,68.91,69.29,1520032.061057
2026-04-20,68.74,69.82,68.46,69.5,1105609.577598
2026-04-21,69.56,70.8,68.9,68.97,1481894.73674
2026-04-22,69.38,70.04,68.63,69.09,1121593.590391
