date,open,high,low,close,volume
2025-04-10,88.4,88.575,83.155,85.945,3031911.0
2025-04-11,85.94,89.51,84.76,88.735,2952676.0
2025-04-14,89.48,90.26,87.97,89.32,2389014.0
2025-04-15,89.59,90.39,87.43,87.58,1845444.0
2025-04-16,86.69,87.83,84.84,85.37,2017406.0
2025-04-17,86.0,87.2,85.76,86.11,4903959.0
2025-04-21,85.27,85.805,82.861,83.55,2006003.0
2025-04-22,84.72,86.85,84.4,86.18,1931957.0
2025-04-23,88.96,90.65,86.22,86.66,2854416.0
2025-04-24,87.34,89.98,86.85,89.52,1762467.0
2025-04-25,89.29,90.0,87.81,88.44,1575735.0
2025-04-28,88.44,89.7345,87.84,88.73,1251450.0
2025-04-29,88.56,89.375,87.76,88.86,1563928.0
2025-04-30,87.44,88.75,86.255,88.55,3447683.0
2025-05-01,88.87,89.49,88.01,88.12,2488586.0
2025-05-02,90.915,92.77,89.52,91.65,3660747.0
2025-05-05,91.25,92.45,90.24,91.43,1849914.0
2025-05-06,90.73,91.4,90.1,90.16,1974238.0
2025-05-07,90.76,91.68,90.54,91.42,1624891.0
2025-05-08,92.04,93.7,91.45,92.66,1603875.0
2025-05-09,92.89,93.47,92.38,92.74,958652.0
2025-05-12,96.25,97.74,95.78,97.09,2060082.0
2025-05-13,97.29,98.14,97.02,97.19,1910594.0
2025-05-14,97.19,97.58,96.55,97.32,1466723.0
2025-05-15,97.265,97.74,96.69,97.65,1343273.0
2025-05-16,97.9,98.2,97.12,98.06,1493482.0
2025-05-19,96.81,98.235,96.515,97.96,936283.0
2025-05-20,97.57,98.0,96.7,97.09,929542.0
2025-05-21,96.259,97.24,95.04,95.09,1792990.0
2025-05-22,95.01,95.14,93.79,94.46,1541343.0
2025-05-23,92.51,93.6,92.5,93.02,1105532.0
2025-05-27,94.17,95.66,93.5,95.56,1140884.0
2025-05-28,95.59,95.76,93.9,94.0,902005.0
2025-05-29,95.27,95.27,93.44,94.31,1125401.0
2025-05-30,93.79,93.985,92.62,93.59,2885583.0
2025-06-02,93.02,93.075,91.435,92.15,1687495.0
2025-06-03,92.15,94.25,91.88,93.58,1454076.0
2025-06-04,93.75,94.245,93.46,93.79,1300358.0
2025-06-05,94.17,94.7,92.975,93.24,1235197.0
2025-06-06,94.57,95.33,93.405,94.28,1296009.0
2025-06-09,94.91,95.52,94.45,94.98,1078812.0
2025-06-10,95.09,95.96,94.6301,95.93,1201325.0
2025-06-11,95.93,96.0,94.7,95.1,1525208.0
2025-06-12,94.26,94.885,93.275,94.58,1258640.0
2025-06-13,92.1,92.855,91.18,91.58,1197000.0
2025-06-16,92.395,93.805,92.1,93.21,1521733.0
2025-06-17,93.25,93.25,91.29,91.58,1122673.0
2025-06-18,91.43,93.0,90.7501,92.14,1044951.0
2025-06-20,93.02,93.43,92.2901,93.21,2605904.0
2025-06-23,93.19,94.04,91.96,93.99,1324967.0
2025-06-24,94.79,95.53,94.4922,95.1,1247264.0
2025-06-25,95.4,95.4,94.27,94.95,1077337.0
2025-06-26,95.45,96.4399,95.01,96.18,1111110.0
2025-06-27,96.64,96.8399,95.311,96.1,1899352.0
2025-06-30,96.53,96.94,95.72,96.5,1822258.0
2025-07-01,95.865,99.75,95.865,98.67,2054214.0
2025-07-02,99.08,100.0,98.6848,99.96,1346062.0
2025-07-03,100.43,100.745,99.62,100.15,924241.0
2025-07-07,99.8,100.4657,98.2133,98.9,1346700.0
2025-07-08,99.21,100.59,98.85,99.74,1052946.0
2025-07-09,100.12,101.9,99.98,101.45,1756672.0
2025-07-10,101.99,104.29,101.785,102.96,1763850.0
2025-07-11,102.07,102.49,100.77,101.47,1540008.0
2025-07-14,101.02,102.63,100.17,102.26,1712443.0
2025-07-15,102.3,102.7399,100.59,100.63,1578752.0
2025-07-16,100.75,103.15,100.3296,103.05,1995830.0
2025-07-17,103.04,106.84,102.3218,106.41,2356114.0
2025-07-18,106.665,107.34,105.61,105.77,4819404.0
2025-07-21,106.0,106.49,104.63,104.7,1233665.0
2025-07-22,104.94,106.67,104.94,106.44,1279701.0
2025-07-23,107.01,107.69,106.65,107.35,1168964.0
