date,open,high,low,close,volume
2025-04-24,48.095,49.12,46.8504,49.0,12588203.0
2025-04-25,49.21,50.13,48.95,49.92,6949036.0
2025-04-28,49.92,50.32,48.25,49.0,6417646.0
2025-04-29,48.62,49.94,48.41,49.87,3468595.0
2025-04-30,49.6,50.88,49.35,50.62,10114513.0
2025-05-01,49.94,50.63,49.18,50.35,5554462.0
2025-05-02,50.91,51.53,50.39,50.84,6274551.0
2025-05-05,50.82,51.57,50.55,51.24,4759244.0
2025-05-06,51.01,51.21,50.66,51.02,3519069.0
2025-05-07,51.29,51.52,50.42,50.96,4106840.0
2025-05-08,51.18,51.945,50.863,51.42,4164191.0
2025-05-09,51.45,51.6523,50.54,51.3,3590135.0
2025-05-12,52.47,53.21,52.05,52.72,6582080.0
2025-05-13,52.63,52.875,51.675,52.31,9814542.0
2025-05-14,52.19,52.31,51.32,51.38,6486506.0
2025-05-15,51.38,52.18,51.03,52.17,5637702.0
2025-05-16,52.17,53.14,51.93,52.99,5247070.0
2025-05-19,52.55,53.1867,52.25,52.91,4766085.0
2025-05-20,52.75,53.04,51.39,51.6,4913982.0
2025-05-21,51.15,51.15,49.935,50.04,5460799.0
2025-05-22,50.05,50.13,48.91,49.67,4830990.0
2025-05-23,49.21,49.98,49.11,49.7,3690154.0
2025-05-27,50.14,50.81,49.91,50.38,6118246.0
2025-05-28,50.13,50.32,48.93,49.06,5199503.0
2025-05-29,49.19,49.79,48.52,48.97,5663802.0
2025-05-30,49.0,49.26,48.245,48.4,7785250.0
2025-06-02,48.04,48.08,47.24,47.86,6610946.0
2025-06-03,47.93,49.22,47.85,49.05,7440847.0
2025-06-04,49.25,50.215,49.08,49.34,7022216.0
2025-06-05,49.36,52.03,49.36,51.45,10694436.0
2025-06-06,51.77,51.98,50.605,50.94,6995107.0
2025-06-09,50.95,51.07,50.2,50.51,4970084.0
2025-06-10,50.64,51.52,50.5001,51.48,5136621.0
2025-06-11,51.55,51.9,50.88,51.31,4279200.0
2025-06-12,51.21,52.09,50.985,51.74,4552046.0
2025-06-13,51.48,51.885,51.09,51.54,3688306.0
2025-06-16,52.11,52.15,51.39,51.69,4224133.0
2025-06-17,51.305,52.05,50.66,50.98,4923731.0
2025-06-18,51.09,52.38,51.0092,52.03,4237559.0
2025-06-20,52.37,52.675,51.88,52.52,5733386.0
2025-06-23,52.67,53.74,52.49,53.66,4457668.0
2025-06-24,52.44,53.615,52.195,53.51,10189884.0
2025-06-25,53.4,53.41,52.43,52.8,7495884.0
2025-06-26,53.0,53.03,51.565,51.84,5582117.0
2025-06-27,52.0,52.51,51.34,51.71,9816874.0
2025-06-30,51.72,52.9,51.28,52.77,5371780.0
2025-07-01,52.46,54.58,52.25,54.08,7108335.0
2025-07-02,54.16,55.4503,54.0101,55.14,6040072.0
2025-07-03,55.14,55.14,54.18,54.63,2938398.0
2025-07-07,54.65,56.9,54.64,56.76,8825415.0
2025-07-08,56.56,56.86,55.46,56.77,5314647.0
2025-07-09,56.84,57.32,56.34,57.21,4659987.0
2025-07-10,57.02,58.06,56.81,57.44,5024117.0
2025-07-11,57.055,57.31,56.695,56.79,5881201.0
2025-07-14,56.55,58.065,56.4482,58.04,4502317.0
2025-07-15,58.025,58.36,56.315,56.34,7496389.0
2025-07-16,56.66,56.67,54.69,56.04,6088940.0
2025-07-17,56.1,56.95,56.1,56.83,3863999.0
2025-07-18,57.09,57.12,55.98,56.58,4284623.0
2025-07-21,56.85,57.96,56.8384,57.41,4681658.0
2025-07-22,57.35,59.15,57.17,58.98,4773884.0
2025-07-23,59.25,60.44,58.41,59.62,10420310.0
2025-07-24,63.96,63.9899,57.975,59.34,15356137.0
2025-07-25,59.56,59.82,58.515,59.33,7589247.0
2025-07-28,59.0,59.245,57.78,58.11,7983206.0
2025-07-29,58.11,59.1908,57.93,58.59,6467065.0
2025-07-30,58.74,58.74,57.495,57.83,4556503.0
2025-07-31,57.43,58.165,56.73,56.95,4179443.0
2025-08-01,57.015,57.67,55.49,57.63,5505392.0
2025-08-04,57.63,59.525,57.475,59.5,5391384.0
2025-08-05,59.51,60.06,59.22,59.77,3357667.0
2025-08-06,59.715,60.405,59.15,60.25,3831545.0
2025-08-07,60.5,60.8,59.49,60.02,2961498.0
2025-08-08,60.03,60.1699,59.165,59.26,3277564.0
2025-08-11,59.37,59.92,58.85,59.53,4850178.0
2025-08-12,59.46,60.18,58.9,59.3,4822204.0
2025-08-13,59.45,59.94,59.06,59.73,5140701.0
2025-08-14,58.89,59.885,58.52,59.69,3984346.0
2025-08-15,59.83,60.55,59.785,60.49,3901627.0
2025-08-18,60.65,61.73,60.65,61.1,5653020.0
2025-08-19,61.24,62.65,61.24,62.28,4393143.0
2025-08-20,62.3,62.3,60.95,61.03,3477584.0
2025-08-21,60.8,61.275,60.502,61.0,2627602.0
2025-08-22,61.35,61.69,61.01,61.61,3230189.0
2025-08-25,61.46,62.21,61.01,61.52,3261812.0
2025-08-26,61.53,61.87,61.12,61.69,4276520.0
2025-08-27,61.85,62.89,61.8,62.38,3587822.0
2025-08-28,62.3,62.74,61.635,62.65,3708319.0
2025-08-29,62.65,62.87,61.63,61.76,5217421.0
2025-09-02,61.71,62.26,61.35,61.52,3230685.0
2025-09-03,61.31,61.55,59.985,60.14,6107752.0
2025-09-04,60.36,60.83,60.17,60.64,4677236.0
2025-09-05,60.78,60.87,60.055,60.52,3211873.0
2025-09-08,60.36,60.46,59.12,60.09,5475454.0
2025-09-09,59.8,59.96,58.82,59.08,3722296.0
2025-09-10,58.735,59.15,58.25,58.45,3129279.0
2025-09-11,58.54,60.255,58.47,60.02,3798810.0
2025-09-12,59.7,60.645,59.58,60.61,4395312.0
2025-09-15,60.53,60.855,59.55,59.61,6270994.0
2025-09-16,59.55,59.83,58.48,58.99,5254486.0
2025-09-17,59.19,60.01,58.89,59.1,3551638.0
2025-09-18,59.61,60.37,59.3,59.87,4153880.0
2025-09-19,60.04,60.145,59.035,59.66,6769879.0
2025-09-22,59.49,59.64,58.11,58.14,4335650.0
2025-09-23,58.31,58.68,58.06,58.56,3024479.0
2025-09-24,58.25,58.28,57.22,57.35,4808908.0
2025-09-25,57.1,57.2,56.23,56.42,4254657.0
2025-09-26,56.5,56.81,56.18,56.52,2999486.0
2025-09-29,56.66,56.79,55.98,56.69,3572103.0
2025-09-30,56.69,57.08,56.025,56.87,5084689.0
2025-10-01,56.92,57.49,55.89,55.92,5747538.0
2025-10-02,55.71,56.49,55.52,56.23,3875400.0
2025-10-03,56.1,56.275,55.43,55.83,3016049.0
2025-10-06,55.81,56.055,54.66,54.69,3802362.0
2025-10-07,54.585,54.775,53.26,53.71,4918810.0
2025-10-08,53.69,54.35,53.27,53.92,4646371.0
2025-10-09,55.34,56.15,53.71,54.22,6383410.0
2025-10-10,54.46,54.73,53.5,54.24,6007053.0
2025-10-13,54.37,55.27,54.3,54.91,5175576.0
2025-10-14,54.64,55.715,54.45,55.48,3767426.0
2025-10-15,55.54,56.58,55.5,55.81,6635468.0
2025-10-16,56.0,56.13,54.885,55.16,3952704.0
2025-10-17,55.39,55.61,54.9,55.2,3386316.0
2025-10-20,55.46,55.6,54.65,55.29,4503200.0
2025-10-21,55.0,55.555,54.64,54.77,4686243.0
2025-10-22,54.74,55.2,54.46,54.83,5468796.0
2025-10-23,53.2,58.21,53.1501,56.35,14800117.0
2025-10-24,57.5,58.2,55.99,56.28,6354276.0
2025-10-27,56.27,56.54,55.75,56.37,4952885.0
2025-10-28,55.97,56.165,55.34,55.49,4042751.0
2025-10-29,55.18,55.28,53.975,54.24,4040952.0
2025-10-30,54.22,54.925,53.52,54.12,4235273.0
2025-10-31,53.92,54.255,53.44,54.11,3834838.0
2025-11-03,54.21,54.21,51.9,52.49,7643329.0
2025-11-04,52.49,53.27,52.07,53.05,4674352.0
2025-11-05,53.21,54.355,53.12,53.92,5992623.0
2025-11-06,53.37,53.72,52.88,53.1,4611858.0
2025-11-07,53.22,54.3,53.146,54.27,3585795.0
2025-11-10,54.21,55.96,53.915,55.46,6493125.0
2025-11-11,55.435,56.94,55.435,55.94,7143371.0
2025-11-12,55.88,56.12,54.925,55.98,4602046.0
2025-11-13,55.91,56.94,55.8,56.18,4264387.0
2025-11-14,55.99,56.37,55.35,55.42,4955276.0
2025-11-17,55.23,55.75,53.37,53.68,5655334.0
2025-11-18,52.85,53.86,52.02,53.53,7977388.0
2025-11-19,53.56,53.78,52.09,52.54,5590202.0
2025-11-20,52.57,53.37,52.25,52.64,4282924.0
2025-11-21,52.66,53.965,52.44,52.92,5548648.0
2025-11-24,53.57,54.09,52.58,53.03,16174226.0
2025-11-25,53.11,54.8799,53.01,54.42,5930537.0
2025-11-26,54.27,55.03,54.2,54.63,3594967.0
2025-11-28,54.67,54.855,54.14,54.78,2111699.0
2025-12-01,54.37,54.935,53.52,53.66,5810230.0
2025-12-02,53.81,53.81,52.955,53.22,4434187.0
2025-12-03,53.58,54.82,53.49,54.07,5625104.0
2025-12-04,54.16,54.58,53.4307,54.38,5061632.0
2025-12-05,54.45,54.6,53.96,54.08,3634930.0
2025-12-08,54.01,54.19,53.24,53.34,5690929.0
2025-12-09,53.18,53.7872,52.26,52.35,5130860.0
2025-12-10,52.54,53.145,52.4,52.86,6028519.0
2025-12-11,52.76,53.725,51.55,51.81,5803611.0
2025-12-12,52.15,52.3763,51.81,51.97,4515128.0
2025-12-15,52.15,53.0,51.91,52.93,5097265.0
2025-12-16,53.02,53.14,52.295,52.64,3952001.0
2025-12-17,52.59,53.64,52.525,53.49,5481902.0
2025-12-18,53.46,53.6427,52.1,52.33,6025491.0
2025-12-19,52.16,52.26,51.14,51.4,8307725.0
2025-12-22,51.16,51.8,51.145,51.72,3529237.0
2025-12-23,51.75,51.835,50.51,51.08,4502235.0
2025-12-24,51.0,51.68,51.0,51.65,1697359.0
2025-12-26,51.69,51.865,51.225,51.39,3161549.0
2025-12-29,51.46,51.605,50.49,50.81,5349537.0
2025-12-30,50.62,50.74,50.235,50.36,4752073.0
2025-12-31,50.31,50.475,49.845,50.01,4267727.0
2026-01-02,49.97,50.945,49.72,50.83,5495965.0
2026-01-05,50.395,50.85,49.625,49.83,13699844.0
2026-01-06,49.56,50.6454,49.34,50.31,7469376.0
2026-01-07,50.6,51.02,49.86,49.89,11884773.0
2026-01-08,49.42,52.06,49.335,51.4,8195364.0
2026-01-09,51.48,52.14,50.98,51.51,8856068.0
2026-01-12,51.3,51.595,50.34,50.68,5979580.0
2026-01-13,50.84,51.805,50.82,51.76,6177787.0
2026-01-14,51.67,51.98,50.845,51.16,4816480.0
2026-01-15,51.17,51.47,50.44,50.73,4793568.0
2026-01-16,50.37,51.22,50.175,51.01,5365945.0
2026-01-20,50.82,51.645,50.33,50.97,7514065.0
2026-01-21,51.68,53.55,51.66,53.17,10088734.0
2026-01-22,53.53,54.64,53.17,53.4,9704523.0
2026-01-23,53.51,55.0,53.51,54.69,9863664.0
2026-01-26,55.25,56.28,55.09,55.56,10026247.0
2026-01-27,55.74,55.87,55.13,55.73,5270109.0
2026-01-28,55.89,56.05,55.08,55.14,9151908.0
2026-01-29,52.9,53.41,50.285,50.96,20672247.0
2026-01-30,51.39,51.95,49.92,50.88,18692164.0
2026-02-02,50.88,53.055,50.56,52.98,9925357.0
2026-02-03,52.78,54.195,52.44,53.47,6672856.0
2026-02-04,53.485,56.12,53.485,55.28,7649791.0
2026-02-05,55.16,55.26,54.225,54.48,5782857.0
2026-02-06,53.94,55.655,53.82,55.61,6242871.0
2026-02-09,54.885,55.21,53.64,53.78,6093078.0
2026-02-10,53.81,54.255,53.24,54.05,4260567.0
2026-02-11,54.05,54.685,53.44,54.53,4436087.0
2026-02-12,54.56,56.19,54.21,54.41,5848304.0
2026-02-13,54.36,55.58,54.0241,55.03,4380070.0
2026-02-17,54.43,54.93,51.775,52.69,8669087.0
2026-02-18,52.51,52.83,51.75,52.54,4425432.0
2026-02-19,52.54,52.785,51.56,51.96,3457673.0
2026-02-20,51.97,53.17,51.79,52.96,4654056.0
2026-02-23,52.92,54.28,52.57,53.89,6245176.51476
2026-02-24,53.71,54.51,53.15,53.27,5481383.328363
2026-02-25,52.97,53.195,51.7,51.77,4843276.641518
2026-02-26,52.01,52.37,51.08,51.18,6145344.054215
2026-02-27,50.9,52.06,50.35,51.84,8176235.615145
2026-03-02,51.76,52.72,51.13,52.28,7839328.555961
2026-03-03,51.39,51.925,50.6401,51.6,4628586.772952
2026-03-04,51.58,51.97,50.59,50.59,6675520.96268
2026-03-05,50.01,50.76,49.42,50.51,7398776.018571
2026-03-06,50.3,50.55,49.59,50.16,4929657.871158
2026-03-09,49.99,51.1,49.46,50.67,8927381.462
2026-03-10,50.27,51.21,50.03,50.34,5806547.114492
2026-03-11,50.26,50.68,49.16,49.47,4776679.104065
2026-03-12,49.34,49.45,48.05,48.1,6196362.33631
2026-03-13,48.33,48.67,47.05,47.24,4488152.349014
2026-03-16,47.815,49.16,47.815,48.78,6013582.067817
2026-03-17,48.86,49.06,47.47,47.55,4823538.247678
2026-03-18,47.03,47.395,45.925,45.95,5423534.826975
2026-03-19,45.72,46.335,45.47,46.18,4861674.13053
2026-03-20,46.1,46.37,45.45,45.77,5886314.072102
2026-03-23,46.6,46.645,45.61,45.67,5776525.164229
2026-03-24,45.32,46.06,44.44,45.49,6096714.844224
2026-03-25,46.24,46.62,45.19,45.96,3941530.157868
2026-03-26,45.91,46.56,45.7,45.89,4049735.29709
2026-03-27,45.75,46.1811,44.79,44.87,9052673.489817
2026-03-30,45.52,45.85,45.13,45.41,4639569.901025
2026-03-31,45.82,46.4,44.74,45.3,8227006.978913
2026-04-01,45.37,45.53,44.33,44.53,6109031.080994
2026-04-02,44.15,44.35,43.35,43.82,7551485.627654
2026-04-06,43.615,45.445,43.55,45.39,4951725.943444
2026-04-07,44.53,44.82,43.23,43.64,5134110.160723
2026-04-08,44.415,45.565,44.28,45.28,6176970.815697
2026-04-09,44.94,45.88,44.45,45.64,4144023.462636
2026-04-10,45.595,45.77,44.87,45.03,4689775.318126
2026-04-13,45.13,45.48,44.3275,45.44,6891221.688925
2026-04-14,45.26,45.995,44.98,45.02,5133005.269389
2026-04-15,44.88,45.485,44.395,44.75,6796657.79513
2026-04-16,44.75,45.26,44.28,44.63,8463264.506084
2026-04-17,44.7,45.42,44.66,45.01,8807918.004345
2026-04-20,45.0,45.21,44.18,44.81,10431313.397412
2026-04-21,42.6,42.9,38.915,39.57,25916394.987101
2026-04-22,39.7,40.14,38.295,38.96,14161221.27958
2026-04-23,38.98,38.98,38.04,38.17,11360613.543414
2026-04-24,37.755,37.945,36.595,36.74,13835953.670832
2026-04-27,36.815,36.965,35.51,35.67,13115994.979171
2026-04-28,36.03,36.38,35.255,35.59,9747132.666821
2026-04-29,35.05,35.305,34.365,34.77,10937129.16589
2026-04-30,34.77,35.21,34.405,35.1,11497301.793079
2026-05-01,35.12,35.27,33.645,33.83,14353245.696972
2026-05-04,33.6,33.97,32.26,32.31,18147668.815118
2026-05-05,32.05,33.125,31.98,32.68,20026737.009489
2026-05-06,33.21,33.37,32.1,32.53,16916640.583201
2026-05-07,32.6,32.9,31.4,31.74,14934320.759371
2026-05-08,31.48,32.03,30.58,30.65,17658362.065689
2026-05-11,30.55,30.89,30.165,30.25,12410256.155998
2026-05-12,30.67,31.07,30.25,30.59,17432971.656866
2026-05-13,30.38,30.5292,29.42,29.85,10861879.669157
2026-05-14,30.3,30.795,30.06,30.49,10245309.225322
2026-05-15,30.66,30.79,30.0801,30.57,9488842.05835
2026-05-18,30.73,31.86,30.69,31.72,13019297.286777
2026-05-19,31.71,31.9,30.83,31.14,10917340.667571
2026-05-20,30.96,31.955,30.58,31.69,9785886.928973
2026-05-21,31.38,31.81,30.91,31.67,8828015.158867
2026-05-22,31.59,31.87,31.36,31.62,7566591.346035
2026-05-26,31.4,31.6,29.665,29.8,19218737.871997
2026-05-27,29.76,30.72,29.76,30.67,18799084.151747
2026-05-28,30.68,31.415,30.21,31.37,12134424.814332
2026-05-29,30.9,31.67,30.56,31.53,17958740.107693
2026-06-01,31.28,31.79,31.02,31.78,11898600.219425
2026-06-02,31.38,31.58,29.955,30.01,16898259.987717
2026-06-03,29.82,29.93,28.36,29.14,22578851.159522
2026-06-04,29.85,30.16,29.15,29.37,10236296.673117
2026-06-05,29.92,30.21,29.46,29.78,8602894.567267
2026-06-08,29.36,30.73,29.2,30.14,10488229.984632
2026-06-09,30.3,30.5,29.845,29.96,10493446.729877
2026-06-10,29.97,30.8599,29.865,30.77,10587548.044153
2026-06-11,30.68,31.305,30.38,31.26,14523483.069568
2026-06-12,31.275,31.45,30.92,31.25,11955756.712105
2026-06-15,31.28,31.51,30.5,30.88,13746379.632837
2026-06-16,30.5,30.69,29.59,30.21,13362614.381743
2026-06-17,30.095,30.81,29.6,29.75,11079249.908047
2026-06-18,29.8,30.51,29.71,30.24,24880680.46823
2026-06-22,30.17,30.365,29.415,29.81,14393193.543699
2026-06-23,30.1,30.32,29.455,29.68,12079186.103689
2026-06-24,29.67,30.31,29.61,30.06,12774788.909224
2026-06-25,29.86,31.41,29.86,30.75,14113882.426914
2026-06-26,30.75,31.745,30.68,31.21,36560964.958498
2026-06-29,31.205,31.74,30.94,31.2,11516835.051919
2026-06-30,31.22,31.765,30.99,31.61,9009051.620845
2026-07-01,32.02,32.49,31.72,32.26,8870296.962835
2026-07-02,32.48,32.64,31.45,31.76,9342914.818362
2026-07-06,31.42,31.7,29.945,30.22,8863848.753982
