date,open,high,low,close,volume
2025-07-11,430.0,438.9,430.0,437.5,944550.0
2025-07-14,436.57,440.86,434.21,439.19,1172019.0
2025-07-15,438.46,441.19,434.93,436.36,820604.0
2025-07-16,436.53,437.86,430.64,436.98,587904.0
2025-07-17,437.17,450.26,437.17,450.06,1152020.0
2025-07-18,450.07,451.87,446.305,447.33,1296594.0
2025-07-21,448.0,448.06,442.48,442.48,895057.0
2025-07-22,441.45,448.33,434.59,447.68,1478906.0
2025-07-23,451.35,461.255,450.0,459.35,994893.0
2025-07-24,460.8,464.66,458.8331,461.73,977402.0
2025-07-25,464.85,473.13,463.53,472.07,1195128.0
2025-07-28,473.79,476.185,469.415,472.54,1209871.0
2025-07-29,469.37,472.53,463.98,470.98,2442348.0
2025-07-30,434.5,447.27,424.31,431.44,3364449.0
2025-07-31,431.08,441.29,431.08,438.08,2245356.0
2025-08-01,432.685,439.93,428.28,439.25,1527429.0
2025-08-04,439.51,441.87,432.47,433.97,993927.0
2025-08-05,432.27,435.0549,426.81,428.76,1399404.0
2025-08-06,428.65,429.3,424.58,427.03,1427295.0
2025-08-07,426.82,430.65,424.86,428.11,810198.0
2025-08-08,430.48,431.58,426.13,430.09,755571.0
2025-08-11,428.3,432.42,426.06,428.07,1074837.0
2025-08-12,428.56,439.23,426.225,438.95,1225670.0
2025-08-13,441.3,441.3,427.94,434.87,1182310.0
2025-08-14,429.77,436.37,427.59,428.53,895354.0
2025-08-15,429.39,429.8999,422.13,423.43,891929.0
2025-08-18,423.29,429.815,423.29,428.88,630262.0
2025-08-19,428.01,431.415,425.294,428.79,757284.0
2025-08-20,425.63,427.62,421.475,426.3,927273.0
2025-08-21,425.695,426.79,421.16,422.27,1185192.0
2025-08-22,423.8,430.93,422.57,424.11,1010356.0
2025-08-25,425.21,426.89,419.29,419.63,1103558.0
2025-08-26,420.46,426.54,418.5701,426.19,1099282.0
2025-08-27,425.47,427.97,424.0,424.19,1144683.0
2025-08-28,425.99,427.49,422.58,424.5,1093260.0
2025-08-29,426.0,426.62,413.78,415.6,1278640.0
2025-09-02,410.03,411.625,405.77,410.93,1300334.0
2025-09-03,411.68,411.68,403.01,408.31,2298588.0
2025-09-04,408.85,415.559,408.54,413.15,1243921.0
2025-09-05,414.92,417.9697,406.49,413.83,1280630.0
2025-09-08,414.71,416.25,412.0,414.93,1069408.0
2025-09-09,413.38,413.5,403.22,409.41,1181774.0
2025-09-10,414.05,420.26,409.92,417.32,2264299.0
2025-09-11,417.99,423.65,405.695,414.88,1483693.0
2025-09-12,410.87,414.62,400.39,400.77,1563728.0
2025-09-15,400.46,406.6,397.96,402.44,1560892.0
2025-09-16,403.04,406.03,398.3,399.99,1402739.0
2025-09-17,400.0,402.8524,394.39,398.96,1229393.0
2025-09-18,401.31,406.06,398.75,402.49,1387203.0
2025-09-19,404.24,408.67,402.28,406.58,2322906.0
2025-09-22,406.04,408.5,403.81,407.63,1063445.0
2025-09-23,408.12,411.29,403.07,405.16,1127535.0
2025-09-24,407.38,411.68,403.38,404.09,1213611.0
2025-09-25,402.11,407.79,399.22,406.4,1446664.0
2025-09-26,407.94,417.055,407.6,415.23,1527598.0
2025-09-29,418.86,420.36,412.51,414.38,1379989.0
2025-09-30,412.88,423.03,412.82,421.96,1237423.0
2025-10-01,418.74,427.22,418.415,425.41,1571269.0
2025-10-02,425.28,429.21,420.29,423.53,1088674.0
2025-10-03,423.9,425.83,417.94,424.09,791336.0
2025-10-06,428.4,430.23,422.38,424.77,1076028.0
2025-10-07,426.4,428.24,420.6125,423.11,898555.0
2025-10-08,419.6,428.09,416.03,426.37,1030680.0
2025-10-09,426.96,427.99,418.54,418.64,1052249.0
2025-10-10,420.84,427.3,413.97,414.14,1123606.0
2025-10-13,419.14,422.18,416.585,418.76,1080389.0
2025-10-14,414.17,425.05,411.4,424.04,1871914.0
2025-10-15,424.09,430.825,419.635,422.45,1011327.0
2025-10-16,423.17,423.29,415.075,415.92,928112.0
2025-10-17,415.76,420.0,414.25,415.82,732828.0
2025-10-20,418.28,419.18,412.3975,418.37,925396.0
2025-10-21,417.16,426.22,413.57,424.2,1024283.0
2025-10-22,428.46,428.525,408.11,408.5,2132446.0
2025-10-23,410.5,417.56,408.93,415.85,1110220.0
2025-10-24,419.13,427.84,418.0,425.87,1182027.0
2025-10-27,429.17,430.86,426.16,428.28,1085262.0
2025-10-28,427.82,432.01,424.37,426.36,957635.0
2025-10-29,426.4,437.75,425.76,427.48,2138295.0
2025-10-30,420.6,458.65,418.38,446.37,2467903.0
2025-10-31,444.89,453.375,444.89,448.65,2253182.0
2025-11-03,450.0,451.985,444.21,446.31,1285467.0
2025-11-04,442.0,443.27,432.12,432.99,1164286.0
2025-11-05,433.8,440.12,430.83,436.16,1267910.0
2025-11-06,437.83,440.6025,429.32,435.6,836372.0
2025-11-07,431.09,434.5,425.0,434.5,977273.0
2025-11-10,434.48,436.2,424.14,433.5,943670.0
2025-11-11,431.83,434.1799,421.06,421.64,1255455.0
2025-11-12,423.13,429.85,415.561,421.75,1356352.0
2025-11-13,430.72,438.12,414.27,414.85,1533198.0
2025-11-14,410.73,422.8,408.2168,418.16,1508545.0
2025-11-17,417.3,419.42,410.74,413.78,967121.0
2025-11-18,412.16,415.5,406.94,407.04,975578.0
2025-11-19,408.69,412.265,405.39,406.83,900043.0
2025-11-20,413.97,415.67,399.311,400.06,1071623.0
2025-11-21,402.69,411.35,398.67,410.1,1337921.0
2025-11-24,410.65,414.92,408.33,409.94,1904991.0
2025-11-25,411.66,419.47,409.09,418.82,1242783.0
2025-11-26,417.83,422.86,417.24,419.64,930641.0
2025-11-28,420.91,421.99,417.44,421.48,401237.0
2025-12-01,417.52,418.8399,409.91,410.16,1586651.0
2025-12-02,412.99,414.45,406.78,411.22,1229194.0
2025-12-03,409.86,411.045,403.635,409.07,1146880.0
