date,open,high,low,close,volume
2025-04-24,167.5,174.17,167.475,174.0,1065667.0
2025-04-25,175.92,175.92,170.355,171.68,1008972.0
2025-04-28,170.96,173.71,170.04,172.91,942596.0
2025-04-29,168.4,173.84,161.645,171.88,1498963.0
2025-04-30,172.21,177.365,169.06,177.07,1048541.0
2025-05-01,176.33,179.25,174.29,174.63,608152.0
2025-05-02,176.95,179.35,176.745,178.74,588871.0
2025-05-05,178.62,180.61,177.1801,178.19,489326.0
2025-05-06,177.68,186.89,175.41,184.16,1609013.0
2025-05-07,184.01,187.56,181.03,186.59,773757.0
2025-05-08,186.71,187.98,183.68,183.77,755808.0
2025-05-09,184.01,184.36,181.09,181.78,828395.0
2025-05-12,183.93,199.03,183.93,191.55,1105290.0
2025-05-13,190.55,193.72,190.135,192.17,733451.0
2025-05-14,191.57,192.14,187.71,187.83,721195.0
2025-05-15,186.85,196.17,186.1,195.88,930599.0
2025-05-16,196.32,198.19,193.7,197.94,766066.0
2025-05-19,196.34,197.96,194.97,196.82,469970.0
2025-05-20,196.54,197.13,194.58,195.73,553088.0
2025-05-21,194.75,195.63,190.07,190.15,495583.0
2025-05-22,188.58,190.385,186.355,186.65,462405.0
2025-05-23,184.69,186.74,183.66,186.21,439367.0
2025-05-27,189.04,193.16,187.83,192.42,973281.0
2025-05-28,191.56,193.8,190.1,190.39,634478.0
2025-05-29,191.66,193.64,190.62,191.05,407865.0
2025-05-30,190.08,191.96,188.78,190.35,814853.0
2025-06-02,189.83,189.9,184.895,187.38,707836.0
2025-06-03,186.63,189.31,186.24,188.81,534538.0
2025-06-04,191.44,191.95,188.44,188.65,497438.0
2025-06-05,188.65,190.62,188.14,189.09,538680.0
2025-06-06,189.34,191.0,188.6,189.39,379386.0
2025-06-09,188.57,188.57,169.79,177.77,1333167.0
2025-06-10,177.41,177.41,168.65,172.67,1550407.0
2025-06-11,172.89,175.64,171.31,172.29,746265.0
2025-06-12,172.26,173.91,171.14,173.66,684018.0
2025-06-13,171.79,173.38,170.585,171.07,667819.0
2025-06-16,172.69,175.48,163.21,170.36,1946345.0
2025-06-17,167.99,172.68,166.095,171.76,1358063.0
2025-06-18,171.77,173.04,170.1,171.24,986790.0
2025-06-20,171.35,175.89,171.35,171.7,1572650.0
2025-06-23,172.09,174.18,169.31,173.52,1065295.0
2025-06-24,174.26,176.05,170.84,175.2,946603.0
2025-06-25,175.68,176.06,172.02,175.69,891870.0
2025-06-26,180.58,184.41,177.23,177.43,874388.0
2025-06-27,177.75,181.635,177.66,178.08,1088833.0
2025-06-30,177.67,182.56,176.49,181.15,1165356.0
2025-07-01,180.98,189.39,180.295,188.94,1351393.0
2025-07-02,186.6,187.49,182.94,184.47,1048891.0
2025-07-03,186.01,187.42,182.44,184.53,665323.0
2025-07-07,184.43,185.0,180.52,181.52,800831.0
2025-07-08,180.62,184.32,179.865,182.25,518646.0
2025-07-09,184.05,184.05,180.9,182.56,660777.0
2025-07-10,181.68,186.2,180.31,184.05,700889.0
2025-07-11,182.19,183.305,181.36,182.52,402466.0
2025-07-14,182.8,184.635,180.89,183.45,493167.0
2025-07-15,183.5,185.0,176.0,176.94,582274.0
2025-07-16,176.005,176.93,168.61,170.28,1250352.0
2025-07-17,169.74,171.84,169.56,170.82,786916.0
2025-07-18,171.1,171.32,168.36,168.94,630487.0
2025-07-21,169.41,170.46,167.87,168.75,479062.0
2025-07-22,170.49,174.3756,160.9,162.68,1734191.0
2025-07-23,165.31,166.035,162.045,164.82,1112992.0
2025-07-24,164.01,164.01,155.26,155.46,1500954.0
2025-07-25,154.99,156.95,152.96,155.6,1187587.0
2025-07-28,156.29,158.36,154.1,154.95,1478061.0
2025-07-29,153.785,163.53,152.3278,162.82,1917778.0
2025-07-30,162.11,166.5,161.18,165.44,1797503.0
2025-07-31,166.2,169.649,164.62,166.45,1529411.0
2025-08-01,166.98,168.53,162.02,162.98,1130469.0
2025-08-04,162.97,166.215,160.97,164.68,867967.0
2025-08-05,165.37,166.77,164.27,164.7,613869.0
2025-08-06,165.19,166.26,163.47,163.48,715922.0
2025-08-07,164.2,169.42,164.2,169.02,926034.0
2025-08-08,169.4,172.62,167.88,172.3,606391.0
2025-08-11,172.54,175.0,171.24,171.66,853416.0
2025-08-12,172.69,175.77,172.4575,175.21,605709.0
2025-08-13,176.04,179.34,175.56,178.51,777126.0
2025-08-14,177.11,179.31,175.0011,178.74,611522.0
2025-08-15,179.51,179.51,175.84,178.47,747960.0
2025-08-18,178.79,179.54,177.44,177.61,675665.0
2025-08-19,178.54,182.67,178.155,182.56,745811.0
2025-08-20,182.96,185.23,182.635,184.7,792379.0
2025-08-21,184.88,186.05,183.88,183.95,657448.0
2025-08-22,184.33,186.19,182.5,185.58,627249.0
2025-08-25,184.95,185.63,182.69,183.88,793548.0
2025-08-26,183.21,184.0,181.18,181.45,978007.0
2025-08-27,181.53,183.59,180.32,182.41,672578.0
2025-08-28,182.355,182.43,180.46,181.22,945370.0
