date,open,high,low,close,volume
2025-05-08,394.79,397.77,387.75,388.24,883679.0
2025-05-09,389.03,394.155,386.0,392.17,476140.0
2025-05-12,409.97,421.71,407.15,412.38,1188811.0
2025-05-13,412.81,418.215,410.65,412.23,598611.0
2025-05-14,412.62,418.06,410.31,411.38,628066.0
2025-05-15,406.81,412.3,406.085,411.74,464361.0
2025-05-16,413.58,414.99,409.41,412.99,407785.0
2025-05-19,406.0,413.19,406.0,410.09,535204.0
2025-05-20,411.07,422.0,411.07,414.4,1124271.0
2025-05-21,407.62,410.23,402.5,404.75,751104.0
2025-05-22,407.44,412.7437,405.255,410.39,545393.0
2025-05-23,402.97,408.4875,402.76,407.04,569219.0
2025-05-27,410.62,423.14,410.62,421.31,945035.0
2025-05-28,423.27,424.506,416.93,417.01,755106.0
2025-05-29,424.36,427.0599,414.21,421.79,1960045.0
2025-05-30,468.16,491.98,466.83,471.46,4594522.0
2025-06-02,465.27,481.34,462.5534,475.675,1312978.0
2025-06-03,475.34,477.19,469.0,473.11,667372.0
2025-06-04,473.44,473.44,464.76,465.64,674936.0
2025-06-05,463.7,469.28,461.58,467.04,575350.0
2025-06-06,468.85,468.85,458.57,465.64,601513.0
2025-06-09,469.65,470.68,464.67,468.32,638805.0
2025-06-10,467.97,469.8792,459.87,462.21,691052.0
2025-06-11,464.3,464.3,454.37,456.97,709203.0
2025-06-12,458.37,463.0,452.0,462.43,655704.0
2025-06-13,458.43,467.5,454.28,459.17,673799.0
2025-06-16,462.2,472.58,456.84,471.94,631921.0
2025-06-17,470.64,478.59,469.65,471.75,813801.0
2025-06-18,472.86,477.82,470.1896,473.46,627599.0
2025-06-20,479.21,479.21,469.37,473.85,1231533.0
2025-06-23,473.92,478.255,470.74,471.56,587995.0
2025-06-24,474.71,475.61,462.33,464.49,768494.0
2025-06-25,460.17,462.64,456.52,459.09,883676.0
2025-06-26,460.19,461.99,452.05,457.66,834660.0
2025-06-27,458.46,459.69,455.0,458.27,1373759.0
2025-06-30,457.5,470.0,456.375,467.82,675797.0
2025-07-01,468.42,478.72,467.235,473.44,565674.0
2025-07-02,473.44,477.99,471.015,474.84,643000.0
2025-07-03,472.84,481.395,471.125,477.79,391801.0
2025-07-07,476.74,478.84,471.885,475.99,631957.0
2025-07-08,481.765,498.515,476.095,483.21,1199618.0
2025-07-09,482.22,482.5,471.51,475.57,546152.0
2025-07-10,478.14,485.83,475.26,476.14,535554.0
2025-07-11,473.33,477.71,471.88,476.84,474129.0
2025-07-14,476.84,480.95,471.343,479.67,519946.0
2025-07-15,480.02,483.42,472.81,473.78,552448.0
2025-07-16,476.32,485.34,473.635,485.08,613673.0
2025-07-17,485.88,492.71,484.035,490.07,572074.0
2025-07-18,493.89,494.58,487.11,493.3,419575.0
2025-07-21,495.15,500.95,490.14,497.41,608880.0
2025-07-22,497.6,504.825,493.83,502.74,598765.0
2025-07-23,503.63,508.265,500.45,508.1,616472.0
2025-07-24,508.64,514.34,505.43,513.55,589255.0
2025-07-25,508.425,515.99,502.0,514.95,466180.0
2025-07-28,514.96,520.87,513.55,519.27,528471.0
