date,open,high,low,close,volume
2025-04-10,38.46,38.48,36.36,37.25,20954106.0
2025-04-11,37.0,37.965,36.48,37.86,18556262.0
2025-04-14,38.51,38.775,37.77,38.2,12809871.0
2025-04-15,38.24,39.38,38.24,38.63,11717262.0
2025-04-16,38.22,39.15,37.43,37.82,17381552.0
2025-04-17,37.94,38.682,37.8,38.2,12538841.0
2025-04-21,37.91,38.08,37.245,37.81,11261346.0
2025-04-22,38.26,39.065,38.16,39.0,8311430.0
2025-04-23,40.0,41.15,39.315,39.51,12753919.0
2025-04-24,39.3,40.2,39.255,40.05,9478481.0
2025-04-25,39.76,40.1263,39.65,39.92,6432813.0
2025-04-28,40.05,40.39,39.775,40.18,5264899.0
2025-04-29,39.95,40.565,39.76,40.5,8390352.0
2025-04-30,39.73,40.47,39.285,40.34,10563222.0
2025-05-01,40.16,40.91,39.99,40.5,7192134.0
2025-05-02,40.83,41.6,40.75,41.47,9089528.0
2025-05-05,41.0,42.0165,40.9411,41.46,5230531.0
2025-05-06,40.98,41.395,40.886,40.98,5271066.0
2025-05-07,41.25,41.68,41.13,41.3,8325885.0
2025-05-08,41.78,42.35,41.5,42.14,8840786.0
2025-05-09,42.14,42.275,41.815,42.02,6997689.0
2025-05-12,43.91,44.36,43.715,44.01,12302221.0
2025-05-13,44.0,44.5,43.81,44.37,10139264.0
2025-05-14,44.22,44.35,44.0,44.23,5877274.0
2025-05-15,44.23,44.688,44.22,44.58,6534080.0
2025-05-16,44.61,44.995,44.295,44.92,7369356.0
2025-05-19,44.4,44.87,44.31,44.79,5717797.0
2025-05-20,44.67,44.72,44.26,44.41,6605665.0
2025-05-21,44.07,44.125,42.86,42.89,6299028.0
2025-05-22,42.89,43.455,42.625,43.12,6608903.0
2025-05-23,42.22,43.11,42.21,42.94,5798567.0
2025-05-27,43.55,43.7471,43.025,43.74,6500472.0
2025-05-28,43.74,43.87,43.16,43.23,4800120.0
2025-05-29,43.55,43.78,43.175,43.76,6373152.0
2025-05-30,43.57,43.7778,43.2,43.59,9784910.0
2025-06-02,43.31,43.64,42.775,43.62,6159550.0
2025-06-03,43.58,44.475,43.5,44.38,10105552.0
2025-06-04,44.48,44.73,43.855,43.9,6980501.0
2025-06-05,44.15,44.15,43.49,43.68,6079200.0
2025-06-06,44.41,44.83,44.26,44.77,7647826.0
2025-06-09,45.0,45.25,44.76,44.87,5604997.0
2025-06-10,44.99,45.405,44.82,45.24,5792482.0
2025-06-11,45.08,45.11,44.125,44.2,13018074.0
2025-06-12,44.01,44.17,43.595,44.16,9553234.0
2025-06-13,43.7,43.805,42.85,42.99,9468800.0
2025-06-16,43.56,43.61,43.1,43.15,14247881.0
2025-06-17,42.965,43.17,42.61,42.69,10921446.0
2025-06-18,42.56,43.42,42.55,43.27,12696584.0
2025-06-20,43.35,43.55,43.1801,43.29,22312736.0
2025-06-23,43.175,44.115,42.93,44.09,12500776.0
2025-06-24,44.515,44.95,44.43,44.54,10997063.0
2025-06-25,44.41,44.91,44.33,44.82,8481951.0
2025-06-26,45.0,45.68,44.935,45.62,13437126.0
2025-06-27,45.64,46.25,45.525,45.76,15796433.0
2025-06-30,45.4,45.6981,45.145,45.25,13621095.0
2025-07-01,44.97,46.58,44.905,46.49,16514367.0
2025-07-02,46.7,47.51,46.57,47.49,15421979.0
2025-07-03,47.68,48.055,47.52,47.93,7036266.0
2025-07-07,48.11,48.39,47.46,47.78,14353885.0
2025-07-08,47.79,47.925,47.485,47.66,13523662.0
2025-07-09,47.98,48.11,47.135,47.3,9179579.0
2025-07-10,47.31,47.875,47.185,47.57,8606296.0
2025-07-11,47.0,47.385,46.755,47.14,11510237.0
2025-07-14,47.26,47.26,46.785,47.06,13464506.0
2025-07-15,46.86,47.08,45.64,45.69,15895084.0
2025-07-16,45.96,46.19,44.965,45.68,21086503.0
2025-07-17,44.15,45.6,43.9161,45.21,25242829.0
2025-07-18,45.42,45.915,45.075,45.69,15539923.0
2025-07-21,45.78,46.5,45.75,45.78,10538231.0
2025-07-22,45.82,46.605,45.81,46.16,10511753.0
2025-07-23,46.52,46.65,46.115,46.29,10145809.0
2025-07-24,46.24,46.695,46.05,46.06,9025643.0
2025-07-25,46.13,46.36,45.51,46.32,8082304.0
2025-07-28,46.25,46.36,45.8447,46.09,6597607.0
