date,open,high,low,close,volume
2025-04-24,243.73,250.24,242.72,249.51,748368.0
2025-04-25,249.24,249.24,245.44,247.04,695151.0
2025-04-28,246.98,247.36,243.03,245.39,818846.0
2025-04-29,245.19,246.8999,241.91,245.35,1199842.0
2025-04-30,253.0,263.97,247.6,262.33,2344010.0
2025-05-01,264.01,266.37,262.715,263.63,1496671.0
2025-05-02,265.0,268.92,264.825,267.05,1010739.0
2025-05-05,266.15,272.09,263.67,270.04,880907.0
2025-05-06,265.09,269.92,265.0,267.24,658283.0
2025-05-07,268.42,268.74,264.87,265.84,638032.0
2025-05-08,267.73,271.08,266.765,268.42,637747.0
2025-05-09,268.72,270.0,266.83,269.63,508342.0
2025-05-12,278.12,278.14,270.67,272.36,1377606.0
2025-05-13,272.77,273.72,268.02,268.59,1224343.0
2025-05-14,268.06,268.63,265.4,266.32,1065594.0
2025-05-15,266.55,271.77,265.07,271.07,811439.0
2025-05-16,273.45,276.3,272.16,275.51,812239.0
2025-05-19,272.35,276.739,271.815,276.01,750284.0
2025-05-20,271.93,274.4,271.5,273.33,651197.0
2025-05-21,270.36,274.55,270.11,270.54,695667.0
2025-05-22,270.34,272.9,268.11,271.68,934775.0
2025-05-23,268.36,270.125,266.63,268.19,816417.0
2025-05-27,271.23,272.02,267.83,270.16,2494544.0
2025-05-28,270.14,270.14,261.27,262.53,2022424.0
2025-05-29,263.0,265.735,262.11,265.31,2118500.0
2025-05-30,263.66,265.9,261.49,265.07,1481029.0
2025-06-02,262.33,263.595,259.935,263.38,818093.0
2025-06-03,263.39,265.335,261.53,264.94,1094997.0
2025-06-04,264.75,266.59,264.33,266.08,973577.0
2025-06-05,266.73,266.73,262.73,265.67,724383.0
2025-06-06,267.58,267.81,264.11,264.81,729685.0
2025-06-09,266.35,267.395,262.94,266.0,655934.0
2025-06-10,265.8,266.99,264.02,265.1,694087.0
2025-06-11,266.53,267.42,260.28,261.12,717972.0
2025-06-12,260.4,266.28,259.69,265.53,844694.0
2025-06-13,261.78,263.99,259.24,260.77,621666.0
2025-06-16,261.82,263.2499,260.14,261.18,664771.0
2025-06-17,260.18,261.19,258.36,259.04,662546.0
2025-06-18,258.09,261.76,257.545,258.14,952729.0
2025-06-20,259.81,259.81,253.91,255.94,1953685.0
2025-06-23,256.11,261.29,254.94,261.04,930360.0
2025-06-24,262.41,265.7,261.2301,264.48,907270.0
2025-06-25,264.62,265.565,254.21,254.64,1434498.0
2025-06-26,255.5,258.56,253.4,256.96,901365.0
2025-06-27,258.26,263.105,257.755,262.18,2119857.0
2025-06-30,260.95,265.0,260.37,260.82,1097913.0
2025-07-01,259.8,267.76,257.66,264.67,885031.0
2025-07-02,264.28,266.83,263.9,265.71,673747.0
2025-07-03,266.0,267.6192,264.26,266.24,421723.0
2025-07-07,266.09,268.45,265.77,267.0,1003625.0
2025-07-08,266.58,267.865,265.07,266.45,628242.0
2025-07-09,266.45,270.0,265.11,269.95,750818.0
2025-07-10,269.33,272.09,268.82,270.73,974802.0
2025-07-11,267.77,269.17,264.785,269.0,1101620.0
2025-07-14,269.16,270.535,267.66,269.93,768647.0
2025-07-15,269.76,271.02,260.785,261.56,1373504.0
2025-07-16,261.99,262.17,255.33,260.62,1188459.0
2025-07-17,260.67,263.55,258.99,263.01,737359.0
2025-07-18,263.67,266.88,262.21,266.6,800181.0
2025-07-21,267.72,269.35,264.74,265.01,864547.0
2025-07-22,265.9,268.46,264.74,267.78,1233674.0
2025-07-23,269.4,270.0,267.58,269.11,649102.0
2025-07-24,268.89,272.14,268.42,271.42,705964.0
2025-07-25,271.66,275.17,271.01,274.83,579664.0
2025-07-28,274.0,276.3975,268.67,270.11,1021563.0
2025-07-29,272.27,274.33,270.46,273.92,985582.0
2025-07-30,274.79,275.94,271.33,272.77,1416005.0
2025-07-31,266.0,276.09,263.17,274.67,2372333.0
2025-08-01,273.84,275.28,270.64,274.94,1442181.0
2025-08-04,278.07,284.94,277.265,281.85,1351513.0
2025-08-05,281.3,283.59,279.36,283.17,788718.0
2025-08-06,283.15,283.43,280.48,281.59,785507.0
2025-08-07,284.5,286.56,278.3876,282.1,1039878.0
2025-08-08,283.0,287.74,281.765,286.52,638498.0
2025-08-11,286.57,286.605,283.59,285.24,976094.0
2025-08-12,285.97,292.87,284.44,291.89,1070326.0
2025-08-13,293.33,296.12,289.92,295.64,1126064.0
2025-08-14,293.05,294.58,292.08,293.1,969225.0
2025-08-15,294.77,294.9799,290.95,291.62,789091.0
2025-08-18,291.64,292.605,289.8125,289.88,809275.0
2025-08-19,290.52,293.39,289.32,292.84,1023763.0
2025-08-20,291.34,291.75,283.61,286.28,1098123.0
2025-08-21,284.61,289.05,284.61,288.28,627263.0
2025-08-22,289.71,294.965,289.36,292.4,529856.0
2025-08-25,291.98,292.28,289.36,290.3,441817.0
2025-08-26,290.98,292.74,289.855,291.2,839485.0
2025-08-27,290.02,291.39,289.95,291.15,578597.0
2025-08-28,291.14,291.65,288.82,291.16,323064.0
2025-08-29,291.19,292.4,289.48,291.16,609873.0
2025-09-02,288.48,292.8,287.31,292.49,1143651.0
2025-09-03,292.53,292.53,286.8,288.05,875122.0
2025-09-04,289.24,292.895,287.47,292.33,1131519.0
2025-09-05,293.66,295.26,291.61,294.81,585179.0
2025-09-08,295.19,299.2925,293.52,298.91,776226.0
