date,open,high,low,close,volume
2026-08-18,64.16,65.05,63.69,64.03,6385282.813976
2026-08-19,64.27,64.99,63.68,64.35,6131914.622398
2026-08-20,65.33,66.0,64.72,65.14,4329599.813705
2026-08-21,65.28,66.91,65.28,66.79,7163093.420681
2026-08-24,67.36,68.62,67.36,68.14,6268191.516687
2026-08-25,68.02,68.32,67.33,67.62,5788454.015438
2026-08-26,67.63,67.765,66.82,66.83,4954125.590385
2026-08-27,66.32,67.2561,65.48,65.5,4312260.273199
2026-08-28,65.89,66.1,65.075,65.54,4749532.08783
2026-08-31,65.28,65.54,64.64,65.14,6279111.237016
2026-09-01,65.0,65.7,64.95,65.28,5556492.847397
2026-09-02,65.58,65.62,64.25,64.91,4378728.234288
2026-09-03,65.63,65.715,64.45,64.96,3641559.626029
2026-09-04,64.815,65.9,64.685,65.35,6495768.079751
2026-09-08,65.745,66.255,65.3501,66.19,6438750.917495
2026-09-09,66.23,66.34,64.73,64.98,7200167.260759
2026-09-10,65.33,65.56,64.6,65.02,8285694.170648
2026-09-11,65.44,65.95,65.23,65.54,6726344.68938
2026-09-14,65.27,66.45,65.27,66.32,6164094.036193
2026-09-15,66.15,66.15,65.11,65.63,7103840.917823
2026-09-16,65.43,65.76,62.98,62.99,7912572.72021
2026-09-17,63.14,63.705,62.795,63.01,5047041.820471
2026-09-18,62.12,62.51,61.09,61.22,15383789.649382
2026-09-21,61.34,61.755,60.735,61.36,4370778.290846
2026-09-22,61.14,62.47,61.04,62.35,7135651.910985
2026-09-23,62.41,62.58,61.08,61.29,6200353.011429
2026-09-24,61.32,61.68,60.63,61.05,4199068.276916
