date,open,high,low,close,volume
2025-05-08,66.07,66.48,65.39,65.58,2296880.0
2025-05-09,65.59,66.3,65.37,66.01,1713057.0
2025-05-12,65.64,65.64,64.09,65.13,3435552.0
2025-05-13,65.22,65.285,63.73,64.18,3095937.0
2025-05-14,63.86,64.13,63.41,63.74,3469409.0
2025-05-15,64.17,64.88,63.75,64.83,3411977.0
2025-05-16,64.98,65.81,64.63,65.63,4811011.0
2025-05-19,65.58,65.64,65.08,65.49,2141715.0
2025-05-20,65.04,65.47,64.91,64.97,1937158.0
2025-05-21,64.84,65.19,63.54,63.62,2787147.0
2025-05-22,63.62,64.02,63.07,63.65,2578953.0
2025-05-23,63.97,64.475,63.68,64.12,1797578.0
2025-05-27,64.52,65.23,64.425,65.05,3335588.0
2025-05-28,64.85,65.0,63.88,64.38,2889419.0
2025-05-29,64.24,64.54,63.85,64.15,2790364.0
2025-05-30,63.99,64.56,63.735,64.28,5071918.0
2025-06-02,63.89,64.12,63.025,64.09,2422022.0
2025-06-03,63.79,63.85,62.75,63.25,3111634.0
2025-06-04,62.93,63.7,62.67,63.18,2470749.0
2025-06-05,63.48,63.56,62.49,63.3,3445377.0
2025-06-06,63.41,63.8,62.98,63.64,3533576.0
2025-06-09,63.62,63.68,62.585,62.65,2748299.0
2025-06-10,62.78,63.76,62.65,63.45,4383361.0
2025-06-11,63.23,64.025,63.02,63.41,2323183.0
2025-06-12,63.58,64.16,63.27,63.72,2061288.0
2025-06-13,63.48,64.25,63.185,63.86,2579749.0
2025-06-16,63.97,64.315,62.55,62.82,3128437.0
2025-06-17,63.01,63.065,62.3902,62.76,3404852.0
2025-06-18,62.76,63.06,62.29,62.7,4027543.0
2025-06-20,62.91,63.04,62.27,62.45,11453508.0
2025-06-23,63.11,63.97,63.04,63.53,4872329.0
2025-06-24,63.6,63.68,63.01,63.35,3867725.0
2025-06-25,62.97,64.065,62.3001,63.51,4160105.0
2025-06-26,63.85,63.98,62.58,63.33,3653119.0
2025-06-27,63.3,63.74,62.7,62.88,5496045.0
2025-06-30,62.39,63.19,61.76,63.15,4231428.0
2025-07-01,63.15,63.455,62.545,62.87,3330354.0
2025-07-02,62.78,63.05,61.93,62.93,2707547.0
2025-07-03,62.74,63.22,62.46,62.93,1328700.0
2025-07-07,63.24,63.5,62.58,63.01,2525430.0
2025-07-08,62.6,62.905,62.06,62.76,3120023.0
2025-07-09,62.75,63.13,62.57,62.76,2316214.0
2025-07-10,62.47,63.55,62.47,63.28,2930811.0
2025-07-11,62.99,65.16,62.82,64.77,4361583.0
2025-07-14,64.78,65.68,64.715,65.6,2582635.0
2025-07-15,65.5,65.88,64.745,65.19,2718313.0
2025-07-16,65.45,65.87,64.8,65.5,2823863.0
2025-07-17,65.69,65.71,65.12,65.37,2098054.0
2025-07-18,65.37,66.26,65.21,65.8,2416662.0
2025-07-21,65.79,66.48,65.38,66.44,1846128.0
2025-07-22,66.61,67.165,66.395,67.11,2796820.0
2025-07-23,67.055,67.55,66.65,67.46,1738638.0
2025-07-24,67.41,67.47,66.65,67.11,2376103.0
2025-07-25,67.32,67.46,66.17,66.46,1929036.0
2025-07-28,66.29,66.48,65.15,65.23,2032394.0
2025-07-29,65.8,67.02,65.595,66.83,2898406.0
2025-07-30,67.01,67.625,66.12,66.48,3555603.0
2025-07-31,65.82,68.47,65.82,67.18,4480871.0
2025-08-01,67.75,67.95,66.61,67.5,2813882.0
2025-08-04,67.65,68.555,67.555,68.28,4500652.0
2025-08-05,68.29,68.81,68.11,68.73,3122284.0
2025-08-06,68.89,69.29,68.34,68.5,2346928.0
2025-08-07,68.5,69.09,68.29,68.71,2328649.0
2025-08-08,68.71,68.86,68.32,68.57,1692661.0
2025-08-11,68.36,68.95,68.24,68.51,1857539.0
