date,open,high,low,close,volume
2025-05-08,9.0,9.575,8.91,9.09,30071385.0
2025-05-09,9.015,9.315,8.745,8.77,19144286.0
2025-05-12,8.96,9.105,8.915,8.96,11596678.0
2025-05-13,8.91,8.92,8.72,8.79,9318074.0
2025-05-14,8.77,8.775,8.4,8.42,14655324.0
2025-05-15,8.48,8.815,8.42,8.79,16493548.0
2025-05-16,8.79,8.885,8.74,8.84,9508078.0
2025-05-19,8.77,8.81,8.645,8.76,7785854.0
2025-05-20,8.79,8.95,8.75,8.88,10948416.0
2025-05-21,8.84,8.87,8.47,8.48,12458185.0
2025-05-22,8.44,8.535,8.265,8.5,17124693.0
2025-05-23,8.26,8.31,8.19,8.29,9914487.0
2025-05-27,8.35,8.63,8.32,8.6,14639826.0
2025-05-28,8.61,8.63,8.5,8.59,10162808.0
2025-05-29,8.63,8.85,8.57,8.83,14107907.0
2025-05-30,8.76,8.8454,8.56,8.79,83893569.0
2025-06-02,8.7,8.77,8.58,8.69,12064633.0
2025-06-03,8.6,8.84,8.4,8.71,20434023.0
2025-06-04,8.7,8.8,8.58,8.59,25510391.0
2025-06-05,8.64,8.64,8.44,8.46,13736335.0
2025-06-06,8.54,8.73,8.52,8.71,9756539.0
2025-06-09,8.77,8.9,8.695,8.81,10499168.0
2025-06-10,8.85,9.07,8.77,9.04,14465802.0
2025-06-11,9.03,9.12,8.91,8.98,10451216.0
2025-06-12,8.955,9.19,8.915,9.09,13592146.0
2025-06-13,8.98,9.09,8.9,8.92,9003237.0
2025-06-16,8.99,9.07,8.92,8.99,11169524.0
2025-06-17,8.9,8.97,8.71,8.76,9570905.0
2025-06-18,8.75,8.85,8.66,8.77,9584112.0
2025-06-20,8.825,8.91,8.685,8.87,18664291.0
2025-06-23,8.84,8.9,8.66,8.85,8442296.0
2025-06-24,8.9,9.0,8.865,8.95,12754356.0
2025-06-25,8.9,8.96,8.84,8.89,8891071.0
2025-06-26,8.97,9.14,8.9,9.12,11387549.0
2025-06-27,9.12,9.165,8.915,9.01,17753689.0
2025-06-30,9.04,9.07,8.9,8.93,9400536.0
2025-07-01,8.975,9.34,8.88,9.18,17389095.0
2025-07-02,9.2,9.405,9.12,9.34,11639797.0
2025-07-03,9.33,9.37,9.22,9.32,6343931.0
2025-07-07,9.29,9.37,9.175,9.2,10187095.0
2025-07-08,9.21,9.42,9.17,9.26,11809910.0
2025-07-09,9.305,9.36,9.2,9.23,5851497.0
2025-07-10,9.2,9.39,9.18,9.25,6810572.0
2025-07-11,9.185,9.19,9.03,9.12,7107208.0
2025-07-14,9.07,9.15,9.04,9.14,6053274.0
2025-07-15,9.15,9.25,8.93,8.93,5937313.0
2025-07-16,8.995,9.095,8.8903,9.08,8067626.0
2025-07-17,9.08,9.285,9.05,9.27,10326480.0
2025-07-18,9.24,9.2699,8.835,8.88,9919758.0
2025-07-21,8.9,9.045,8.87,8.9,7008180.0
2025-07-22,8.9,9.25,8.895,9.24,12189163.0
2025-07-23,9.3,9.44,9.2606,9.37,5549237.0
2025-07-24,9.33,9.42,9.29,9.35,6086092.0
2025-07-25,9.38,9.42,9.29,9.41,5031342.0
2025-07-28,9.38,9.38,9.22,9.26,5844881.0
2025-07-29,9.24,9.24,9.125,9.19,7071914.0
2025-07-30,9.23,9.265,8.97,9.0,5445646.0
2025-07-31,8.97,9.02,8.68,8.74,10565731.0
2025-08-01,8.72,8.87,8.625,8.81,6730630.0
2025-08-04,8.82,8.99,8.8,8.94,6641595.0
2025-08-05,8.96,9.03,8.88,8.98,7164155.0
2025-08-06,8.92,8.92,8.735,8.75,9372689.0
2025-08-07,9.0,9.445,8.8,9.39,13215017.0
2025-08-08,9.38,9.73,9.2501,9.7,18395349.0
2025-08-11,9.68,10.12,9.68,9.86,19008471.0
2025-08-12,9.91,10.175,9.87,10.12,15039224.0
2025-08-13,10.16,10.44,10.0953,10.41,8309468.0
2025-08-14,10.35,10.74,10.29,10.69,11941243.0
2025-08-15,10.75,10.81,10.55,10.61,9230981.0
2025-08-18,10.62,10.81,10.61,10.63,8945468.0
2025-08-19,10.67,10.785,10.58,10.68,7588972.0
2025-08-20,10.7,10.815,10.55,10.65,6564813.0
2025-08-21,10.65,10.78,10.61,10.69,8056353.0
2025-08-22,10.63,10.82,10.601,10.65,6372969.0
2025-08-25,10.58,10.65,10.5,10.55,5791475.0
2025-08-26,10.52,10.55,10.36,10.41,9261817.0
2025-08-27,10.4,10.4854,10.31,10.42,7986440.0
2025-08-28,10.39,10.44,10.23,10.41,6703826.0
2025-08-29,10.41,10.57,10.4,10.55,8618813.0
2025-09-02,10.5,10.59,10.43,10.56,7091229.0
2025-09-03,10.51,10.61,10.46,10.55,6268236.0
2025-09-04,10.51,10.535,10.29,10.33,7028452.0
