date,open,high,low,close,volume
2025-04-10,170.34,171.85,163.85,168.67,1383882.0
2025-04-11,168.79,172.98,165.0,171.75,862928.0
2025-04-14,175.0,175.09,171.93,173.28,694766.0
2025-04-15,173.32,174.4,172.02,172.59,605863.0
2025-04-16,171.5,172.8436,168.09,169.71,761155.0
2025-04-17,170.02,172.67,169.44,170.93,927510.0
2025-04-21,168.74,170.285,165.17,167.06,914092.0
2025-04-22,169.77,172.6,168.825,171.76,894293.0
2025-04-23,183.62,191.74,179.79,181.97,2173794.0
2025-04-24,179.25,186.275,179.25,185.38,1365431.0
2025-04-25,184.64,185.61,183.09,184.03,595473.0
2025-04-28,184.28,186.53,181.9,183.23,830271.0
2025-04-29,181.88,184.83,181.155,184.36,816690.0
2025-04-30,181.9,185.1,180.06,184.74,1168277.0
2025-05-01,185.0,188.68,183.98,186.92,864575.0
2025-05-02,190.61,192.54,189.375,191.39,663541.0
2025-05-05,189.4,192.7,188.7,190.79,471134.0
2025-05-06,188.8,191.1248,186.804,189.19,1047698.0
2025-05-07,189.62,190.475,188.31,189.7,589205.0
2025-05-08,192.11,194.145,189.41,191.75,635063.0
2025-05-09,192.72,193.135,190.94,192.62,435071.0
2025-05-12,199.0,202.0775,198.73,200.99,1088216.0
2025-05-13,202.13,205.04,201.215,203.85,828151.0
2025-05-14,203.35,204.09,202.39,203.78,1101171.0
2025-05-15,202.75,205.455,202.705,204.24,859160.0
2025-05-16,204.47,206.31,203.23,205.69,982883.0
2025-05-19,203.08,207.7,203.08,207.16,602994.0
2025-05-20,205.52,206.286,203.76,204.75,1406877.0
2025-05-21,203.82,204.32,200.4,200.81,1009075.0
2025-05-22,200.99,201.6,199.41,200.19,636250.0
2025-05-23,197.36,200.505,195.99,199.32,626363.0
2025-05-27,201.78,203.4567,199.55,203.22,633034.0
2025-05-28,203.75,203.81,201.11,201.33,902485.0
2025-05-29,202.4,202.82,199.9,201.45,645272.0
2025-05-30,201.19,203.335,199.855,202.32,1785666.0
2025-06-02,202.07,202.395,199.47,201.73,797042.0
2025-06-03,201.73,204.165,200.2601,203.58,896567.0
2025-06-04,204.5,205.43,203.61,203.94,596791.0
2025-06-05,204.77,205.3,202.97,204.17,677245.0
2025-06-06,206.83,207.16,204.94,206.23,768709.0
2025-06-09,206.62,207.04,205.04,205.37,594417.0
2025-06-10,205.63,205.98,203.61,204.52,646921.0
2025-06-11,204.71,205.27,202.83,204.09,688908.0
2025-06-12,202.89,204.61,202.67,203.86,631594.0
2025-06-13,202.06,204.01,201.03,201.7,589340.0
2025-06-16,203.33,205.16,202.14,203.5,645237.0
2025-06-17,202.6,203.17,200.265,200.93,740660.0
2025-06-18,200.63,202.71,199.72,200.81,760544.0
2025-06-20,201.2,201.58,198.46,199.98,2732152.0
2025-06-23,200.05,202.25,197.85,202.19,788992.0
2025-06-24,203.59,206.14,202.67,205.87,810755.0
2025-06-25,206.38,206.485,202.48,203.77,927111.0
2025-06-26,204.74,208.05,203.05,206.29,1055336.0
2025-06-27,206.98,208.66,205.62,207.69,1171984.0
2025-06-30,207.78,210.265,206.93,209.35,1255319.0
2025-07-01,208.28,210.88,208.165,209.34,1121114.0
2025-07-02,210.63,213.94,209.85,213.88,1244592.0
2025-07-03,214.08,215.825,214.08,214.37,576996.0
2025-07-07,214.12,215.52,211.73,213.1,931369.0
2025-07-08,213.94,216.1,211.62,211.78,1269090.0
2025-07-09,213.61,213.61,210.72,213.05,648412.0
2025-07-10,213.05,216.08,212.1,213.75,772598.0
2025-07-11,213.09,213.9,211.8,213.66,646779.0
2025-07-14,212.97,213.46,211.32,212.97,592548.0
2025-07-15,213.12,213.12,210.225,210.61,750352.0
2025-07-16,210.55,211.61,207.27,211.54,979932.0
2025-07-17,210.59,213.284,210.185,212.7,832697.0
2025-07-18,213.19,213.19,210.56,211.91,813745.0
2025-07-21,212.59,212.61,209.76,209.88,721603.0
2025-07-22,210.17,212.26,208.67,211.89,1042986.0
2025-07-23,213.14,214.53,212.01,214.38,1194212.0
2025-07-24,207.74,211.0,200.3,200.7,2333853.0
2025-07-25,200.7,201.0,193.15,197.21,1993903.0
2025-07-28,198.79,199.195,195.41,197.01,1354829.0
2025-07-29,199.0,199.0,191.71,192.78,2432481.0
2025-07-30,193.7,193.7,189.34,190.64,2763070.0
2025-07-31,190.64,192.77,188.99,192.05,1941490.0
2025-08-01,188.52,189.275,185.64,186.89,1235416.0
2025-08-04,187.71,188.02,186.05,186.99,1468624.0
2025-08-05,188.14,189.615,187.44,188.89,1863631.0
2025-08-06,189.38,190.4,187.57,188.35,1263908.0
2025-08-07,190.12,190.12,187.14,187.91,1260495.0
2025-08-08,188.82,192.49,188.25,191.42,1777665.0
2025-08-11,192.11,193.245,190.075,191.91,1475723.0
2025-08-12,193.03,194.55,192.535,192.91,891055.0
