date,open,high,low,close,volume
2025-05-07,248.36,251.22,245.95,250.58,1117888.0
2025-05-08,252.41,260.34,251.76,257.98,1804498.0
2025-05-09,258.53,260.0,256.36,259.18,1325422.0
2025-05-12,265.64,266.86,260.93,266.57,2062261.0
2025-05-13,266.76,270.69,266.04,270.02,1470926.0
2025-05-14,268.8,271.66,268.5901,271.17,1225267.0
2025-05-15,271.17,276.0,270.58,274.71,1699395.0
2025-05-16,273.77,274.26,271.53,273.05,2328982.0
2025-05-19,270.57,274.01,268.84,273.3,1553644.0
2025-05-20,271.56,274.65,270.21,273.84,1354910.0
2025-05-21,270.63,274.11,268.22,268.54,1590526.0
2025-05-22,268.45,273.8,267.565,272.07,4188295.0
2025-05-23,241.595,247.47,237.0,238.01,9914999.0
2025-05-27,241.23,242.845,238.25,239.3,4740683.0
2025-05-28,239.18,242.94,237.88,239.9,2721664.0
2025-05-29,241.155,243.91,239.52,241.76,2991353.0
2025-05-30,241.31,248.88,241.2,247.71,3491558.0
2025-06-02,246.265,248.74,243.5,247.75,2034574.0
2025-06-03,247.75,251.42,245.94,251.12,1528667.0
2025-06-04,250.74,253.0,248.945,249.48,1262469.0
2025-06-05,249.48,250.82,246.72,250.1,1736720.0
2025-06-06,251.66,253.78,250.15,252.72,1393177.0
2025-06-09,252.72,253.43,250.54,252.9,1225350.0
2025-06-10,252.74,257.09,252.29,252.73,1894927.0
2025-06-11,253.57,256.425,250.5,251.36,1680196.0
2025-06-12,251.93,253.5377,250.08,250.69,1965806.0
2025-06-13,247.41,249.67,243.99,244.54,2199298.0
2025-06-16,245.97,247.79,243.62,245.65,1825699.0
2025-06-17,245.65,246.53,242.38,242.7,1818620.0
2025-06-18,242.465,243.48,236.44,236.88,2473058.0
2025-06-20,238.66,241.33,237.26,238.19,5155642.0
2025-06-23,236.89,238.385,234.13,236.58,1750946.0
2025-06-24,240.0,240.39,237.5725,239.19,2478178.0
2025-06-25,239.19,239.57,233.01,233.46,1958809.0
2025-06-26,233.92,237.37,230.06,237.21,2076545.0
2025-06-27,237.46,239.97,236.0,237.37,1812199.0
2025-06-30,237.87,240.91,237.87,240.0,1516841.0
2025-07-01,238.585,241.0,236.42,239.23,2603983.0
2025-07-02,237.79,238.02,233.91,237.74,2068857.0
2025-07-03,239.1,243.73,238.77,241.76,1301745.0
2025-07-07,240.69,242.75,237.5,241.21,2279600.0
2025-07-08,242.22,242.78,237.1,240.47,3760898.0
2025-07-09,240.57,242.35,238.65,240.17,1683892.0
2025-07-10,235.39,235.425,227.59,229.3,4157132.0
2025-07-11,228.45,228.83,222.84,223.37,2506863.0
2025-07-14,223.62,227.32,222.26,224.76,2113949.0
2025-07-15,224.94,226.31,222.94,224.92,1880667.0
2025-07-16,226.67,227.73,223.66,226.73,1926552.0
2025-07-17,227.07,230.96,226.13,230.89,2232292.0
2025-07-18,232.44,233.57,228.67,233.06,2598017.0
2025-07-21,233.27,235.84,232.07,233.71,2176442.0
2025-07-22,234.18,239.43,233.75,239.11,2409209.0
2025-07-23,240.0,243.59,238.32,241.03,1725070.0
2025-07-24,240.99,241.505,236.17,237.195,2115085.0
2025-07-25,237.96,242.28,236.62,241.74,1840604.0
2025-07-28,241.05,241.5,237.64,238.04,1539736.0
2025-07-29,238.04,241.75,237.7,239.63,1910913.0
2025-07-30,239.91,240.92,235.72,237.68,1325182.0
2025-07-31,236.81,236.81,228.52,229.38,4533600.0
