date,open,high,low,close,volume
2025-04-24,108.55,109.54,108.255,108.91,2083219.0
2025-04-25,108.84,108.92,107.22,107.73,2077906.0
2025-04-28,107.76,108.76,107.06,108.54,1607218.0
2025-04-29,108.13,109.38,107.985,109.15,1500169.0
2025-04-30,109.62,109.89,107.5023,109.52,2774253.0
2025-05-01,109.08,110.2638,108.555,108.79,1624023.0
2025-05-02,108.82,109.31,107.86,108.62,1678226.0
2025-05-05,109.09,109.09,107.23,108.7,2198355.0
2025-05-06,109.43,110.65,108.665,109.76,2219278.0
2025-05-07,109.31,110.14,108.76,109.62,2298154.0
2025-05-08,109.72,109.72,107.55,107.96,2423776.0
2025-05-09,108.0,108.08,106.56,107.62,2308106.0
2025-05-12,105.99,106.7,104.625,104.97,2468568.0
2025-05-13,105.0,105.385,103.25,103.56,2835733.0
2025-05-14,102.66,102.74,100.605,102.24,2009699.0
2025-05-15,103.0,105.0,102.765,104.91,1992220.0
2025-05-16,104.98,106.53,104.74,106.47,2279853.0
2025-05-19,106.31,107.305,105.855,107.26,1628983.0
2025-05-20,107.24,108.09,107.12,107.57,2013180.0
2025-05-21,107.25,107.86,106.19,106.54,2919729.0
2025-05-22,106.03,106.39,104.675,105.49,2521616.0
2025-05-23,106.34,106.94,104.9,106.78,1838006.0
2025-05-27,106.78,108.13,106.66,107.56,2074964.0
2025-05-28,107.28,107.54,105.08,105.3,1625757.0
2025-05-29,104.98,106.06,104.64,106.02,2401302.0
2025-05-30,105.97,107.69,105.7,107.44,2612257.0
2025-06-02,106.69,107.5504,106.4,107.23,1467721.0
2025-06-03,107.38,107.67,106.3,107.37,2187937.0
2025-06-04,107.4,107.4,105.71,105.73,1553743.0
2025-06-05,105.3,105.87,104.64,104.79,4183633.0
2025-06-06,104.53,105.82,104.135,105.6,4443918.0
2025-06-09,105.25,105.83,104.42,104.89,2404695.0
2025-06-10,105.11,105.915,104.615,105.59,1567211.0
2025-06-11,105.45,105.87,105.105,105.58,1297877.0
2025-06-12,106.05,106.45,105.39,106.44,1816202.0
2025-06-13,106.72,106.84,104.75,105.11,1726313.0
2025-06-16,105.52,105.86,103.71,104.15,2116938.0
2025-06-17,104.36,104.66,103.03,104.1,2328753.0
