date,open,high,low,close,volume
2025-04-24,147.03,148.97,146.62,147.75,1684204.0
2025-04-25,148.08,148.95,145.9,146.96,1531347.0
2025-04-28,147.82,149.35,146.88,149.05,2398192.0
2025-04-29,152.63,152.815,149.89,151.48,4444755.0
2025-04-30,151.04,153.79,150.1371,152.59,4269538.0
2025-05-01,151.5,151.71,148.9001,150.33,2694988.0
2025-05-02,152.04,153.1852,149.81,150.72,2367889.0
2025-05-05,151.07,151.61,149.45,150.93,2688804.0
2025-05-06,150.49,151.47,149.495,150.5,2528194.0
2025-05-07,149.87,152.43,149.6,151.34,4334004.0
2025-05-08,151.31,152.035,148.06,148.25,2605041.0
2025-05-09,148.67,149.775,147.98,149.18,1764003.0
2025-05-12,149.1,149.275,142.98,145.63,3227584.0
2025-05-13,145.885,146.225,143.5518,145.28,3284431.0
2025-05-14,144.22,144.295,142.65,143.4,3016239.0
2025-05-15,143.78,147.0,143.78,146.89,2396222.0
2025-05-16,147.28,148.72,146.5,148.72,2412625.0
2025-05-19,148.41,150.71,147.61,150.65,2548803.0
2025-05-20,149.44,151.41,149.42,151.22,2681920.0
2025-05-21,151.55,152.11,148.06,148.3,2154109.0
2025-05-22,148.47,148.792,146.645,146.9,1987938.0
2025-05-23,148.16,149.72,147.49,149.17,2183284.0
2025-05-27,150.68,153.1617,149.92,152.47,2343100.0
2025-05-28,151.48,152.09,149.895,151.7,2244669.0
2025-05-29,151.38,153.35,150.4,153.07,2820086.0
2025-05-30,153.2,154.91,152.04,154.28,7389963.0
2025-06-02,153.2,155.32,152.7933,155.22,2094313.0
2025-06-03,155.38,155.7,151.4,152.2,2407491.0
2025-06-04,151.88,153.1,150.34,152.05,2572529.0
2025-06-05,152.05,153.92,150.56,153.03,2560048.0
2025-06-06,153.22,154.565,152.61,154.45,1912791.0
2025-06-09,152.13,153.797,148.6,150.31,4401416.0
2025-06-10,150.0,151.61,149.82,150.9,2394540.0
2025-06-11,150.6,151.5,148.695,150.24,2002818.0
2025-06-12,151.66,152.925,150.865,151.91,1562761.0
2025-06-13,151.98,152.44,150.49,152.4,2487414.0
2025-06-16,152.89,154.13,150.05,150.58,2207930.0
2025-06-17,150.82,152.06,149.7,151.87,4055973.0
2025-06-18,152.0,153.92,151.09,153.18,4257007.0
