date,open,high,low,close,volume
2025-05-08,59.42,59.7375,57.04,57.06,8777719.0
2025-05-09,57.86,58.015,57.18,57.66,3845757.0
2025-05-12,58.81,58.93,56.42,57.13,6472946.0
2025-05-13,57.55,58.375,57.295,58.07,6708242.0
2025-05-14,57.98,58.35,57.7,58.2,5167282.0
2025-05-15,57.7,58.869,57.64,58.77,4583218.0
2025-05-16,58.82,59.15,58.1375,58.79,5118817.0
2025-05-19,58.31,58.67,57.97,58.54,4271066.0
2025-05-20,58.58,59.165,58.365,58.77,4562403.0
2025-05-21,58.6,58.75,57.835,57.93,6108644.0
2025-05-22,57.82,58.1,57.22,57.75,6186758.0
2025-05-23,57.7,59.09,57.62,58.99,7191421.0
2025-05-27,59.98,60.41,59.4903,60.1,15273564.0
2025-05-28,60.4,60.87,60.12,60.62,8184556.0
2025-05-29,60.11,60.43,59.58,60.27,6663087.0
2025-05-30,59.97,60.7,59.65,60.51,12301674.0
2025-06-02,61.16,61.39,60.1801,61.27,11558605.0
2025-06-03,61.29,61.45,60.66,61.11,9977668.0
2025-06-04,61.0,61.215,59.88,60.12,7445056.0
2025-06-05,60.61,60.82,60.03,60.56,4845059.0
2025-06-06,61.1,61.14,60.265,60.56,5273293.0
2025-06-09,60.52,60.705,59.175,59.66,6991808.0
2025-06-10,59.73,60.42,58.48,58.96,6979407.0
2025-06-11,59.29,59.72,59.03,59.42,6848395.0
2025-06-12,59.42,60.1,59.2272,60.08,5715396.0
2025-06-13,60.35,60.35,58.6036,59.78,8203562.0
2025-06-16,59.96,60.66,58.9,59.15,5805372.0
2025-06-17,59.49,59.595,58.38,58.5,7467471.0
2025-06-18,58.85,59.38,58.195,59.12,7880092.0
2025-06-20,59.63,60.49,59.31,60.49,14263742.0
2025-06-23,60.86,61.57,60.01,60.48,11633838.0
2025-06-24,60.33,61.3298,60.1,61.12,9317373.0
2025-06-25,61.12,61.205,60.105,60.69,6655682.0
2025-06-26,60.78,62.886,60.72,62.87,9378784.0
2025-06-27,62.93,63.175,62.38,62.67,27816335.0
2025-06-30,62.67,63.45,62.25,62.81,8237922.0
2025-07-01,62.54,62.7707,58.32,58.72,18940174.0
2025-07-02,58.76,59.5,57.9,59.14,8341665.0
2025-07-03,59.16,59.23,58.12,58.64,4606763.0
2025-07-07,58.64,59.15,58.26,58.48,5461715.0
2025-07-08,58.1,58.405,56.675,57.69,9723295.0
2025-07-09,58.0,58.32,57.14,57.85,7267802.0
2025-07-10,57.65,57.963,56.5,57.78,7391302.0
2025-07-11,57.69,58.47,57.65,58.22,7546226.0
2025-07-14,58.02,59.12,57.83,59.04,5140060.0
2025-07-15,58.8,59.04,57.44,58.37,6103233.0
2025-07-16,58.37,58.92,58.15,58.48,5573750.0
