date,open,high,low,close,volume
2025-05-07,72.61,73.415,72.33,73.08,2212429.0
2025-05-08,72.92,73.4,72.67,72.72,1430918.0
2025-05-09,72.6,72.925,72.28,72.49,1105994.0
2025-05-12,72.765,72.765,70.29,72.2,1517493.0
2025-05-13,72.44,72.73,71.64,71.68,1341984.0
2025-05-14,71.83,71.83,70.51,71.02,1208562.0
2025-05-15,71.55,72.7,71.2501,72.7,1238041.0
2025-05-16,72.81,73.3,72.47,73.28,1298966.0
2025-05-19,73.67,73.97,73.22,73.82,1000082.0
2025-05-20,73.54,73.8499,73.28,73.55,746951.0
2025-05-21,73.29,73.765,72.89,73.2,1257963.0
2025-05-22,72.78,73.08,71.67,72.19,1248532.0
2025-05-23,72.0,73.25,71.98,73.08,1261402.0
2025-05-27,73.29,74.21,72.9542,74.2,1299100.0
2025-05-28,73.9,74.38,73.145,73.29,1078489.0
2025-05-29,73.14,73.99,73.0,73.96,1324438.0
2025-05-30,73.65,74.925,73.31,74.69,4276404.0
2025-06-02,74.14,75.18,73.88,75.17,1181131.0
2025-06-03,74.81,75.4399,73.3,74.76,1396214.0
2025-06-04,74.76,74.76,73.639,74.04,1130134.0
2025-06-05,74.09,74.22,73.3,73.87,1063565.0
2025-06-06,74.45,74.633,73.69,74.22,915970.0
2025-06-09,73.92,74.245,71.36,72.74,1289015.0
2025-06-10,72.49,72.625,71.48,71.8,1139448.0
2025-06-11,71.81,72.53,71.0868,72.39,1520378.0
2025-06-12,72.52,73.85,72.445,73.79,1584090.0
2025-06-13,73.69,74.02,73.09,73.29,1619919.0
2025-06-16,73.42,74.06,72.98,73.12,1312472.0
2025-06-17,72.98,73.17,72.43,72.89,1329846.0
2025-06-18,72.86,73.525,72.54,72.78,1457659.0
2025-06-20,72.94,73.85,72.72,73.75,3887525.0
2025-06-23,73.31,73.93,72.88,73.92,2290859.0
2025-06-24,73.86,74.09,73.09,73.27,1642682.0
2025-06-25,72.945,73.03,71.56,71.8,1792907.0
2025-06-26,72.04,72.47,71.65,72.34,1520631.0
2025-06-27,71.775,72.63,71.5,72.29,2406739.0
2025-06-30,72.24,73.57,71.85,73.47,1537829.0
2025-07-01,73.41,73.575,71.88,72.86,2099811.0
2025-07-02,72.2,72.435,69.52,70.76,3455410.0
2025-07-03,71.25,71.71,70.84,71.49,1422342.0
2025-07-07,71.37,71.96,70.31,70.75,2425655.0
2025-07-08,70.3,70.84,70.05,70.37,1874409.0
2025-07-09,70.23,70.515,69.59,69.75,2085897.0
2025-07-10,69.6,69.62,68.27,69.15,3123148.0
2025-07-11,68.88,69.245,68.525,68.88,2236115.0
2025-07-14,68.88,69.86,68.62,69.45,1777237.0
2025-07-15,69.02,69.37,67.69,67.78,1985384.0
2025-07-16,68.35,68.78,67.46,67.97,2237218.0
2025-07-17,68.0,68.375,67.57,68.13,2827566.0
2025-07-18,68.33,69.24,68.14,68.75,3744181.0
2025-07-21,68.85,69.0,67.8,67.8,3349251.0
2025-07-22,67.76,69.21,66.68,68.54,3443927.0
2025-07-23,68.63,68.99,67.73,68.55,2781253.0
2025-07-24,68.27,68.82,67.99,68.54,2323108.0
2025-07-25,68.46,69.17,68.4184,68.99,1370169.0
2025-07-28,68.82,68.87,67.8075,68.0,2013411.0
2025-07-29,68.47,68.89,67.9,68.63,1916538.0
2025-07-30,68.83,69.42,68.61,68.91,1908328.0
2025-07-31,68.98,69.85,68.73,68.81,2315342.0
2025-08-01,69.16,69.425,68.49,69.25,2236973.0
2025-08-04,69.44,70.61,69.25,70.48,1884447.0
2025-08-05,70.72,70.97,69.98,70.06,1686227.0
2025-08-06,70.24,70.915,69.94,70.55,1714025.0
2025-08-07,70.37,70.7047,69.64,70.11,1686065.0
2025-08-08,70.47,71.03,70.415,70.63,1282986.0
2025-08-11,70.68,70.88,69.745,69.96,2170234.0
2025-08-12,70.14,70.305,69.57,70.01,2111575.0
2025-08-13,70.34,71.44,70.185,71.35,1804046.0
2025-08-14,71.63,71.76,70.96,71.56,1311368.0
2025-08-15,71.91,71.91,70.56,70.79,3939337.0
2025-08-18,70.46,70.67,70.19,70.5,1977553.0
2025-08-19,70.51,71.68,70.465,71.56,1449936.0
2025-08-20,71.96,72.97,71.785,72.64,1281971.0
2025-08-21,72.6,72.92,72.37,72.51,1309602.0
2025-08-22,72.98,73.09,71.96,72.14,1423665.0
2025-08-25,71.87,72.06,71.09,71.13,1283571.0
2025-08-26,71.1,71.325,70.82,71.05,1854512.0
2025-08-27,71.21,71.98,70.9925,71.67,1133289.0
2025-08-28,71.33,71.53,70.91,71.24,1260600.0
2025-08-29,71.4,71.86,71.215,71.69,1383936.0
2025-09-02,71.77,72.22,71.22,71.98,1521669.0
2025-09-03,71.65,72.38,71.4,72.28,1320443.0
2025-09-04,72.81,73.35,72.52,72.92,1606198.0
2025-09-05,72.83,73.02,71.65,71.96,1242698.0
2025-09-08,71.85,72.585,71.09,72.41,1507299.0
2025-09-09,72.27,72.7102,72.025,72.28,1445803.0
2025-09-10,71.97,72.26,71.545,72.15,1525381.0
2025-09-11,72.21,73.88,71.985,73.78,1644449.0
2025-09-12,73.57,74.24,73.23,73.82,1496581.0
2025-09-15,73.67,74.04,72.73,72.79,1561356.0
2025-09-16,72.56,72.56,70.43,71.42,3552375.0
2025-09-17,71.6,73.32,71.42,73.11,1815751.0
2025-09-18,72.71,73.3,72.09,73.1,2548231.0
2025-09-19,73.31,73.66,72.9883,73.39,3377419.0
2025-09-22,73.3,73.688,72.725,73.41,2017835.0
2025-09-23,73.2,74.25,73.06,74.14,1419448.0
2025-09-24,73.89,74.82,73.52,74.81,1788491.0
2025-09-25,75.0,75.34,74.19,74.56,2345894.0
2025-09-26,75.3,76.17,74.93,75.88,1582130.0
2025-09-29,75.92,76.0509,75.36,76.02,1756723.0
2025-09-30,76.11,76.97,75.83,76.62,1878971.0
2025-10-01,76.37,76.4,75.14,75.41,2871441.0
2025-10-02,74.96,76.365,74.74,76.18,2032027.0
2025-10-03,76.24,77.305,75.7609,76.86,2113443.0
2025-10-06,76.99,77.58,76.67,76.98,1816739.0
2025-10-07,77.24,77.95,77.205,77.77,1668434.0
2025-10-08,78.39,78.39,77.54,77.84,1399147.0
2025-10-09,78.04,78.3999,77.195,77.52,1597524.0
2025-10-10,77.98,78.43,77.46,77.65,1775383.0
2025-10-13,77.35,78.0,76.63,77.45,1475113.0
2025-10-14,77.81,78.48,77.27,78.46,1667324.0
2025-10-15,78.02,78.02,75.475,76.39,2976235.0
2025-10-16,75.71,75.86,73.41,73.65,3186165.0
2025-10-17,73.7,74.3,73.41,74.05,3911101.0
2025-10-20,74.3,74.519,73.36,73.48,3011445.0
2025-10-21,71.49,75.39,71.1181,75.0,5517732.0
2025-10-22,74.83,75.55,73.8301,75.02,5630513.0
2025-10-23,75.46,75.46,74.36,75.24,4568583.0
2025-10-24,75.22,75.52,74.61,75.03,3852104.0
