date,open,high,low,close,volume
2025-04-10,153.22,153.22,143.105,147.89,2883181.0
2025-04-11,147.89,149.31,142.16,148.25,1802891.0
2025-04-14,151.94,155.71,144.2,145.26,1678356.0
2025-04-15,144.85,147.0,142.24,142.9,1565065.0
2025-04-16,141.14,142.3174,136.25,137.62,1714645.0
2025-04-17,138.21,140.15,136.49,139.21,1236764.0
2025-04-21,137.07,138.87,134.44,137.87,1633991.0
2025-04-22,139.42,144.8006,139.42,141.93,1869976.0
2025-04-23,148.44,156.51,145.315,145.88,1816612.0
2025-04-24,145.82,151.69,144.98,151.4,1288476.0
2025-04-25,152.55,153.225,149.62,151.19,1391833.0
2025-04-28,153.33,154.36,149.76,152.54,1260456.0
2025-04-29,151.06,153.86,150.81,153.4,1170088.0
2025-04-30,150.53,154.89,148.2066,154.47,1631812.0
2025-05-01,157.99,159.08,155.5444,155.82,1610322.0
2025-05-02,158.46,162.1,157.545,160.56,1485435.0
2025-05-05,158.38,159.84,157.1,158.39,1219234.0
2025-05-06,155.83,157.28,154.08,154.41,1335313.0
2025-05-07,155.7,158.465,154.7,157.64,1434557.0
2025-05-08,160.04,162.14,157.58,160.89,1535140.0
2025-05-09,161.19,161.99,159.035,160.31,989055.0
2025-05-12,173.26,180.07,171.83,173.8,2165203.0
2025-05-13,176.08,176.19,172.98,174.44,1779255.0
2025-05-14,173.08,175.9099,171.24,171.62,1689339.0
2025-05-15,168.28,172.59,168.28,171.67,895607.0
2025-05-16,172.2,175.05,170.74,173.84,1393993.0
2025-05-19,169.41,175.2918,168.595,174.28,1533487.0
2025-05-20,173.87,177.29,171.93,172.52,2096442.0
2025-05-21,170.29,171.465,167.28,167.92,2063093.0
2025-05-22,156.5,162.629,147.3901,160.39,6667375.0
2025-05-23,158.13,161.5998,157.2225,157.85,2125253.0
2025-05-27,160.64,166.83,158.7035,166.83,2573264.0
2025-05-28,167.05,168.33,164.19,164.51,2084018.0
2025-05-29,165.83,166.67,162.35,164.51,1978455.0
2025-05-30,163.54,164.39,161.16,161.76,2532692.0
2025-06-02,160.89,161.27,154.19,158.22,2714144.0
2025-06-03,158.35,162.48,158.235,161.54,1369144.0
2025-06-04,161.17,162.43,159.885,159.97,1524201.0
2025-06-05,159.6,160.83,156.37,157.98,1849452.0
2025-06-06,159.5,160.51,157.16,157.8,1291979.0
2025-06-09,159.23,159.23,156.72,156.74,1629368.0
2025-06-10,159.03,159.03,156.4,158.1,1230707.0
2025-06-11,160.3,162.555,155.44,155.58,1393196.0
2025-06-12,155.53,155.94,152.99,154.81,1158016.0
2025-06-13,153.82,161.1999,152.2,153.96,2159008.0
2025-06-16,156.16,158.36,155.3,158.15,1672821.0
2025-06-17,156.95,161.13,156.07,156.93,1659789.0
2025-06-18,157.45,163.0,155.835,160.44,1984163.0
2025-06-20,160.97,162.66,158.46,158.84,3326716.0
2025-06-23,157.05,158.565,154.11,157.89,1528458.0
