date,open,high,low,close,volume
2025-05-07,207.68,214.15,207.06,213.15,938856.0
2025-05-08,214.9,221.42,213.82,214.74,672717.0
2025-05-09,215.34,215.66,212.87,213.06,563301.0
2025-05-12,218.25,220.94,214.67,219.46,666003.0
2025-05-13,218.73,219.86,215.6,215.87,430041.0
2025-05-14,216.49,216.49,206.39,206.69,660783.0
2025-05-15,206.86,212.255,202.79,210.68,674907.0
2025-05-16,211.5,216.68,208.68,216.64,620268.0
2025-05-19,215.0,217.8101,213.55,217.22,535650.0
2025-05-20,217.22,217.36,213.445,215.43,445007.0
2025-05-21,214.67,217.95,208.64,208.95,408612.0
2025-05-22,207.35,209.255,206.26,208.49,447793.0
2025-05-23,206.65,207.0,203.74,205.59,606097.0
2025-05-27,209.64,211.2,207.8647,211.02,559855.0
2025-05-28,211.61,213.41,210.3,211.39,424164.0
2025-05-29,213.26,213.84,209.86,210.46,582574.0
2025-05-30,210.18,211.23,206.1,210.85,879574.0
2025-06-02,207.91,210.66,206.48,209.39,440615.0
2025-06-03,209.39,212.345,206.19,210.64,451615.0
2025-06-04,211.45,213.735,210.74,211.43,548167.0
2025-06-05,211.5,221.0,209.32,218.58,773273.0
2025-06-06,218.3,225.21,218.3,224.69,976059.0
2025-06-09,225.64,225.7659,222.3,223.77,849617.0
2025-06-10,226.72,230.27,224.0,227.7,757303.0
2025-06-11,227.56,229.8,221.02,224.01,844615.0
2025-06-12,223.01,226.545,222.32,224.91,396943.0
2025-06-13,223.5,226.25,221.7,221.91,447466.0
2025-06-16,221.65,225.44,219.62,224.3,545366.0
2025-06-17,222.31,223.89,217.68,218.06,444411.0
2025-06-18,217.89,220.66,216.295,217.95,598304.0
2025-06-20,218.42,219.91,215.29,215.82,858025.0
2025-06-23,214.31,218.155,213.505,216.7,437653.0
2025-06-24,218.54,223.435,217.335,222.68,576029.0
2025-06-25,223.07,223.77,219.99,221.02,627181.0
2025-06-26,220.48,222.5612,218.82,219.0,657876.0
2025-06-27,218.95,220.0671,215.665,218.87,1929272.0
2025-06-30,219.62,221.735,216.3,218.8,666743.0
2025-07-01,218.8,226.795,216.301,222.42,669081.0
2025-07-02,223.0,224.15,218.78,221.22,501323.0
2025-07-03,222.15,224.405,220.34,222.26,370766.0
2025-07-07,222.47,225.455,219.985,221.48,400415.0
2025-07-08,222.0,222.61,219.6,220.48,645408.0
2025-07-09,220.16,226.636,220.16,226.18,634457.0
2025-07-10,226.14,233.84,225.96,229.23,669903.0
2025-07-11,228.58,228.58,225.415,227.18,465469.0
2025-07-14,225.57,226.6,221.51,224.49,341080.0
2025-07-15,225.93,226.5,220.42,221.05,517536.0
2025-07-16,222.38,224.725,219.455,224.38,365692.0
2025-07-17,224.54,226.0278,221.4,221.59,532411.0
2025-07-18,222.69,222.69,206.8,210.89,1473787.0
2025-07-21,210.82,213.435,208.71,210.08,688485.0
2025-07-22,211.5,218.9,211.1,218.9,786063.0
2025-07-23,221.6,230.0,221.5,227.31,1126698.0
2025-07-24,281.86,291.0,270.59,279.1,2765222.0
2025-07-25,279.1,279.6335,261.0,263.51,1493190.0
2025-07-28,261.03,262.335,256.67,257.76,1333124.0
2025-07-29,256.23,258.15,251.47,252.94,953315.0
2025-07-30,253.07,254.04,248.1,249.21,648656.0
2025-07-31,246.47,247.395,237.66,239.26,985674.0
2025-08-01,239.26,241.02,234.93,239.26,644194.0
2025-08-04,238.58,239.51,236.9,238.39,505903.0
2025-08-05,239.17,241.14,237.06,238.86,788928.0
2025-08-06,237.09,239.42,233.67,237.28,534607.0
2025-08-07,245.01,250.38,238.86,240.54,791191.0
2025-08-08,238.18,241.96,237.93,240.98,445204.0
2025-08-11,241.14,244.355,239.82,240.33,390629.0
2025-08-12,238.49,241.94,237.18,239.9,364503.0
2025-08-13,240.71,246.625,239.25,246.22,445536.0
2025-08-14,246.96,247.23,243.9958,246.2,365816.0
2025-08-15,247.76,250.18,245.0315,246.2,781013.0
2025-08-18,246.19,246.19,243.06,243.09,564187.0
2025-08-19,244.38,250.205,243.56,246.99,648654.0
2025-08-20,247.01,249.545,245.17,246.38,604757.0
2025-08-21,245.03,245.03,241.5,242.63,351705.0
2025-08-22,244.77,248.41,242.72,247.85,503628.0
2025-08-25,248.6,249.63,245.53,247.21,435287.0
2025-08-26,246.74,247.05,243.3,244.5,492557.0
2025-08-27,244.03,246.95,244.03,245.97,292347.0
2025-08-28,245.12,248.66,242.6,245.45,784142.0
2025-08-29,246.03,248.21,244.07,246.95,462981.0
2025-09-02,246.79,248.19,241.635,243.74,405590.0
2025-09-03,242.85,248.97,242.73,248.95,660886.0
2025-09-04,247.88,249.78,243.62,247.54,621318.0
2025-09-05,247.11,251.65,247.11,250.73,408369.0
2025-09-08,249.56,254.2699,248.88,253.15,445278.0
2025-09-09,252.73,253.78,250.285,252.04,445970.0
2025-09-10,250.62,255.95,249.935,255.22,822005.0
2025-09-11,256.6,264.06,253.82,263.74,1032935.0
2025-09-12,260.92,263.15,253.38,253.5,746174.0
2025-09-15,257.05,258.62,255.17,257.53,543982.0
2025-09-16,255.09,258.81,254.3525,258.35,436173.0
2025-09-17,258.65,262.225,256.345,256.64,515017.0
2025-09-18,256.76,258.215,250.44,254.98,633748.0
2025-09-19,254.79,256.22,251.67,254.85,1297599.0
2025-09-22,253.44,254.745,250.6201,252.22,473262.0
2025-09-23,251.43,254.025,250.0,250.8,449446.0
2025-09-24,249.76,261.395,249.76,259.94,1166267.0
2025-09-25,258.64,258.64,252.69,254.48,745000.0
2025-09-26,254.99,262.895,254.76,261.52,591942.0
2025-09-29,261.78,262.08,258.1675,260.32,589083.0
2025-09-30,260.72,264.29,259.705,262.33,587762.0
2025-10-01,264.22,273.11,261.32,271.42,888363.0
2025-10-02,269.52,274.48,268.14,273.16,562447.0
2025-10-03,273.65,277.08,270.79,272.56,532434.0
2025-10-06,271.44,271.49,266.33,268.07,586436.0
2025-10-07,269.14,269.825,264.455,265.97,497610.0
2025-10-08,266.82,268.14,263.9301,267.93,584966.0
2025-10-09,267.75,269.495,263.42,263.58,487411.0
2025-10-10,264.92,264.92,257.5,261.77,595229.0
2025-10-13,262.42,265.66,262.135,262.47,454552.0
2025-10-14,261.61,263.22,260.58,261.17,520742.0
2025-10-15,261.34,266.35,260.54,262.95,605179.0
2025-10-16,264.85,269.42,260.1201,267.19,771399.0
2025-10-17,264.68,270.61,264.68,270.6,685134.0
2025-10-20,271.3,275.1099,270.91,274.9,485278.0
2025-10-21,277.58,282.025,274.432,279.39,795094.0
2025-10-22,277.38,283.54,276.02,277.0,1213746.0
2025-10-23,301.06,322.34,300.0,307.25,1898854.0
2025-10-24,307.94,310.69,297.2,297.47,819464.0
2025-10-27,299.99,301.0,282.29,287.22,1067880.0
2025-10-28,285.03,287.2899,281.0,283.49,749090.0
2025-10-29,284.35,288.36,282.36,284.86,479940.0
2025-10-30,284.93,287.27,277.92,278.54,693148.0
2025-10-31,275.83,284.31,272.99,282.07,586247.0
2025-11-03,279.84,280.58,273.99,279.78,592954.0
2025-11-04,278.38,287.98,276.59,286.94,895022.0
2025-11-05,285.14,287.86,280.33,283.54,529397.0
2025-11-06,282.04,285.55,262.4842,275.34,1038356.0
2025-11-07,276.97,280.8,268.15,271.04,856213.0
2025-11-10,271.28,276.64,270.25,275.47,574746.0
2025-11-11,277.31,280.11,276.4,277.41,718448.0
2025-11-12,276.85,279.75,271.18,273.85,595668.0
2025-11-13,269.56,274.635,266.21,266.66,581032.0
2025-11-14,264.81,265.5,258.93,261.36,738364.0
2025-11-17,261.21,266.26,260.09,262.41,626895.0
2025-11-18,260.26,262.51,257.33,260.14,480093.0
2025-11-19,259.87,260.685,256.15,257.9,333106.0
2025-11-20,259.5,260.45,253.32,257.77,1315133.0
2025-11-21,259.8,272.06,258.85,271.07,894012.0
2025-11-24,270.43,276.24,267.25,273.99,901688.0
2025-11-25,278.18,281.33,275.6811,280.84,579427.0
2025-11-26,278.39,281.8,274.88,277.14,441187.0
2025-11-28,278.49,278.55,273.9394,277.25,293086.0
2025-12-01,275.46,279.48,273.96,274.14,546654.0
2025-12-02,270.6,275.06,269.08,273.03,546496.0
2025-12-03,275.76,285.4,274.0251,284.31,856418.0
2025-12-04,284.5,285.54,276.04,281.77,788447.0
2025-12-05,282.01,283.52,278.23,280.23,645703.0
2025-12-08,279.34,281.12,268.21,269.08,660526.0
2025-12-09,268.64,271.97,265.825,266.07,513011.0
2025-12-10,267.47,268.675,263.38,266.96,683912.0
2025-12-11,268.96,274.555,267.9,272.54,688206.0
2025-12-12,272.26,272.97,265.385,267.56,839179.0
2025-12-15,267.97,272.8,265.97,271.86,692705.0
2025-12-16,271.24,273.13,265.35,266.44,734735.0
2025-12-17,265.23,275.56,264.92,269.13,710885.0
2025-12-18,269.3,271.41,266.66,268.66,748830.0
2025-12-19,269.67,272.74,268.45,272.54,2116931.0
2025-12-22,271.53,278.43,270.0201,274.89,560739.0
2025-12-23,275.34,277.83,272.875,277.49,688555.0
2025-12-24,279.01,279.01,275.68,276.66,203730.0
2025-12-26,276.19,277.5,272.83,274.3,344488.0
2025-12-29,274.7,276.373,272.53,275.6,305121.0
2025-12-30,274.54,277.75,273.9,276.87,356633.0
2025-12-31,276.3,277.07,274.88,275.14,397740.0
2026-01-02,275.25,277.08,269.76,276.4,629167.0
2026-01-05,272.44,280.14,269.55,279.03,1048037.0
2026-01-06,277.14,291.38,275.51,280.83,1070192.0
2026-01-07,280.27,281.38,276.08,278.44,523437.0
2026-01-08,276.87,283.445,271.31,275.23,631111.0
2026-01-09,275.62,279.235,274.7878,275.52,490229.0
2026-01-12,277.99,278.87,267.82,272.91,776503.0
2026-01-13,273.59,275.49,268.42,271.83,508188.0
2026-01-14,272.92,278.58,270.56,274.98,725731.0
2026-01-15,275.62,281.55,272.805,279.41,789666.0
2026-01-16,279.26,279.39,259.39,259.79,1505590.0
2026-01-20,255.0,255.0,248.465,250.5,1801926.0
2026-01-21,251.68,255.795,244.7,255.16,1889375.0
2026-01-22,256.18,258.74,247.03,247.78,1044853.0
2026-01-23,246.0,246.13,232.06,236.66,1929346.0
2026-01-26,238.48,241.4,236.8,241.4,989148.0
2026-01-27,238.89,243.91,238.32,240.53,935464.0
2026-01-28,238.1,239.06,234.88,235.89,682812.0
2026-01-29,234.44,234.49,227.57,232.65,930244.0
2026-01-30,229.43,232.05,223.83,231.12,1601335.0
2026-02-02,230.9,237.67,228.83,237.5,1203482.0
2026-02-03,233.84,238.76,228.0,230.95,944365.0
2026-02-04,232.95,241.38,231.09,237.05,1690392.0
2026-02-05,235.0,237.53,229.97,231.62,1154365.0
2026-02-06,235.37,249.64,233.5,248.95,1481074.0
2026-02-09,245.97,251.33,245.97,248.93,1048745.0
2026-02-10,250.41,252.565,243.47,243.56,1172550.0
2026-02-11,243.96,252.04,243.6,246.16,1656569.0
2026-02-12,250.21,259.9,227.49,243.61,2175300.0
2026-02-13,243.94,250.53,242.14,250.49,980268.0
2026-02-17,248.18,251.81,242.32,243.19,970093.0
2026-02-18,243.9,248.4599,243.89,248.26,813756.0
2026-02-19,245.51,247.18,241.91,243.83,760794.0
2026-02-20,241.23,245.36,239.27,241.12,856091.0
2026-02-23,238.32,245.28,236.445,244.22,908106.770648
2026-02-24,243.84,248.63,241.58,245.38,675485.501875
2026-02-25,246.22,249.28,244.83,247.88,830775.237934
2026-02-26,248.97,250.32,245.27,249.02,452910.823014
2026-02-27,247.87,254.4,246.78,254.34,814388.898059
