date,open,high,low,close,volume
2025-05-07,86.2,87.135,82.2,84.12,3847932.0
2025-05-08,84.85,87.78,83.79,86.59,3041478.0
2025-05-09,87.31,88.23,87.05,87.93,3216489.0
2025-05-12,92.3,95.5199,91.9801,95.16,4639872.0
2025-05-13,94.7,97.16,94.269,96.79,2520570.0
2025-05-14,96.79,97.51,95.94,97.49,3053010.0
2025-05-15,96.59,98.71,96.385,97.75,3133038.0
2025-05-16,97.49,97.82,96.43,96.76,2200178.0
2025-05-19,95.02,96.95,94.6,96.55,1622112.0
2025-05-20,96.34,96.34,93.22,93.77,2068747.0
2025-05-21,92.89,93.37,91.085,91.5,2157515.0
2025-05-22,91.12,91.51,89.51,90.91,1987798.0
2025-05-23,89.405,90.99,89.06,90.47,1335792.0
2025-05-27,91.53,93.155,91.42,92.54,1813710.0
2025-05-28,92.56,92.6,90.74,90.94,1405612.0
2025-05-29,92.31,92.58,90.37,90.73,2208463.0
2025-05-30,89.75,90.74,88.93,90.54,6827922.0
2025-06-02,91.408,91.735,87.25,87.8,3285663.0
2025-06-03,87.55,88.22,85.49,87.75,2925273.0
2025-06-04,87.395,87.7,85.73,86.14,1951609.0
2025-06-05,86.315,86.315,82.627,83.24,3426097.0
2025-06-06,84.66,84.66,82.64,83.3,3151921.0
2025-06-09,84.01,85.08,84.01,84.7,2134195.0
2025-06-10,85.06,87.1,85.06,86.67,1610189.0
2025-06-11,87.62,88.175,86.57,87.52,2010762.0
2025-06-12,86.18,87.3,85.445,87.07,1361416.0
2025-06-13,85.14,85.6296,83.45,84.18,2025090.0
2025-06-16,86.0,89.1,85.96,88.6,2522704.0
2025-06-17,88.185,88.33,86.775,87.28,1325126.0
2025-06-18,86.89,88.25,86.53,86.91,1256957.0
2025-06-20,87.9,88.85,87.11,88.49,2841661.0
2025-06-23,88.61,89.95,87.3629,89.7,1862282.0
2025-06-24,90.69,91.48,89.8512,90.97,1765921.0
2025-06-25,91.01,92.91,90.97,91.91,1774402.0
2025-06-26,92.86,93.65,91.5214,92.64,1605876.0
2025-06-27,92.67,94.73,92.435,94.68,2640932.0
2025-06-30,94.56,94.67,92.75,93.67,1730862.0
2025-07-01,96.86,102.48,96.86,101.96,5341240.0
2025-07-02,102.28,104.95,101.18,104.68,2319240.0
2025-07-03,104.44,106.735,104.08,105.63,1407270.0
2025-07-07,105.15,109.04,104.94,108.67,2894726.0
2025-07-08,109.37,111.568,109.1634,110.46,2148349.0
2025-07-09,109.3,110.3625,107.83,110.08,1841679.0
2025-07-10,110.14,112.36,109.56,111.93,2032821.0
2025-07-11,111.07,112.04,110.57,111.17,1207879.0
2025-07-14,110.58,111.06,109.03,111.01,1557513.0
2025-07-15,111.5,111.71,110.01,111.0,1682344.0
2025-07-16,111.08,111.77,109.665,109.85,1241723.0
2025-07-17,110.12,110.34,108.83,109.44,1125281.0
2025-07-18,109.61,109.695,106.57,106.77,2055884.0
2025-07-21,107.2,107.26,105.01,106.36,1764450.0
2025-07-22,107.05,107.89,106.28,107.71,1294284.0
2025-07-23,108.0,108.95,107.03,107.64,1392637.0
2025-07-24,108.65,110.9,108.31,108.45,2554786.0
2025-07-25,108.39,110.0,106.78,109.44,1463601.0
2025-07-28,109.67,111.44,109.12,111.27,1428036.0
2025-07-29,111.5,112.1,108.5,109.38,1463233.0
2025-07-30,109.53,111.0,108.6,109.53,1438987.0
2025-07-31,109.09,109.56,107.96,109.03,3582719.0
2025-08-01,110.0,110.7067,106.11,107.93,1651297.0
2025-08-04,109.04,109.33,106.46,107.05,1459955.0
2025-08-05,107.61,108.21,106.13,107.72,2255551.0
2025-08-06,107.3,108.26,106.82,107.21,949806.0
2025-08-07,107.62,108.3,105.51,107.23,2025773.0
2025-08-08,104.0,107.75,102.2401,106.41,4212597.0
2025-08-11,106.11,108.7,106.0201,108.63,1917151.0
2025-08-12,109.44,112.57,108.87,112.49,1515937.0
2025-08-13,112.29,112.41,109.81,111.82,1539427.0
2025-08-14,110.71,111.62,109.96,111.38,1605802.0
2025-08-15,111.155,111.555,109.4,109.45,1497414.0
2025-08-18,109.49,109.75,107.89,108.15,2722842.0
2025-08-19,108.66,112.91,108.335,112.83,2713479.0
2025-08-20,112.36,113.25,110.723,111.51,2136753.0
2025-08-21,110.88,111.98,110.63,110.89,1223875.0
2025-08-22,111.76,114.6153,111.4,114.31,1861836.0
2025-08-25,115.58,118.56,115.0,118.36,3505851.0
2025-08-26,117.91,119.44,117.52,119.08,2136513.0
2025-08-27,118.64,125.45,118.27,123.2,4267141.0
2025-08-28,125.11,126.88,123.53,126.74,2238070.0
2025-08-29,126.25,128.53,125.52,126.75,2595681.0
2025-09-02,125.0,125.89,122.87,125.47,1528495.0
2025-09-03,126.6,127.2499,124.8,125.52,1408223.0
2025-09-04,125.51,125.75,122.03,122.89,2025336.0
2025-09-05,123.515,124.0,119.99,120.9,2441366.0
2025-09-08,121.0,124.71,120.0,122.67,2771742.0
2025-09-09,122.1,122.857,121.02,121.49,934066.0
2025-09-10,121.91,123.6,121.48,122.9,1145476.0
2025-09-11,123.52,124.38,122.26,123.86,1571520.0
2025-09-12,123.75,123.85,120.4501,121.45,876360.0
2025-09-15,121.45,123.78,119.72,122.85,1483168.0
2025-09-16,122.09,123.01,120.185,120.68,1416406.0
2025-09-17,121.12,124.24,120.97,123.28,1897093.0
2025-09-18,124.99,129.01,124.05,128.68,1954152.0
2025-09-19,130.0,130.84,128.73,129.52,3328242.0
2025-09-22,129.52,130.545,125.49,126.05,1281706.0
2025-09-23,126.11,129.52,126.11,127.51,992206.0
2025-09-24,127.18,127.625,125.51,125.92,1119174.0
2025-09-25,125.49,126.2233,124.4,125.84,1143413.0
2025-09-26,125.66,129.335,125.66,128.97,1329032.0
2025-09-29,130.17,134.0745,129.05,132.43,2014925.0
2025-09-30,131.72,132.6,127.81,128.27,1511668.0
2025-10-01,128.37,132.265,127.94,132.03,1532609.0
2025-10-02,132.03,134.23,131.4,133.34,1286084.0
2025-10-03,132.51,132.77,123.07,123.66,3623135.0
2025-10-06,124.6,126.35,122.82,124.59,1799554.0
2025-10-07,124.57,125.49,122.3,122.91,1443991.0
2025-10-08,122.18,125.1442,119.86,121.57,2316965.0
2025-10-09,121.82,124.265,120.76,123.55,1551686.0
2025-10-10,123.35,124.57,118.07,119.89,2184270.0
2025-10-13,119.16,119.61,112.13,112.52,3171216.0
2025-10-14,112.0,117.4999,111.97,116.11,1332802.0
2025-10-15,116.92,119.51,116.5,118.07,1420121.0
2025-10-16,118.23,119.16,115.2501,115.92,1012814.0
2025-10-17,115.72,119.39,115.55,117.81,1745732.0
2025-10-20,120.38,122.75,120.03,121.94,2060200.0
2025-10-21,121.13,121.7199,119.75,121.13,836212.0
2025-10-22,121.26,121.49,118.79,119.39,1109660.0
2025-10-23,123.998,126.87,123.244,125.4,2114920.0
2025-10-24,125.59,127.1299,125.0,125.57,1213576.0
2025-10-27,126.96,128.44,124.91,125.44,940632.0
2025-10-28,124.44,124.98,120.65,120.85,1464204.0
2025-10-29,120.21,122.02,119.2246,120.87,1251506.0
2025-10-30,119.04,121.95,119.04,119.77,1111819.0
2025-10-31,119.28,120.05,117.8,118.99,1703192.0
2025-11-03,121.09,126.2899,120.25,125.73,2174163.0
2025-11-04,123.1,123.57,120.21,121.34,1375751.0
2025-11-05,121.67,126.63,121.21,125.19,1775525.0
2025-11-06,125.63,127.7,122.0,122.54,2896103.0
2025-11-07,120.11,126.87,119.6,126.14,3206058.0
2025-11-10,126.95,134.21,126.845,128.88,2400007.0
2025-11-11,127.41,130.82,125.21,126.065,1566597.0
2025-11-12,126.545,127.4,124.7801,125.02,1414163.0
2025-11-13,124.57,126.0299,122.86,123.01,1045248.0
2025-11-14,120.76,122.87,118.53,120.73,1212683.0
2025-11-17,119.85,121.49,116.715,118.14,1164558.0
2025-11-18,117.55,121.43,116.85,120.29,1401689.0
2025-11-19,120.04,120.445,117.69,118.32,939339.0
2025-11-20,118.68,121.23,116.925,117.14,1099379.0
2025-11-21,117.33,120.71,114.96,119.6,1757090.0
2025-11-24,120.28,126.43,120.25,123.24,2024582.0
2025-11-25,123.24,129.71,122.0,127.47,3599378.0
2025-11-26,127.24,130.26,126.99,129.46,1946615.0
2025-11-28,129.61,130.0,128.35,128.68,861160.0
2025-12-01,132.12,134.72,131.6375,132.77,2831441.0
2025-12-02,133.22,133.7299,130.82,133.09,1215081.0
2025-12-03,133.75,133.98,129.89,131.53,1137488.0
2025-12-04,129.78,129.78,123.34,125.72,2609901.0
2025-12-05,125.8,126.9,124.81,125.51,856087.0
2025-12-08,127.29,132.79,126.347,127.13,1816503.0
2025-12-09,127.1,127.69,123.33,124.22,1400498.0
2025-12-10,123.97,124.56,122.8401,123.6,1122237.0
2025-12-11,123.3,126.71,122.54,124.85,1194100.0
2025-12-12,125.7,126.71,122.85,123.66,1020331.0
2025-12-15,124.15,127.06,121.3765,126.25,1899141.0
2025-12-16,126.25,127.4099,125.5258,126.04,1310201.0
2025-12-17,126.78,127.01,125.05,125.44,978057.0
2025-12-18,126.99,128.48,125.61,126.51,1371038.0
2025-12-19,126.64,129.34,126.5,127.94,2134609.0
2025-12-22,128.1,128.74,125.8,125.98,1567577.0
2025-12-23,126.17,126.9705,124.85,124.96,1096910.0
2025-12-24,124.12,125.93,124.12,125.02,614989.0
2025-12-26,125.04,125.81,124.04,124.36,717348.0
2025-12-29,123.6,123.96,121.26,122.27,1017246.0
2025-12-30,122.27,122.48,120.285,120.33,689922.0
2025-12-31,120.4,121.32,119.95,120.33,1949357.0
2026-01-02,120.08,123.0,120.0,122.57,810430.0
2026-01-05,121.72,123.54,119.56,119.68,1110466.0
2026-01-06,120.06,121.365,118.536,120.53,1059726.0
2026-01-07,120.12,120.47,116.205,116.37,1274541.0
2026-01-08,115.55,119.575,115.06,118.27,1535475.0
2026-01-09,118.81,119.5975,116.43,117.83,1495046.0
2026-01-12,116.18,118.75,116.18,116.84,1234697.0
2026-01-13,117.04,117.84,115.68,116.4,821730.0
2026-01-14,116.31,116.92,114.0,116.88,1294866.0
2026-01-15,116.88,118.22,116.2059,117.37,879202.0
2026-01-16,117.8,117.987,113.81,114.33,1144180.0
2026-01-20,112.37,113.9976,110.735,111.28,1075620.0
2026-01-21,112.07,114.39,111.4213,114.13,1617577.0
2026-01-22,115.73,117.0,114.35,115.06,837857.0
2026-01-23,114.06,115.015,112.94,113.55,746163.0
2026-01-26,113.26,115.9999,113.26,114.08,1129075.0
2026-01-27,114.08,114.7448,112.72,113.77,840163.0
2026-01-28,113.87,116.07,112.755,112.88,1252714.0
2026-01-29,108.94,110.7999,107.15,108.91,2141761.0
2026-01-30,108.85,109.75,106.58,107.45,1238564.0
2026-02-02,108.12,109.88,107.25,109.18,1624429.0
2026-02-03,108.66,110.29,107.8,109.27,1181088.0
2026-02-04,111.26,115.4987,111.26,114.21,2116442.0
2026-02-05,113.51,114.46,111.13,113.2,1506707.0
2026-02-06,113.07,118.22,112.71,117.96,1806039.0
2026-02-09,117.9,119.19,116.61,116.94,2126709.0
2026-02-10,117.39,118.91,115.18,116.86,1463300.0
2026-02-11,117.25,118.39,114.87,115.51,1697021.0
2026-02-12,115.98,116.33,107.05,107.85,2709504.0
2026-02-13,104.16,115.06,104.06,113.39,3477937.0
2026-02-17,113.19,117.88,113.0,114.4,2850570.0
2026-02-18,114.31,118.79,114.31,116.31,1604522.0
2026-02-19,115.74,115.955,114.06,115.35,936091.0
2026-02-20,114.96,115.78,112.885,114.87,1358801.0
2026-02-23,113.78,114.16,105.24,107.25,2158906.386201
2026-02-24,107.25,110.9,107.25,109.44,1502722.252653
2026-02-25,110.25,110.9999,105.825,107.45,1424225.915158
2026-02-26,108.25,111.8,107.865,110.11,1920644.184916
2026-02-27,107.5,109.0,105.94,108.19,1688240.14715
2026-03-02,103.07,105.24,100.95,103.44,3285745.601468
2026-03-03,102.5,103.6,99.11,102.28,2498334.75847
2026-03-04,103.11,104.51,102.01,103.33,2817977.953114
2026-03-05,102.75,105.69,102.49,105.37,1530459.666853
2026-03-06,102.87,103.4,100.995,101.61,2199395.739057
2026-03-09,98.71,102.075,96.515,101.56,4359374.460933
2026-03-10,101.74,104.6,101.5,102.73,1879784.073845
2026-03-11,103.76,104.45,99.91,100.07,2500159.702834
2026-03-12,98.0,99.68,96.37,98.79,2594036.079898
2026-03-13,100.21,101.7899,99.5,100.43,1961834.155083
2026-03-16,101.25,103.0,100.19,100.63,1949626.905355
2026-03-17,102.06,105.45,102.02,103.33,2185040.760516
2026-03-18,102.73,104.94,101.35,101.62,962473.265324
2026-03-19,100.67,103.61,100.36,103.16,1062443.777596
2026-03-20,102.9,103.0,99.18,99.98,2186423.910457
2026-03-23,102.28,104.85,101.05,101.13,1605197.071249
2026-03-24,100.09,103.21,100.09,102.77,1079855.452317
2026-03-25,103.88,105.42,100.555,101.89,1387803.904236
2026-03-26,100.86,101.43,99.07,99.47,1314980.754398
2026-03-27,98.96,99.44,96.15,96.59,1862375.178143
2026-03-30,97.065,98.265,96.14,96.77,1419784.805505
2026-03-31,98.06,101.82,97.67,101.55,1809635.00685
2026-04-01,102.47,103.785,101.0,102.6,1649278.610662
2026-04-02,101.105,102.285,99.51,102.03,1382674.928769
2026-04-06,101.07,102.81,99.845,102.71,977395.47001
2026-04-07,102.67,103.045,99.995,100.43,1534783.57113
2026-04-08,105.34,107.95,104.53,105.24,2548042.159333
2026-04-09,103.78,105.09,102.63,104.89,1333303.645122
2026-04-10,104.89,105.6,103.785,104.0,790953.228549
2026-04-13,103.77,103.77,101.9529,103.06,1223739.079989
2026-04-14,103.31,105.895,103.07,105.59,1448294.018622
2026-04-15,105.59,107.82,105.07,106.84,1264066.633913
2026-04-16,106.84,107.99,105.9,106.82,1466485.970389
2026-04-17,108.33,111.97,107.85,109.19,1574292.387322
2026-04-20,108.725,109.36,106.44,108.79,1257343.909714
2026-04-21,108.9,110.0,107.375,107.66,937683.989964
2026-04-22,108.5,108.5,105.33,106.64,970883.188456
2026-04-23,106.08,106.08,103.11,105.61,1706396.293354
2026-04-24,105.76,106.84,104.84,105.67,1190690.294895
2026-04-27,105.63,107.0,104.83,105.51,1175146.360532
2026-04-28,104.95,107.24,104.2501,106.2,1083951.94693
2026-04-29,105.64,105.825,104.07,104.24,1352653.041986
2026-04-30,104.4,107.71,103.65,107.11,1086775.14742
2026-05-01,107.0,108.79,105.44,105.98,1466315.586884
2026-05-04,105.97,106.18,102.26,103.44,1368101.382785
2026-05-05,103.495,106.84,103.495,106.24,1615248.695963
2026-05-06,108.275,109.0,107.225,107.565,1120184.777475
2026-05-07,107.73,108.98,105.47,106.85,1273171.61187
2026-05-08,106.0,106.205,99.6,102.42,3981186.530983
2026-05-11,100.97,101.75,98.06,99.37,2717471.882306
2026-05-12,98.96,99.28,97.1,97.25,1639284.557222
2026-05-13,97.24,97.25,94.545,96.21,1555424.081002
2026-05-14,96.49,97.97,95.2,95.43,2040746.507246
2026-05-15,95.36,96.24,94.13,95.42,1028366.773162
2026-05-18,96.1,98.01,94.8704,95.51,1341114.915989
2026-05-19,95.29,95.99,94.25,94.78,1002265.185985
2026-05-20,95.01,99.63,93.445,98.06,1550472.499672
2026-05-21,97.06,98.635,95.43,98.54,904135.316265
2026-05-22,97.5,99.25,96.56,97.24,1208911.661695
2026-05-26,98.19,98.82,97.11,97.87,1468568.82861
2026-05-27,98.595,102.18,98.595,101.22,1762859.169047
2026-05-28,100.9,102.75,99.55,101.54,1213848.856635
2026-05-29,101.54,102.4699,100.85,101.22,1025386.050615
2026-06-01,103.33,107.77,102.13,106.53,2135409.534004
