date,open,high,low,close,volume
2025-04-10,68.27,69.3075,67.005,68.41,3491649.0
2025-04-11,68.41,69.925,67.52,69.555,3148381.0
2025-04-14,69.42,70.87,68.28,70.73,2515683.0
2025-04-15,71.16,71.4788,70.21,70.27,2556862.0
2025-04-16,70.48,70.82,68.86,69.1,2824027.0
2025-04-17,69.7,71.03,69.495,70.13,2784549.0
2025-04-21,69.88,70.2999,68.19,68.97,5664881.0
2025-04-22,69.66,71.71,69.38,71.39,5162419.0
2025-04-23,71.07,72.1,70.58,71.55,5639066.0
2025-04-24,70.34,71.48,69.01,70.29,6499723.0
2025-04-25,70.5,70.545,68.41,69.0,4816862.0
2025-04-28,69.11,69.68,68.46,69.58,2994570.0
2025-04-29,69.56,70.77,69.22,70.67,2539303.0
2025-04-30,70.69,70.88,69.6,70.7,4468347.0
2025-05-01,70.7,71.39,70.0,70.4,3389198.0
2025-05-02,70.73,71.035,69.98,70.77,3854528.0
2025-05-05,70.415,71.14,69.96,70.89,5645613.0
2025-05-06,70.62,71.4,70.45,71.06,2765389.0
2025-05-07,71.17,71.97,70.96,71.36,4552365.0
2025-05-08,71.31,71.57,70.08,70.17,3159991.0
2025-05-09,70.25,70.88,69.99,70.61,2479336.0
2025-05-12,70.35,70.405,67.43,67.78,4783677.0
2025-05-13,67.78,68.73,66.75,68.31,5328251.0
2025-05-14,67.91,68.94,67.375,68.8,5338081.0
2025-05-15,69.25,71.31,69.18,71.26,6642343.0
2025-05-16,71.3,72.56,70.95,72.38,7154049.0
2025-05-19,71.9,72.37,71.58,72.21,5044860.0
2025-05-20,72.13,72.7799,71.9,72.315,3538579.0
2025-05-21,71.9,72.05,69.86,69.92,4134595.0
2025-05-22,69.84,69.95,68.49,69.21,4059209.0
2025-05-23,69.43,69.82,68.56,69.73,3077561.0
2025-05-27,70.21,70.39,69.5,69.805,2578607.0
2025-05-28,69.78,69.865,68.62,68.93,2425697.0
2025-05-29,68.9,69.7092,68.63,69.47,2024809.0
2025-05-30,69.53,70.41,69.36,70.1,3985888.0
2025-06-02,69.72,69.85,69.14,69.73,2506375.0
2025-06-03,69.71,69.95,68.72,69.33,3344824.0
2025-06-04,69.14,69.415,68.43,68.5,2286304.0
2025-06-05,68.48,68.74,68.09,68.57,1841302.0
2025-06-06,68.93,69.14,68.12,68.51,1876660.0
2025-06-09,68.25,69.24,68.0943,68.38,2509611.0
2025-06-10,68.48,69.105,68.24,68.96,2640751.0
2025-06-11,68.93,68.976,68.01,68.25,3190859.0
2025-06-12,68.53,69.08,68.19,69.07,2569238.0
2025-06-13,68.5,68.72,67.48,67.62,2861377.0
2025-06-16,67.87,68.07,66.42,66.79,3343567.0
2025-06-17,66.8,66.8,65.465,65.65,3460397.0
2025-06-18,65.75,66.49,65.21,66.28,2917293.0
2025-06-20,66.6,67.1,66.32,66.64,6825604.0
2025-06-23,67.06,67.95,66.92,67.91,3405137.0
2025-06-24,67.91,68.64,67.785,68.23,4277162.0
2025-06-25,68.0,68.18,67.15,67.32,2445964.0
2025-06-26,67.71,67.85,67.19,67.75,2166243.0
2025-06-27,67.68,68.38,67.55,67.78,4020533.0
2025-06-30,67.5,68.21,67.075,68.1,4116079.0
2025-07-01,68.37,69.0,66.87,68.71,3711919.0
2025-07-02,68.36,68.6399,67.0101,67.56,3031435.0
2025-07-03,67.43,68.425,67.3,68.19,2236072.0
2025-07-07,68.19,68.29,67.475,67.88,2193101.0
2025-07-08,67.44,67.825,66.56,67.56,2061258.0
2025-07-09,67.64,68.045,67.11,67.84,2121088.0
2025-07-10,67.28,68.47,67.02,68.45,2542374.0
2025-07-11,68.19,68.995,67.81,68.62,2394427.0
2025-07-14,68.64,69.21,68.38,69.17,2045521.0
2025-07-15,68.94,69.17,68.01,68.33,2460336.0
2025-07-16,68.39,69.4,68.32,69.17,3624417.0
2025-07-17,69.03,69.79,68.975,69.65,2836550.0
2025-07-18,70.0,70.88,69.66,70.38,3421049.0
2025-07-21,70.72,71.795,70.37,71.57,2635281.0
2025-07-22,71.79,73.11,71.61,73.06,2917831.0
2025-07-23,73.22,73.559,72.07,72.5,3526683.0
2025-07-24,72.52,72.99,72.09,72.78,2339790.0
2025-07-25,72.9,73.06,72.45,72.66,2760052.0
2025-07-28,72.122,72.78,71.01,71.14,3396633.0
2025-07-29,71.46,72.37,71.06,72.34,3163751.0
2025-07-30,72.34,73.235,72.21,72.39,4844859.0
2025-07-31,72.9,73.87,72.67,73.44,4367607.0
2025-08-01,73.89,74.13,72.9,73.47,4005116.0
2025-08-04,73.77,74.45,73.635,74.24,5851825.0
2025-08-05,74.08,74.57,73.43,73.73,4542669.0
2025-08-06,74.03,74.04,73.235,73.3,2863322.0
2025-08-07,73.34,73.74,73.09,73.23,3602210.0
2025-08-08,73.3,73.78,73.02,73.33,3328850.0
2025-08-11,73.37,73.49,72.37,72.675,2480829.0
2025-08-12,72.85,72.85,71.4,72.39,3136955.0
2025-08-13,72.37,72.945,72.23,72.92,3227005.0
2025-08-14,72.8,73.3291,72.28,72.39,2702983.0
2025-08-15,72.53,73.17,69.16,71.93,7793324.0
2025-08-18,72.03,72.43,71.84,72.21,3113046.0
