date,open,high,low,close,volume
2025-04-24,146.41,147.84,144.8001,147.58,2079809.0
2025-04-25,147.36,148.8,146.32,147.3,1770444.0
2025-04-28,147.31,148.07,146.42,147.75,2218858.0
2025-04-29,146.6,148.03,145.37,147.69,2339852.0
2025-04-30,147.49,151.56,144.885,150.44,3349531.0
2025-05-01,149.07,149.46,147.08,148.6,2734588.0
2025-05-02,149.44,150.51,147.43,149.14,1972118.0
2025-05-05,149.51,149.57,146.39,146.58,2308519.0
2025-05-06,146.39,148.47,145.55,148.28,2096996.0
2025-05-07,148.15,150.77,147.74,149.48,1415964.0
2025-05-08,149.72,149.875,147.76,147.98,1411007.0
2025-05-09,148.26,148.97,146.49,147.13,1068548.0
2025-05-12,147.35,148.3052,146.07,146.8,1552685.0
2025-05-13,147.0,147.01,144.81,145.72,1880003.0
2025-05-14,145.7,145.97,144.81,145.16,1534297.0
2025-05-15,145.57,147.55,145.22,147.05,1842523.0
2025-05-16,147.9,148.07,146.29,148.07,1699742.0
2025-05-19,147.71,149.84,147.65,149.65,2046107.0
2025-05-20,149.0,150.03,148.64,149.03,2158797.0
2025-05-21,147.91,148.93,145.34,146.43,1842063.0
2025-05-22,146.22,146.24,144.515,145.5,1926740.0
2025-05-23,145.22,145.9,144.66,145.45,1062942.0
2025-05-27,145.29,145.55,142.76,144.09,2396821.0
2025-05-28,144.45,144.9603,142.84,143.15,1537051.0
2025-05-29,143.2,144.89,142.6243,144.04,1841961.0
2025-05-30,144.04,144.48,143.09,143.94,3184484.0
2025-06-02,142.9,144.885,142.06,144.63,1764847.0
2025-06-03,143.98,144.59,141.43,143.97,2414937.0
2025-06-04,146.0,146.0,142.81,144.01,2035572.0
2025-06-05,144.13,144.175,142.25,142.88,1250918.0
2025-06-06,142.96,145.03,142.73,144.83,1367873.0
2025-06-09,144.16,144.635,142.41,143.14,1479421.0
2025-06-10,145.15,145.47,142.95,143.92,2159936.0
2025-06-11,143.92,144.5875,142.95,143.41,1454355.0
2025-06-12,143.21,143.97,142.46,143.97,1096436.0
2025-06-13,143.57,145.425,142.21,144.0,1180160.0
2025-06-16,144.0,144.875,141.52,141.94,1706984.0
2025-06-17,141.3,142.15,139.2813,139.99,1892950.0
2025-06-18,140.13,140.735,137.97,138.36,1539460.0
2025-06-20,138.76,139.76,138.555,139.06,2956521.0
2025-06-23,140.07,141.5,138.58,141.39,1955864.0
2025-06-24,141.63,143.08,140.6,142.7,1629143.0
2025-06-25,144.96,149.29,144.545,147.18,3752130.0
2025-06-26,146.9,149.01,145.645,147.05,3297131.0
2025-06-27,147.04,148.85,146.885,148.41,3075088.0
2025-06-30,147.86,148.41,146.29,148.18,2435045.0
2025-07-01,148.28,150.8,148.105,150.37,1726622.0
2025-07-02,149.71,151.16,148.86,150.18,2292737.0
2025-07-03,150.07,150.18,148.735,150.0,1284289.0
2025-07-07,150.33,150.97,149.3338,150.36,1779990.0
2025-07-08,149.73,150.74,148.37,150.53,1677371.0
2025-07-09,150.47,151.18,149.97,150.85,1428860.0
2025-07-10,151.05,153.215,150.58,152.35,1250071.0
2025-07-11,151.38,151.86,148.505,149.79,1757972.0
2025-07-14,150.46,150.935,147.17,147.17,1908443.0
2025-07-15,146.6,147.67,144.99,145.0,1883466.0
2025-07-16,145.02,146.63,145.02,146.14,1332997.0
2025-07-17,146.1,148.46,145.78,148.08,1427772.0
2025-07-18,148.33,149.6,147.93,148.96,1597284.0
2025-07-21,150.02,150.05,144.89,145.51,2512031.0
2025-07-22,145.56,148.53,145.56,148.53,1450967.0
2025-07-23,148.66,149.0,147.0,147.79,1186930.0
2025-07-24,146.37,148.19,145.83,145.83,1489192.0
2025-07-25,145.89,147.07,145.09,146.7,1152556.0
2025-07-28,145.84,146.59,144.26,144.29,1658198.0
2025-07-29,144.51,145.23,143.485,145.18,2472598.0
2025-07-30,145.56,147.32,145.16,146.99,1643838.0
2025-07-31,145.98,147.37,144.11,144.15,2653526.0
2025-08-01,145.67,146.06,144.22,145.36,1930683.0
2025-08-04,145.08,147.76,144.665,147.0,3350072.0
2025-08-05,144.5,146.9999,139.31,139.5,5141705.0
2025-08-06,139.74,142.36,139.06,141.34,2685260.0
2025-08-07,142.05,143.32,141.01,142.56,2066898.0
2025-08-08,141.83,142.89,140.95,141.28,2263370.0
2025-08-11,141.5,142.55,140.96,141.27,1825040.0
2025-08-12,141.6,142.51,140.3,142.09,1606795.0
2025-08-13,141.83,144.81,141.5,144.79,1845003.0
2025-08-14,144.49,146.99,143.45,146.77,1832905.0
2025-08-15,146.84,149.11,146.45,148.18,2604287.0
2025-08-18,148.19,151.11,147.9,149.34,2182850.0
2025-08-19,149.3,153.07,149.275,152.01,1952784.0
2025-08-20,152.98,152.98,147.55,149.34,2606883.0
2025-08-21,148.68,149.05,147.59,148.01,1943772.0
2025-08-22,148.6,149.96,147.4,147.87,1995361.0
2025-08-25,148.19,148.68,146.68,146.89,1404464.0
2025-08-26,146.92,147.965,145.98,147.03,1664964.0
2025-08-27,146.96,147.18,144.96,145.33,1812874.0
2025-08-28,145.13,145.73,143.98,145.47,1616976.0
2025-08-29,145.41,147.35,145.3975,146.97,1473397.0
