date,open,high,low,close,volume
2025-05-07,92.85,94.45,92.34,94.13,2662431.0
2025-05-08,94.38,95.955,93.5818,95.11,2886077.0
2025-05-09,95.08,96.58,94.36,95.21,3438676.0
2025-05-12,96.64,99.875,96.64,98.22,3166488.0
2025-05-13,97.99,98.234,96.36,97.49,2324031.0
2025-05-14,96.88,97.507,95.0,95.33,3550438.0
2025-05-15,95.59,96.87,95.14,96.73,2512879.0
2025-05-16,97.1,97.56,96.36,96.95,2339196.0
2025-05-19,95.96,96.18,94.41,95.77,2133971.0
2025-05-20,95.5,96.265,94.92,95.35,2330716.0
2025-05-21,94.68,95.115,92.49,92.74,4030636.0
2025-05-22,92.16,93.05,91.0,91.67,2077507.0
2025-05-23,90.82,94.0,90.2,92.64,3141106.0
2025-05-27,93.6,94.64,93.34,94.21,3885598.0
2025-05-28,94.05,94.5,92.095,92.29,1475223.0
2025-05-29,92.37,93.34,91.725,93.34,1650464.0
2025-05-30,92.94,93.035,91.44,92.17,3505161.0
2025-06-02,91.54,92.03,90.6,91.11,1648225.0
2025-06-03,90.53,92.4,89.22,91.85,1381560.0
2025-06-04,92.01,92.27,91.2701,91.46,1528030.0
2025-06-05,91.79,92.7,91.4,91.92,1265471.0
2025-06-06,92.58,92.98,91.965,92.38,1003196.0
2025-06-09,92.54,94.095,91.62,92.83,1988686.0
2025-06-10,93.44,94.95,92.71,94.92,1306177.0
2025-06-11,95.0,95.35,93.84,94.24,1217541.0
2025-06-12,94.01,94.305,92.965,93.26,1110842.0
2025-06-13,92.25,93.3,91.13,91.28,1370501.0
2025-06-16,91.42,92.37,90.36,92.16,2206440.0
2025-06-17,91.23,91.985,90.09,90.21,1677255.0
2025-06-18,90.26,91.1,89.66,90.55,1915309.0
2025-06-20,90.94,91.49,90.55,91.22,4060772.0
2025-06-23,90.79,91.66,89.85,91.5,1688148.0
2025-06-24,91.72,92.65,90.91,92.34,1812415.0
2025-06-25,91.88,92.985,91.75,92.79,2539760.0
2025-06-26,92.67,92.83,90.61,91.74,2822044.0
2025-06-27,91.79,92.64,90.8,91.46,5340932.0
2025-06-30,91.32,91.61,90.6,91.21,1245408.0
