date,open,high,low,close,volume
2025-05-07,151.68,156.62,151.008,155.99,4453874.0
2025-05-08,155.48,162.16,155.02,161.69,5580155.0
2025-05-09,161.41,162.435,159.08,159.27,4243236.0
2025-05-12,161.03,164.59,160.68,161.92,3453865.0
2025-05-13,160.72,162.91,160.06,160.41,3336709.0
2025-05-14,160.0,160.645,154.45,154.92,3473523.0
2025-05-15,156.24,160.41,155.82,160.35,3536280.0
2025-05-16,161.36,163.24,160.2,163.04,2391968.0
2025-05-19,161.92,164.18,161.55,163.94,2077397.0
2025-05-20,163.34,164.85,163.165,163.65,1780687.0
2025-05-21,162.82,164.57,161.3,161.44,2916752.0
2025-05-22,160.26,162.61,159.64,161.97,2913740.0
2025-05-23,160.55,163.06,160.14,162.58,2732205.0
2025-05-27,164.0,166.89,163.83,166.26,2323105.0
2025-05-28,166.16,166.65,164.52,165.4,1723859.0
2025-05-29,165.92,167.79,165.11,167.14,2450453.0
2025-05-30,166.92,169.79,165.34,168.63,5467823.0
2025-06-02,167.82,169.48,166.26,169.42,2550060.0
2025-06-03,169.09,172.23,168.64,170.3,3149056.0
2025-06-04,170.75,171.26,168.07,168.59,3086404.0
2025-06-05,169.39,169.8646,168.18,168.61,2773960.0
2025-06-06,169.58,171.52,169.37,170.16,1505407.0
2025-06-09,168.82,169.5,162.22,164.61,3583042.0
2025-06-10,164.23,167.36,164.23,167.1,2741175.0
2025-06-11,167.26,168.054,164.945,166.33,2473695.0
2025-06-12,166.49,168.83,165.52,168.82,2334589.0
2025-06-13,164.955,167.375,163.51,164.33,2973525.0
2025-06-16,165.825,166.77,163.27,164.38,2472945.0
2025-06-17,163.86,164.325,160.9,161.67,2199257.0
2025-06-18,157.09,158.105,154.54,155.06,4662408.0
2025-06-20,155.57,157.7,155.0,157.17,3296192.0
2025-06-23,156.77,158.46,155.99,157.34,2392731.0
2025-06-24,157.48,158.65,154.26,157.77,4554487.0
2025-06-25,156.88,158.7,155.11,157.23,2974817.0
2025-06-26,157.48,157.615,155.265,155.79,3122717.0
2025-06-27,156.33,157.33,155.4,156.17,2987838.0
2025-06-30,156.16,156.92,155.07,155.95,2826626.0
2025-07-01,154.94,160.95,152.75,159.19,3926565.0
2025-07-02,159.71,160.58,158.63,159.08,2128458.0
2025-07-03,158.05,159.47,157.61,159.18,1375164.0
2025-07-07,159.26,160.0,156.78,157.05,2822548.0
2025-07-08,156.76,160.24,156.725,157.8,2885130.0
2025-07-09,158.39,159.56,156.26,158.27,3196480.0
2025-07-10,158.7,161.77,157.06,158.8,3491131.0
2025-07-11,157.32,157.625,154.71,154.96,2267451.0
2025-07-14,155.23,156.7,154.7,155.65,1986507.0
2025-07-15,156.26,156.62,152.54,152.86,3310654.0
2025-07-16,153.44,154.01,150.94,151.54,3961894.0
2025-07-17,150.0,152.26,149.415,150.03,3575309.0
2025-07-18,150.0,150.8514,147.59,148.6,4723232.0
2025-07-21,149.29,150.105,147.28,147.37,2997885.0
2025-07-22,147.71,151.31,147.25,151.19,4560651.0
2025-07-23,152.51,153.84,151.48,153.45,3010876.0
2025-07-24,153.56,154.04,152.22,152.82,3320004.0
2025-07-25,152.3,153.37,151.23,152.12,3327386.0
2025-07-28,152.27,152.47,150.34,150.75,2261141.0
2025-07-29,150.02,151.04,148.54,151.01,3366869.0
2025-07-30,151.35,152.2969,148.625,148.81,3036326.0
2025-07-31,147.995,148.78,145.31,145.79,4855470.0
2025-08-01,146.18,147.79,145.1,147.38,3153122.0
2025-08-04,151.25,152.59,148.76,151.81,6270847.0
2025-08-05,160.05,160.05,144.51,146.12,7335546.0
2025-08-06,146.2,147.3,144.25,146.5,4987531.0
2025-08-07,147.5,149.0,146.9,148.24,3786743.0
2025-08-08,148.35,148.995,146.27,147.35,2062131.0
2025-08-11,147.67,149.81,147.35,149.02,3065321.0
2025-08-12,148.91,149.88,148.3136,149.77,2578472.0
2025-08-13,149.62,152.76,148.916,152.44,3331155.0
2025-08-14,151.57,153.3599,151.17,153.06,2565197.0
2025-08-15,153.72,155.1,152.98,154.11,3705757.0
2025-08-18,154.0,154.94,151.6,152.32,2158554.0
2025-08-19,152.92,155.7,152.51,155.67,2594248.0
2025-08-20,156.34,160.48,156.34,156.76,3050831.0
2025-08-21,156.75,159.0,155.41,155.61,2411647.0
2025-08-22,157.06,158.2985,156.14,156.62,2426330.0
2025-08-25,156.76,157.21,154.89,155.19,1797748.0
2025-08-26,155.38,156.32,154.5115,154.79,3614331.0
2025-08-27,155.16,156.11,154.51,155.37,1931129.0
2025-08-28,155.14,155.35,153.29,154.79,1831561.0
2025-08-29,154.64,156.49,154.07,156.4,1534573.0
2025-09-02,154.98,155.38,151.61,152.88,2228385.0
2025-09-03,152.34,153.09,151.46,152.43,1664669.0
2025-09-04,152.53,153.49,151.35,153.2,1538600.0
2025-09-05,152.9,155.15,152.4,153.32,1895941.0
2025-09-08,152.495,152.97,146.49,151.75,3313034.0
2025-09-09,151.41,152.12,149.64,149.79,1952641.0
2025-09-10,149.0,150.58,148.378,149.42,2734308.0
2025-09-11,149.775,152.0,149.42,150.61,3193996.0
2025-09-12,149.645,150.05,146.535,148.2,3111263.0
2025-09-15,148.08,149.75,145.89,146.25,3340620.0
