holdings_as_of,downloaded_at_utc,source_ticker,name,weight
2026-06-12,2026-06-15T18:03:18Z,NVDA,NVIDIA CORP,7.80928
2026-06-12,2026-06-15T18:03:18Z,AAPL,APPLE INC,6.694126
2026-06-12,2026-06-15T18:03:18Z,MSFT,MICROSOFT CORP,4.544253
2026-06-12,2026-06-15T18:03:18Z,AMZN,AMAZON.COM INC,3.649693
2026-06-12,2026-06-15T18:03:18Z,GOOGL,ALPHABET INC CL A,3.303282
2026-06-12,2026-06-15T18:03:18Z,AVGO,BROADCOM INC,2.83709
2026-06-12,2026-06-15T18:03:18Z,GOOG,ALPHABET INC CL C,2.651353
2026-06-12,2026-06-15T18:03:18Z,META,META PLATFORMS INC CLASS A,1.940299
2026-06-12,2026-06-15T18:03:18Z,TSLA,TESLA INC,1.790116
2026-06-12,2026-06-15T18:03:18Z,MU,MICRON TECHNOLOGY INC,1.730222
2026-06-12,2026-06-15T18:03:18Z,LLY,ELI LILLY + CO,1.405968
2026-06-12,2026-06-15T18:03:18Z,BRK-B,BERKSHIRE HATHAWAY INC CL B,1.404951
2026-06-12,2026-06-15T18:03:18Z,JPM,JPMORGAN CHASE + CO,1.354152
2026-06-12,2026-06-15T18:03:18Z,AMD,ADVANCED MICRO DEVICES,1.30616
2026-06-12,2026-06-15T18:03:18Z,XOM,EXXON MOBIL CORP,0.962469
2026-06-12,2026-06-15T18:03:18Z,INTC,INTEL CORP,0.915864
2026-06-12,2026-06-15T18:03:18Z,JNJ,JOHNSON + JOHNSON,0.909359
2026-06-12,2026-06-15T18:03:18Z,V,VISA INC CLASS A SHARES,0.849036
2026-06-12,2026-06-15T18:03:18Z,WMT,WALMART INC,0.831221
2026-06-12,2026-06-15T18:03:18Z,CSCO,CISCO SYSTEMS INC,0.7495
2026-06-12,2026-06-15T18:03:18Z,LRCX,LAM RESEARCH CORP,0.717227
2026-06-12,2026-06-15T18:03:18Z,AMAT,APPLIED MATERIALS INC,0.704952
2026-06-12,2026-06-15T18:03:18Z,COST,COSTCO WHOLESALE CORP,0.682736
