symbol,last_price,average_volume,relative_volume,average_true_range,sma_20,sma_50,sma_200
PM,191.06,4267010,1.2,4.63,188.82,188.51,175.04
WFC,90.29,12359383,1.0,1.78,87.14,87.08,85.11
DELL,567.29,8512252,1.7,32.92,479.37,448.90,261.76
VLO,390.42,2393097,1.3,10.88,359.25,324.85,243.86
EOG,147.36,2761672,1.1,3.37,147.13,142.82,129.47
HPE,62.09,22807425,1.7,3.51,54.65,51.11,34.01
TER,379.72,2342581,1.0,17.43,372.72,365.82,320.58
OXY,61.46,7123147,1.1,1.43,60.14,57.10,52.79
ADM,86.72,3557297,1.0,2.74,82.49,81.73,72.67
NTAP,199.28,2523852,1.0,9.03,190.91,181.46,132.29
HPQ,35.48,15517396,1.7,1.77,30.85,28.05,23.07
SMCI,40.1,43987810,1.1,2.22,37.88,32.52,31.49
SWKS,88.35,5950454,1.9,4.02,70.83,65.97,64.27
